County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,8668420,5866075,2990796,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7389,4987,2746,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,7384,4718,2755,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,22756,14568,8411,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,8101,5319,2931,19803,6791,370,252,6701,39,,
Archer,2/3,1800,3260,2016,1302,6921,1677,80,13,2381,330,,
Armstrong,1,1200,756,465,295,1499,470,32,86,466,0,,
Atascosa,8,8600,10167,6894,3502,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,8582,5840,3051,23704,5933,667,396,7873,1079,,
Bailey,1,16885,3025,1755,1275,5089,1036,114,74,1982,0,,
Bandera,8,1600,5968,3977,2160,19763,6439,352,180,6555,20,,
Bastrop,7,25200,17947,13240,5081,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1768,963,809,2793,844,137,97,908,0,,
Bee,11,48460,13099,7584,5586,26496,4091,981,684,11359,989,,
Bell,7,116990,67309,44764,25320,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,597180,387892,215467,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,3960,2768,1280,10092,3004,90,102,3388,303,,
Borden,9/10,0,168,120,54,543,174,9,0,163,0,,
Bosque,7,5600,5997,4247,1955,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,17742,12018,6570,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,109849,71603,41042,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,59058,42936,18149,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,5122,3436,1848,7706,2231,303,0,2579,255,,
Briscoe,1,800,759,433,332,1272,404,19,0,452,0,,
Brooks,11,2000,3369,2328,1051,5317,1308,323,246,2253,22,,
Brown,2/3,9700,7137,5141,2268,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,5022,3521,1760,14869,3867,143,218,5600,518,,
Burnet,7,19435,12796,9051,4355,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,8524,6152,2805,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,5453,4015,1634,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3452,2322,1165,11263,2958,146,122,4094,442,,
Cameron,11,158455,150586,98110,56242,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2787,1886,938,10031,2494,207,152,3927,0,,
