County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,16653045,10880055,7282422,3863664,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2667690,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,13970,9133,6456,3265,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5100,8863,5167,3792,13503,1833,309,106,5450,41,,
Angelina,4/5N,40500,27125,18339,9403,67056,14422,6534,1752,28054,3266,,
Aransas,11,4670,11219,7765,3702,19803,6791,370,252,6701,39,,
Archer,2/3,2400,3722,2372,1442,6921,1677,80,13,2381,330,,
Armstrong,1,1700,805,498,316,1499,470,32,86,466,0,,
Atascosa,8,13100,13771,9350,4820,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6000,12510,8533,4599,23704,5933,667,396,7873,1079,,
Bailey,1,20395,3283,1856,1492,5089,1036,114,74,1982,0,,
Bandera,8,3000,7705,5326,2581,19763,6439,352,180,6555,20,,
Bastrop,7,34300,23953,16950,7602,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4750,1829,999,844,2793,844,137,97,908,0,,
Bee,11,63120,13918,8133,5904,26496,4091,981,684,11359,989,,
Bell,7,152980,80099,51201,32436,272969,40534,15894,2466,95066,12910,,
Bexar,8,945450,738290,472832,274224,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4100,5430,3789,1771,10092,3004,90,102,3388,303,,
Borden,9/10,0,235,142,100,543,174,9,0,163,0,,
Bosque,7,8000,6845,4819,2306,15224,4741,624,407,5126,579,,
Bowie,4/5N,43950,21574,13901,8987,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,144220,139919,90029,53582,287683,45752,9762,2648,105966,12034,,
Brazos,7,101260,77650,54472,25714,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3800,5561,3664,2073,7706,2231,303,0,2579,255,,
Briscoe,1,1200,829,476,386,1272,404,19,0,452,0,,
Brooks,11,2900,3719,2503,1227,5317,1308,323,246,2253,22,,
Brown,2/3,12100,10301,7557,4897,30883,7720,1663,911,11188,1112,,
Burleson,7,3300,6567,4294,2589,14869,3867,143,218,5600,518,,
Burnet,7,24715,16267,11012,6091,39239,10999,1823,595,13132,94,,
Caldwell,7,11100,11852,8066,4405,34853,6512,1286,524,14114,1294,,
Calhoun,8,5100,6772,4882,2183,16817,3981,470,384,6161,53,,
Callahan,2/3,2900,4378,2705,1798,11263,2958,146,122,4094,442,,
Cameron,11,200045,187700,123650,68940,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1400,3547,2401,1226,10031,2494,207,152,3927,0,,
Carson,1,1300,2090,1261,850,4718,1250,60,0,1547,240,,
Cass,4/5N,4100,6055,4160,2272,24182,6856,1216,550,9010,1125,,
Castro,1,2500,2749,1767,1031,5607,1236,121,174,2168,341,,
Chambers,6/5S,27400,12643,8686,4117,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,13970,12315,7947,4849,40876,9444,1500,738,16376,1511,,
Childress,1,3900,2794,1665,1205,6094,1165,251,136,2395,0,,
Clay,2/3,10545,5348,3102,2303,8666,2484,136,60,3011,384,,
Cochran,1,1400,2073,1664,519,2188,468,57,0,956,0,,
Coke,9/10,0,1260,832,441,2756,947,47,130,899,0,,
