County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Texas,--,611850,163700,163700,0,22448443,3769216,1591521,270194
Anderson,4/5N,1800,26,26,0,49346,8955,2590,833
Andrews,9/10,500,282,282,0,13954,1905,401,106
Angelina,4/5N,4600,439,439,0,70388,14706,7603,1752
Aransas,11,0,41,41,0,19727,6538,542,252
Archer,2/3,100,77,77,0,7533,1887,107,59
Armstrong,1,0,13,13,0,1693,588,37,86
Atascosa,8,1200,163,164,0,39065,7743,1181,655
Austin,6/5S,500,51,51,0,25584,6512,1069,396
Bailey,1,200,52,52,0,5190,1024,156,74
Bandera,8,100,37,37,0,19833,6530,426,186
Bastrop,7,300,176,176,0,70499,14746,2137,696
Baylor,2/3,200,37,37,0,3002,916,156,97
Bee,11,400,72,72,0,26904,4202,1219,684
Bell,7,6575,1371,1371,0,265191,37371,20144,2466
Bexar,8,57375,12052,12052,0,1541803,248261,127752,17100
Blanco,7,0,28,28,0,10177,3274,167,102
Borden,9/10,0,0,0,0,580,206,10,0
Bosque,7,600,27,27,0,15491,4847,677,407
Bowie,4/5N,2150,281,281,0,78179,16917,7877,1532
Brazoria,6/5S,3700,1980,1980,0,295635,48145,13914,2648
Brazos,7,4875,731,731,0,185835,21605,10756,1278
Brewster,9/10,400,18,18,0,7291,1942,548,0
Briscoe,1,0,1,1,0,1295,443,18,0
Brooks,11,100,3,3,0,5438,1441,396,246
Brown,2/3,600,357,357,0,31586,8452,1886,911
Burleson,7,200,38,38,0,14721,3981,203,218
Burnet,7,1100,169,169,0,39423,11162,2391,595
Caldwell,7,300,87,87,0,33813,6558,1744,524
Calhoun,8,400,119,119,0,17169,3944,608,254
Callahan,2/3,0,140,140,0,11666,3185,310,122
Cameron,11,7225,3741,3741,0,315242,59778,33067,6480
Camp,4/5N,0,33,33,0,10054,2412,353,154
Carson,1,0,18,18,0,4769,1096,77,0
Cass,4/5N,100,82,82,0,24447,7203,1609,550
Castro,1,100,87,87,0,5574,1267,152,174
Chambers,6/5S,1000,68,68,0,34171,5692,1101,120
Cherokee,4/5N,1300,144,144,0,41571,9380,1837,809
Childress,1,200,48,48,0,5769,1177,276,136
