County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Texas,--,786250,340415,340415,0,22448443,3769216,1591521,270194
Anderson,4/5N,1800,173,173,0,49346,8955,2590,833
Andrews,9/10,600,569,569,0,13954,1905,401,106
Angelina,4/5N,5400,985,985,0,70388,14706,7603,1752
Aransas,11,0,153,153,0,19727,6538,542,252
Archer,2/3,100,128,128,0,7533,1887,107,59
Armstrong,1,0,27,27,0,1693,588,37,86
Atascosa,8,1200,502,502,0,39065,7743,1181,655
Austin,6/5S,500,207,207,0,25584,6512,1069,396
Bailey,1,200,103,103,0,5190,1024,156,74
Bandera,8,100,178,178,0,19833,6530,426,186
Bastrop,7,500,720,720,0,70499,14746,2137,696
Baylor,2/3,200,72,72,0,3002,916,156,97
Bee,11,400,234,234,0,26904,4202,1219,684
Bell,7,7075,2313,2313,0,265191,37371,20144,2466
Bexar,8,73050,28184,28184,0,1541803,248261,127752,17100
Blanco,7,0,68,68,0,10177,3274,167,102
Borden,9/10,0,0,0,0,580,206,10,0
Bosque,7,600,92,92,0,15491,4847,677,407
Bowie,4/5N,3725,970,970,0,78179,16917,7877,1532
Brazoria,6/5S,3800,4336,4336,0,295635,48145,13914,2648
Brazos,7,5075,1334,1334,0,185835,21605,10756,1278
Brewster,9/10,400,60,60,0,7291,1942,548,0
Briscoe,1,0,15,15,0,1295,443,18,0
Brooks,11,100,72,72,0,5438,1441,396,246
Brown,2/3,600,564,564,0,31586,8452,1886,911
Burleson,7,200,118,118,0,14721,3981,203,218
Burnet,7,1200,419,419,0,39423,11162,2391,595
Caldwell,7,300,354,354,0,33813,6558,1744,524
Calhoun,8,400,264,264,0,17169,3944,608,254
Callahan,2/3,200,187,187,0,11666,3185,310,122
Cameron,11,9925,6976,6976,0,315242,59778,33067,6480
Camp,4/5N,0,83,83,0,10054,2412,353,154
Carson,1,0,88,88,0,4769,1096,77,0
Cass,4/5N,100,182,182,0,24447,7203,1609,550
Castro,1,100,119,119,0,5574,1267,152,174
Chambers,6/5S,1000,244,244,0,34171,5692,1101,120
Cherokee,4/5N,1900,443,443,0,41571,9380,1837,809
Childress,1,200,185,185,0,5769,1177,276,136
Clay,2/3,100,147,147,0,8544,2430,175,60
Cochran,1,0,86,86,0,2167,497,66,0
Coke,9/10,0,25,25,0,2839,957,47,130
Coleman,2/3,200,114,114,0,6555,2051,418,162
Collin,2/3,17900,8195,8195,0,806242,118818,56174,7544
Collingsworth,1,100,63,63,0,2177,574,94,92
Colorado,6/5S,100,155,155,0,17682,5065,1057,477
