County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,7109875,4864976,3265754,1599222,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6800,4562,2860,1702,48045,8658,2051,833,20206,,,
Andrews,9/10,2800,4332,3058,1274,13503,1833,309,106,5450,,,
Angelina,4/5N,20500,14825,9893,4932,67056,14422,6534,1752,28054,,,
Aransas,11,1500,4335,2930,1405,19803,6791,370,252,6701,,,
Archer,2/3,1100,2114,1378,736,6921,1677,80,13,2381,,,
Armstrong,1,600,578,349,229,1499,470,32,86,466,,,
Atascosa,8,4700,5578,3559,2019,38768,7605,1124,651,15239,,,
Austin,6/5S,2500,4985,3731,1254,23704,5933,667,396,7873,,,
Bailey,1,9765,2565,1439,1126,5089,1036,114,74,1982,,,
Bandera,8,600,3290,2396,894,19763,6439,352,180,6555,,,
Bastrop,7,14000,7932,5564,2368,68839,13865,1462,696,29356,,,
Baylor,2/3,3150,1570,881,689,2793,844,137,97,908,,,
Bee,11,30050,10037,5816,4221,26496,4091,981,684,11359,,,
Bell,7,69180,38785,25232,13553,272969,40534,15894,2466,95066,,,
Bexar,8,515470,341939,224701,117238,1552823,247843,100704,17248,614646,,,
Blanco,7,1600,2018,1480,538,10092,3004,90,102,3388,,,
Borden,9/10,0,86,56,30,543,174,9,0,163,,,
Bosque,7,3800,3173,1924,1249,15224,4741,624,407,5126,,,
Bowie,4/5N,18450,8586,5504,3082,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,52040,61588,39822,21766,287683,45752,9762,2648,105966,,,
Brazos,7,39200,30026,21960,8066,186843,21693,7514,1414,59619,,,
Brewster,9/10,1800,2647,2011,636,7706,2231,303,0,2579,,,
Briscoe,1,500,537,366,171,1272,404,19,0,452,,,
Brooks,11,1400,1358,1039,319,5317,1308,323,246,2253,,,
Brown,2/3,3600,4007,2856,1151,30883,7720,1663,911,11188,,,
