County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,30645343,17153984,14683383,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,41161,23611,19970,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,14626,8053,6861,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,68916,38676,33003,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,26270,14584,12597,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,7212,4000,3582,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1303,728,616,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,44976,25119,21409,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,25940,15011,12812,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4901,2819,2325,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,18235,10356,9039,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,91447,51957,42319,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2615,1442,1305,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,29463,16330,13752,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,263085,148343,124873,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,2287874,1271108,1090242,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,11468,6348,5576,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,379,222,190,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,14666,8419,7110,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,57251,32873,27613,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,382638,210769,187060,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,213797,119144,101759,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,9168,5245,4404,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,1111,605,538,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,8099,4532,3956,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,24511,14952,13178,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,15283,8662,7551,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,43662,24858,21366,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,41949,24034,20084,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,19761,11429,9858,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,9016,5166,4477,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,566470,314566,269611,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,9636,5467,4476,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,3634,2002,1738,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,17745,10313,8740,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,5703,3262,2616,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,37702,21115,17573,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,35077,20335,16924,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,5939,3517,3197,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,8055,4408,3983,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1846,1088,952,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,2285,1277,1086,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,5462,3066,2661,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1244615,676918,600454,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1589,944,784,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,19351,11300,9703,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,168327,94156,82733,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,10678,6069,5293,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2401,1400,1134,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,28339,16147,13462,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,52498,29452,25056,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,922,526,470,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,3281,1967,1343,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2774,1514,1296,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,4679,2550,2243,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,2220,1193,1044,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,5896,3456,2543,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2769285,1546295,1310737,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,7462,4358,3668,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,16340,9107,8010,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,13622,7725,6615,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,3238,1809,1536,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,978937,530633,476085,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1252,714,631,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,13785,8251,5640,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,2244,1259,1053,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,12859,7336,6014,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,11413,6647,5528,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,126540,70684,59029,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1338,733,633,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,1091518,603330,520218,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,170262,95250,80845,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,27410,15532,13079,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,13907,7817,6457,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,24533,14091,12130,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,23506,13625,11393,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,2423,1417,1207,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,4431,2470,2162,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,935,550,420,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,1027751,562062,496519,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,6807,3973,3282,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,13163,7546,6445,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,17071,10661,9135,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,7884,4577,3817,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,369839,199912,180138,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4820,3058,2849,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,26822,14782,12985,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
