County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,3898700,2056962,1687025,369937,23418623,4073596,1241763,271813,8591155
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,2115,1959,156,48781,9138,2051,833,20337
Andrews,9/10,1600,1769,1192,577,16893,2253,309,106,6837
Angelina,4/5N,12200,6036,5271,765,70305,15150,6534,1752,29398
Aransas,11,600,1188,1066,122,23448,7843,370,252,8037
Archer,2/3,400,684,577,107,6824,1770,80,13,2295
Armstrong,1,200,297,276,21,1648,587,32,86,481
Atascosa,8,2900,2414,1895,519,40483,8111,1124,651,15830
Austin,6/5S,1400,1669,1477,192,24384,6516,667,396,7916
Bailey,1,2450,1291,1219,72,5684,1126,114,74,2229
Bandera,8,200,1462,1269,193,18258,6338,352,180,5865
Bastrop,7,4500,3188,2595,593,68916,15121,1462,696,28727
Baylor,2/3,1575,753,696,57,2887,898,137,97,927
Bee,11,7550,3814,3597,217,27790,4468,981,684,11824
Bell,7,33650,18648,15744,2904,264909,38752,15894,2466,92498
Bexar,8,276025,152866,113458,39408,1649172,273788,100704,17248,647806
Blanco,7,300,1455,1284,171,9721,3295,90,102,3072
Borden,9/10,0,32,30,2,594,220,9,0,165
Bosque,7,2000,888,787,101,14388,4658,624,407,4758
Bowie,4/5N,10050,4015,2960,1055,75454,16868,6332,1467,29469
Brazoria,6/5S,16900,24603,19498,5105,299211,51114,9762,2648,108666
Brazos,7,18025,8762,7551,1211,188279,22891,7514,1414,59705
Brewster,9/10,1000,785,705,80,7247,1989,303,0,2477
Briscoe,1,100,182,173,9,1289,451,19,0,437
Brooks,11,600,407,345,62,5481,1484,323,246,2246
Brown,2/3,1700,1601,1101,500,31624,8722,1663,911,11062
Burleson,7,800,683,576,107,14273,3996,143,218,5231
Burnet,7,3975,1796,1491,305,39401,11506,1823,595,12971
Caldwell,7,1400,1772,1441,331,35286,7157,1286,524,14008
Calhoun,8,1000,1339,1117,222,17873,4223,470,384,6552
Callahan,2/3,700,715,546,169,11212,3157,146,122,3971
Cameron,11,50250,37612,30629,6983,319351,62948,29737,6315,129484
Camp,4/5N,100,620,489,131,10475,2553,207,152,4127
Carson,1,200,600,546,54,4650,1082,60,0,1591
Cass,4/5N,300,617,436,181,24308,7443,1216,550,8770
Castro,1,700,717,620,97,5315,1256,121,174,2013
Chambers,6/5S,5400,2105,1868,237,33361,5780,958,244,12384
Cherokee,4/5N,5200,2810,2431,379,40660,9365,1500,738,16305
Childress,1,1100,460,421,39,5784,1221,251,136,2218
Clay,2/3,2250,1203,1064,139,8023,2403,136,60,2737
Cochran,1,100,495,389,106,2524,612,57,0,1063
Coke,9/10,0,196,170,26,2653,899,47,130,872
Coleman,2/3,600,541,439,102,6728,2157,342,162,2363
Collin,2/3,61275,58058,47117,10941,841758,131278,38139,7817,245116
Collingsworth,1,300,340,317,23,2451,685,80,92,876
Colorado,6/5S,1600,898,760,138,16882,4927,853,477,5810
Comal,8,9700,8723,6607,2116,122316,29374,5457,1845,37177
Comanche,2/3,1775,1464,1351,113,10333,3319,330,292,3444
Concho,9/10,100,146,122,24,3656,847,76,66,1433
Cooke,2/3,1900,1626,1431,195,32061,8164,948,552,11184
Coryell,7,3750,2837,2543,294,61429,7340,1178,610,23529
Cottle,2/3,0,50,48,2,1240,450,5,0,450
Crane,9/10,1175,424,338,86,4793,899,71,110,1780
Crockett,9/10,0,338,328,10,3170,903,31,56,1122
Crosby,1,1175,497,398,99,5020,1466,98,115,1887
Culberson,9/10,400,144,110,34,1820,571,67,0,712
Dallam,1,1475,746,731,15,5258,703,40,0,2159
Dallas,2/3,299125,150100,124256,25844,2114319,310440,142713,21399,759433
Dawson,9/10,600,563,520,43,10637,2054,304,112,4575
Deaf Smith,1,1700,1102,1005,97,13191,2358,238,147,5243
Delta,4/5N,0,203,160,43,4362,1380,379,100,1518
Denton,2/3,54125,31962,25664,6298,740206,105630,23806,5913,270964
DeWitt,8,800,645,542,103,17638,4589,319,438,6603
Dickens,1,0,77,67,10,1878,591,21,0,665
Dimmit,8,2750,1415,1309,106,8764,1840,238,175,3801
Donley,1,100,323,302,21,2774,876,27,65,911
Duval,11,300,879,796,83,9023,2267,69,150,3641
Eastland,2/3,900,994,845,149,14611,4258,860,389,5114
Ector,9/10,19900,11821,9789,2032,140862,19134,5303,1016,58795
Edwards,8,0,123,101,22,1626,612,24,0,538
El Paso,9/10,108125,87567,70501,17066,664164,120770,35065,8383,249418
Ellis,2/3,4800,8056,6579,1477,140959,26556,3985,1994,53083
Erath,2/3,1000,1549,1312,237,34043,6437,1250,481,12119
Falls,7,2650,991,950,41,13589,3260,328,187,5412
Fannin,2/3,4650,2654,2126,528,28488,7569,962,614,10313
Fayette,7,1400,1089,979,110,21033,6884,998,647,6820
Fisher,2/3,200,198,189,9,3226,1064,101,28,1079
Floyd,1,200,428,401,27,4468,1287,132,68,1660
Foard,2/3,100,188,171,17,1016,352,7,80,341
Fort Bend,6/5S,50575,57205,47520,9685,681745,114245,24721,4977,190680
Franklin,4/5N,400,562,457,105,8474,2221,169,163,2901
Freestone,7,1100,628,611,17,15926,4038,553,261,6360
Frio,8,2475,1690,1399,291,16062,2760,186,166,6638
Gaines,9/10,1200,809,656,153,16010,2446,323,95,6606
Galveston,6/5S,38225,33862,26538,7324,284584,55792,11784,2830,101126
Garza,1,100,162,142,20,5585,812,33,75,2277
Gillespie,8,4300,2281,1911,370,21871,7882,1175,706,6715
Glasscock,9/10,0,49,44,5,1120,311,23,0,388
Goliad,8,100,654,585,69,6430,2076,39,135,2234
Gonzales,8,1600,1078,941,137,16466,3941,550,256,6438
Gray,1,1300,1253,1158,95,19064,3822,689,315,7941
Grayson,2/3,21800,9171,7506,1665,105377,25679,9338,2131,38813
Gregg,4/5N,16050,6979,5292,1687,97920,20416,7025,2324,38054
Grimes,7,1200,1025,913,112,23414,5855,234,311,9359
Guadalupe,8,6275,7216,5182,2034,136431,26026,3801,1225,50897
Hale,1,2600,2134,1781,353,24936,4790,873,399,10194
Hall,1,0,279,267,12,2606,834,27,72,1022
Hamilton,7,1600,1806,1601,205,6553,2009,481,296,2354
Hansford,1,600,412,393,19,4417,1003,139,84,1738
Hardeman,2/3,500,600,493,107,3008,791,102,16,1115
Hardin,6/5S,4700,2752,2487,265,45896,10632,1003,527,16151
Harris,6/5S,571325,326020,269691,56329,3866923,553323,225769,27623,1511002
Harrison,4/5N,2800,2449,2099,350,52923,12077,3063,608,20791
Hartley,1,1475,284,273,11,5042,947,196,94,1847
Haskell,2/3,200,348,327,21,5119,1387,123,68,1959
Hays,7,18125,14119,11734,2385,196828,33403,5488,1907,63899
Hemphill,1,800,436,403,33,3429,657,104,98,1331
Henderson,4/5N,3400,3324,2751,573,66406,19050,2043,998,25809
Hidalgo,11,107750,52965,42851,10114,650228,105784,54962,17074,298355
Hill,7,1100,1921,1700,221,28116,7909,862,523,10690
Hockley,1,900,1282,1025,257,18921,3934,483,263,7134
Hood,2/3,2200,1994,1715,279,48946,15808,1720,867,16072
Hopkins,4/5N,2400,2012,1737,275,29544,7770,1192,620,10909
Houston,4/5N,1500,1399,1237,162,18491,4958,634,538,7281
Howard,9/10,2700,1346,1133,213,33215,5245,1456,454,13733
Hudspeth,9/10,100,184,171,13,2771,816,33,0,1085
Hunt,2/3,7050,5679,3847,1832,76397,17197,4112,947,29659
Hutchinson,1,600,1302,1156,146,16691,3716,504,246,6241
Irion,9/10,0,71,66,5,1280,406,15,0,414
Jack,2/3,500,377,345,32,7087,1558,198,149,2643
Jackson,8,2775,1219,1013,206,12317,3017,380,237,4492
Jasper,4/5N,5100,1818,1723,95,28138,7424,1597,374,11600
Jeff Davis,9/10,100,111,99,12,1854,757,28,0,550
Jefferson,6/5S,22900,8261,7419,842,204766,39344,13127,2431,93298
Jim Hogg,11,100,554,499,55,3724,895,14,60,1533
Jim Wells,11,3250,2948,2551,397,32000,7047,3897,985,12851
Johnson,2/3,3500,7596,6298,1298,134667,27809,3559,1471,51612
Jones,2/3,400,725,595,130,16850,3192,337,254,6897
Karnes,8,1300,649,602,47,12394,2550,370,244,4873
Kaufman,2/3,3750,6134,4776,1358,99179,18986,2857,1189,37771
Kendall,8,2300,3605,2620,985,38571,10233,1091,801,12525
Kenedy,11,0,69,68,1,385,124,1,0,143
Kent,2/3,0,66,66,0,664,255,13,60,196
Kerr,8,3200,2872,2024,848,43315,14517,2805,1022,13881
Kimble,9/10,300,240,214,26,3576,1316,90,0,1189
King,1,0,14,12,2,267,81,7,0,84
Kinney,8,100,186,184,2,2809,858,11,0,1067
Kleberg,11,5050,3323,3109,214,25029,4585,1401,341,9404
