County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,614086,589332,24754,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,361,359,2,49346,8955,2590,833,24078
Andrews,9/10,594,587,7,13954,1905,401,106,5867
Angelina,4/5N,2236,2231,5,70388,14706,7603,1752,34525
Aransas,11,243,239,4,19727,6538,542,252,10102
Archer,2/3,190,174,16,7533,1887,107,59,3131
Armstrong,1,93,89,4,1693,588,37,86,659
Atascosa,8,809,799,10,39065,7743,1181,655,17891
Austin,6/5S,502,498,4,25584,6512,1069,396,10132
Bailey,1,117,117,0,5190,1024,156,74,2359
Bandera,8,251,249,2,19833,6530,426,186,9348
Bastrop,7,1169,1139,30,70499,14746,2137,696,34606
Baylor,2/3,222,221,1,3002,916,156,97,1287
Bee,11,494,489,5,26904,4202,1219,684,13037
Bell,7,4302,4219,83,265191,37371,20144,2466,105279
Bexar,8,45919,44746,1173,1541803,248261,127752,17100,696450
Blanco,7,123,122,1,10177,3274,167,102,4572
Borden,9/10,10,10,0,580,206,10,0,228
Bosque,7,256,254,2,15491,4847,677,407,7171
Bowie,4/5N,1293,1290,3,78179,16917,7877,1532,36179
Brazoria,6/5S,7649,7217,432,295635,48145,13914,2648,119229
Brazos,7,2086,2056,30,185835,21605,10756,1278,64988
Brewster,9/10,150,150,0,7291,1942,548,0,3547
Briscoe,1,36,36,0,1295,443,18,0,642
Brooks,11,119,119,0,5438,1441,396,246,2867
Brown,2/3,692,687,5,31586,8452,1886,911,14261
Burleson,7,218,217,1,14721,3981,203,218,7277
Burnet,7,635,634,1,39423,11162,2391,595,17381
Caldwell,7,558,557,1,33813,6558,1744,524,16400
Calhoun,8,436,433,3,17169,3944,608,254,7841
Callahan,2/3,222,222,0,11666,3185,310,122,5346
Cameron,11,12278,12270,8,315242,59778,33067,6480,149238
Camp,4/5N,152,152,0,10054,2412,353,154,4991
Carson,1,260,257,3,4769,1096,77,0,2031
Cass,4/5N,233,232,1,24447,7203,1609,550,12120
Castro,1,170,168,2,5574,1267,152,174,2718
Chambers,6/5S,544,517,27,34171,5692,1101,120,13721
Cherokee,4/5N,778,776,2,41571,9380,1837,809,20430
Childress,1,366,365,1,5769,1177,276,136,2845
Clay,2/3,268,248,20,8544,2430,175,60,4071
Cochran,1,151,148,3,2167,497,66,0,1139
Coke,9/10,49,43,6,2839,957,47,130,1324
Coleman,2/3,208,208,0,6555,2051,418,162,3427
Collin,2/3,17060,16415,645,806242,118818,56174,7544,256993
Collingsworth,1,115,114,1,2177,574,94,92,1084
Colorado,6/5S,355,354,1,17682,5065,1057,477,7953
Comal,8,2959,2913,46,125758,29676,7125,1845,45927
Comanche,2/3,465,464,1,11046,3438,418,292,5170
Concho,9/10,34,30,4,2381,528,81,66,1923
Cooke,2/3,440,433,7,32501,7977,1347,552,14449
Coryell,7,714,713,1,58277,6832,1291,594,25149
Cottle,2/3,924,908,16,1120,400,5,0,608
Crane,9/10,113,113,0,3483,625,95,110,1547
Crockett,9/10,29,29,0,2687,716,45,56,1307
Crosby,1,164,161,3,4386,1236,127,115,2252
Culberson,9/10,60,60,0,1797,529,79,0,972
Dallam,1,58,58,0,5092,691,95,0,2336
Dallas,2/3,42825,40027,2798,2015538,284171,183122,21354,820238
Dawson,9/10,116,112,4,9997,1927,385,112,5005
Deaf Smith,1,514,510,4,14288,2472,316,228,6265
Delta,4/5N,73,73,0,4312,1312,437,100,2090
Denton,2/3,10658,10264,394,702429,94410,34569,5667,276089
DeWitt,8,196,192,4,16610,4251,421,438,7926
Dickens,1,21,21,0,1840,546,29,0,943
Dimmit,8,184,184,0,7130,1517,226,175,4018
Donley,1,173,173,0,2655,798,47,74,1278
Duval,11,186,184,2,8359,2073,107,150,4543
Eastland,2/3,247,246,1,14718,4181,1021,405,7102
Ector,9/10,2010,1915,95,123303,16788,6730,1016,54750
Edwards,8,36,34,2,1605,586,27,0,792
El Paso,9/10,29648,27517,2131,640715,111036,46429,8546,281334
Ellis,2/3,3059,2920,139,146536,26120,5259,1781,61039
Erath,2/3,461,457,4,34869,6466,1793,481,14817
Falls,7,142,142,0,14306,3332,413,187,7192
Fannin,2/3,1021,1013,8,29681,7609,1161,693,13661
Fayette,7,539,537,2,21209,6683,1251,647,9754
Fisher,2/3,18,18,0,3139,996,184,28,1509
Floyd,1,91,91,0,4283,1207,156,68,2228
Foard,2/3,34,34,0,937,323,9,80,489
Fort Bend,6/5S,15183,14240,943,626861,97435,33263,4965,192056
Franklin,4/5N,165,163,2,8327,2189,181,163,3820
Freestone,7,134,134,0,16551,4068,718,261,8172
Frio,8,497,496,1,15133,2573,226,270,7605
Gaines,9/10,409,407,2,14875,2237,348,95,6531
Galveston,6/5S,10667,10243,424,267032,50119,15388,2824,113161
Garza,1,44,42,2,5021,727,52,75,2607
Gillespie,8,726,724,2,22728,8108,1453,706,10293
Glasscock,9/10,6,6,0,1108,296,28,0,491
Goliad,8,120,115,5,6615,2077,59,135,3059
Gonzales,8,363,363,0,15931,3700,626,256,7818
Gray,1,621,616,5,17050,3428,927,315,8475
Grayson,2/3,2948,2928,20,107568,25224,10711,1989,49725
Gregg,4/5N,2424,2312,112,97771,19676,10046,2328,45063
Grimes,7,368,366,2,23692,5592,422,311,11724
Guadalupe,8,2666,2616,50,130156,24014,5123,1292,56504
Hale,1,867,846,21,25066,4629,1308,399,12481
Hall,1,79,78,1,2399,745,42,72,1348
Hamilton,7,534,534,0,6957,2150,503,296,3427
Hansford,1,215,213,2,3992,874,163,84,1970
Hardeman,2/3,218,214,4,3017,769,118,16,1552
Hardin,6/5S,791,783,8,47640,10521,1237,527,19766
Harris,6/5S,96461,90398,6063,3573784,490810,281834,27084,1572384
Harrison,4/5N,705,680,25,53015,11647,3586,608,25401
Hartley,1,41,40,1,4850,899,203,94,2001
Haskell,2/3,65,65,0,4635,1242,136,68,2483
Hays,7,4370,4347,23,183387,29281,7680,1557,67042
Hemphill,1,333,333,0,2788,547,113,98,1271
Henderson,4/5N,856,842,14,67614,18942,2628,932,35206
Hidalgo,11,12879,12810,69,649795,102347,62827,16918,319830
Hill,7,536,531,5,29221,8003,1219,523,14733
Hockley,1,496,473,23,17482,3513,795,263,8124
Hood,2/3,816,807,9,50235,15761,2493,862,23089
Hopkins,4/5N,379,377,2,29578,7446,1680,620,13891
Houston,4/5N,521,520,1,19208,5038,1114,426,9989
Howard,9/10,623,620,3,28821,4493,1826,454,14072
Hudspeth,9/10,48,48,0,2968,818,35,0,2097
Hunt,2/3,2244,2212,32,77702,16832,4485,947,36713
Hutchinson,1,359,356,3,15984,3458,545,246,7583
Irion,9/10,22,20,2,1345,412,19,0,563
Jack,2/3,203,200,3,7488,1604,226,149,3304
Jackson,8,418,415,3,11172,2670,422,237,5354
Jasper,4/5N,344,343,1,28248,7271,1952,374,15256
Jeff Davis,9/10,21,21,0,2146,846,29,0,1042
Jefferson,6/5S,1831,1817,14,198728,36802,16838,2497,109233
Jim Hogg,11,66,66,0,3764,898,35,60,1972
Jim Wells,11,673,662,11,29988,6423,4090,1033,15173
Johnson,2/3,2374,2263,111,135188,26669,5142,1260,61261
Jones,2/3,173,172,1,16827,3127,400,340,8290
Karnes,8,209,207,2,12523,2489,396,244,6085
Kaufman,2/3,2280,2126,154,104736,19164,4062,1176,43786
Kendall,8,1193,1154,39,38074,9979,2094,801,15516
Kenedy,11,6,6,0,315,94,1,0,176
Kent,2/3,47,47,0,633,235,14,60,275
Kerr,8,719,719,0,43611,14400,3557,1022,20395
Kimble,9/10,63,63,0,3844,1379,104,0,1891
King,1,5,5,0,233,60,5,0,93
