County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,14239685,10469505,7043729,3683989,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2011660,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,11100,8817,6187,3109,48045,8658,2051,833,20206,1574,,
Andrews,9/10,4500,8844,5151,3785,13503,1833,309,106,5450,41,,
Angelina,4/5N,36400,26766,18121,9207,67056,14422,6534,1752,28054,3266,,
Aransas,11,4070,11099,7709,3625,19803,6791,370,252,6701,39,,
Archer,2/3,2100,3513,2237,1364,6921,1677,80,13,2381,330,,
Armstrong,1,1400,783,487,305,1499,470,32,86,466,0,,
Atascosa,8,9800,13472,9180,4671,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4400,12242,8371,4455,23704,5933,667,396,7873,1079,,
Bailey,1,19225,3107,1770,1402,5089,1036,114,74,1982,0,,
Bandera,8,2100,6997,4783,2413,19763,6439,352,180,6555,20,,
Bastrop,7,29300,23033,16603,7007,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4450,1799,981,829,2793,844,137,97,908,0,,
Bee,11,56340,13889,8115,5893,26496,4091,981,684,11359,989,,
Bell,7,135870,75655,49789,29329,272969,40534,15894,2466,95066,12910,,
Bexar,8,839570,716140,461093,263611,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3500,5084,3590,1623,10092,3004,90,102,3388,303,,
Borden,9/10,0,226,137,95,543,174,9,0,163,0,,
Bosque,7,6800,6789,4778,2290,15224,4741,624,407,5126,579,,
Bowie,4/5N,36770,20055,13778,7545,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,127640,135212,87544,51166,287683,45752,9762,2648,105966,12034,,
Brazos,7,84480,74203,52018,24603,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3700,5451,3610,2014,7706,2231,303,0,2579,255,,
Briscoe,1,1000,819,474,378,1272,404,19,0,452,0,,
Brooks,11,2300,3669,2488,1192,5317,1308,323,246,2253,22,,
Brown,2/3,10600,10047,7399,4754,30883,7720,1663,911,11188,1112,,
Burleson,7,2900,6327,4235,2403,14869,3867,143,218,5600,518,,
Burnet,7,21775,15743,10627,5932,39239,10999,1823,595,13132,94,,
Caldwell,7,9500,11366,7907,4060,34853,6512,1286,524,14114,1294,,
Calhoun,8,3300,6552,4707,2116,16817,3981,470,384,6161,53,,
Callahan,2/3,2500,3939,2502,1558,11263,2958,146,122,4094,442,,
Cameron,11,178795,182554,120620,66759,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1200,3430,2401,1092,10031,2494,207,152,3927,0,,
Carson,1,1100,2028,1231,817,4718,1250,60,0,1547,240,,
Cass,4/5N,3200,5749,4083,2008,24182,6856,1216,550,9010,1125,,
Castro,1,2200,2679,1715,1036,5607,1236,121,174,2168,341,,
Chambers,6/5S,24700,12375,8526,4004,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10800,12096,7807,4751,40876,9444,1500,738,16376,1511,,
Childress,1,3300,2694,1630,1138,6094,1165,251,136,2395,0,,
Clay,2/3,9345,5256,3043,2269,8666,2484,136,60,3011,384,,
Cochran,1,1200,1711,1332,489,2188,468,57,0,956,0,,
Coke,9/10,0,1227,828,412,2756,947,47,130,899,0,,
Coleman,2/3,2100,2556,1759,895,6721,2119,342,162,2379,289,,
Collin,2/3,422290,417511,279628,145114,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1600,1151,710,501,2263,555,80,92,847,0,,
Colorado,6/5S,6800,8096,5296,3346,17107,4850,853,477,5957,613,,
Comal,8,46940,59960,38994,22835,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,6190,5070,3356,2019,10944,3330,330,292,3738,455,,
Concho,9/10,1500,1217,781,463,2288,689,76,66,815,0,,
Cooke,2/3,13900,11530,7644,4086,32675,7804,948,552,11640,1051,,
Coryell,7,21925,13690,8658,5319,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,526,334,200,1123,339,5,0,446,0,,
Crane,9/10,2950,1797,1133,675,3554,594,71,110,1353,0,,
Crockett,9/10,0,1549,890,671,2694,612,31,56,1031,0,,
Crosby,1,3450,2885,1615,1285,4421,1085,98,115,1771,284,,
Culberson,9/10,1400,988,659,331,1746,480,67,0,722,0,,
Dallam,1,18650,3392,2032,1365,5217,857,40,0,2067,0,,
Dallas,2/3,1077645,876113,583588,312603,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,2600,2853,1880,1016,9789,1898,304,112,4206,475,,
Deaf Smith,1,3400,5299,3462,2003,13439,2423,238,147,5332,0,,
Delta,4/5N,1000,1687,1156,569,4222,1118,379,100,1580,0,,
Denton,2/3,348170,307337,198645,113941,697330,93499,23806,5913,257836,22330,,
DeWitt,8,3500,5634,4079,1614,16110,4035,319,438,6110,1055,,
Dickens,1,0,822,463,379,1858,525,21,0,689,0,,
Dimmit,8,18185,6373,3581,2796,7539,1749,238,175,3179,48,,
Donley,1,1000,1181,868,321,2716,804,27,65,918,0,,
Duval,11,2400,5899,3694,2502,8600,2031,69,150,3541,482,,
Eastland,2/3,3500,5959,4024,2403,14970,4054,860,389,5393,591,,
Ector,9/10,90770,53671,33710,20777,120896,15970,5303,1016,50679,428,,
Edwards,8,0,1456,1264,244,1555,561,24,0,528,0,,
El Paso,9/10,373150,361748,233007,133515,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,67300,64049,42353,23823,141665,24288,3985,1994,54463,6578,,
Erath,2/3,13200,11242,8067,3649,34875,6256,1250,481,12564,1079,,
Falls,7,19825,4904,3103,1981,14049,3226,328,187,5671,486,,
Fannin,2/3,23725,10552,6455,4531,28874,6588,962,614,10987,1108,,
Fayette,7,3700,8888,5705,3518,20879,6679,998,647,6844,671,,
Fisher,2/3,1600,1227,734,537,3088,961,101,28,1061,0,,
Floyd,1,1600,2501,1577,978,4371,1070,132,68,1723,0,,
Foard,2/3,1400,612,369,257,962,315,7,80,332,0,,
Fort Bend,6/5S,301020,349730,225997,131141,616413,93851,24721,4977,175581,19047,,
Franklin,4/5N,2300,3072,2102,1039,8554,2367,169,163,2871,0,,
Freestone,7,2500,4198,3102,1336,15808,3996,553,261,6319,689,,
Frio,8,7750,5692,3677,2546,16121,2499,186,166,6797,28,,
Gaines,9/10,3300,3407,2319,1279,14548,1907,323,95,6156,717,,
Galveston,6/5S,159320,150573,96082,56921,269280,50987,11784,2830,96486,10219,,
Garza,1,2100,1541,1029,591,5325,719,33,75,2197,0,,
Gillespie,8,21500,12132,7937,4329,22307,8110,1175,706,6815,681,,
Glasscock,9/10,0,725,413,317,1099,210,23,0,426,0,,
Goliad,8,1500,2878,1721,1181,6281,1832,39,135,2282,0,,
Gonzales,8,4900,7551,5355,3107,15937,3572,550,256,6356,693,,
Gray,1,3600,6033,4157,2091,16924,3531,689,315,6978,42,,
Grayson,2/3,40850,37277,25163,14839,107521,24182,9338,2131,40586,4254,,
Gregg,4/5N,69015,38888,24896,14461,95544,19451,7025,2324,37362,3988,,
Grimes,7,3400,8343,5786,2935,23245,5134,234,311,9653,771,,
Guadalupe,8,53635,51611,33440,21383,130517,23614,3801,1225,49282,3850,,
Hale,1,6800,9795,6729,3577,25476,4604,873,399,10561,1177,,
Hall,1,0,1337,791,572,2406,711,27,72,978,0,,
Hamilton,7,3600,3654,2569,1452,6832,2146,481,296,2427,10,,
Hansford,1,2100,2035,1420,862,3987,812,139,84,1616,295,,
Hardeman,2/3,2800,1608,949,757,3190,912,102,16,1146,0,,
Hardin,6/5S,8500,18391,11563,7079,45112,9762,1003,527,16190,1814,,
Harris,6/5S,1843790,1595977,1096719,539322,3601939,514167,225769,27623,1408024,148273,,
Harrison,4/5N,11100,15622,10059,6384,51900,11607,3063,608,20509,2169,,
Hartley,1,1475,2763,1831,939,4561,861,196,94,1669,253,,
Haskell,2/3,1900,2238,1519,828,4831,1266,123,68,1872,187,,
Hays,7,96900,78404,53454,27872,183380,26187,5488,1907,61462,6431,,
Hemphill,1,2500,1752,1063,898,2827,606,104,98,1066,0,,
Henderson,4/5N,14200,21541,14537,7894,67238,18534,2043,998,26544,1787,,
Hidalgo,11,362190,323740,217228,112974,620824,98328,54962,17074,286328,36161,,
Hill,7,5500,11503,7904,4367,29198,7684,862,523,11381,1209,,
Hockley,1,3600,8114,4865,3525,17799,3453,483,263,6829,887,,
Hood,2/3,17600,26724,17822,9310,50193,15416,1720,867,16867,147,,
Hopkins,4/5N,5900,9130,6035,3293,29175,6887,1192,620,11166,1299,,
Houston,4/5N,4500,6449,4557,2352,18929,5176,634,538,7399,631,,
Howard,9/10,5200,8505,5143,3551,29544,4813,1456,454,12143,858,,
Hudspeth,9/10,1100,1651,1057,600,3979,775,33,0,1778,145,,
Hunt,2/3,25950,24495,15357,9748,77878,15810,4112,947,31096,2723,,
Hutchinson,1,2900,6272,3881,2490,16258,3581,504,246,6098,741,,
Irion,9/10,0,619,413,210,1234,328,15,0,429,0,,
Jack,2/3,2900,2949,1774,1270,7230,1515,198,149,2732,284,,
Jackson,8,5550,5133,3100,2116,11425,2720,380,237,4205,674,,
Jasper,4/5N,12900,12038,7390,4924,28056,7187,1597,374,11687,1173,,
Jeff Davis,9/10,900,1659,972,703,2180,812,28,0,685,0,,
Jefferson,6/5S,150990,75171,52668,22872,197382,37595,13127,2431,90120,6898,,
Jim Hogg,11,1200,3152,2000,1161,3791,890,14,60,1572,0,,
Jim Wells,11,21825,20842,12579,8603,30579,6358,3897,985,12474,1370,,
Johnson,2/3,54880,46387,31471,15795,135345,25151,3559,1471,53224,5814,,
Jones,2/3,2100,4459,2903,1885,17011,3188,337,254,6981,525,,
Karnes,8,5700,4927,3441,2156,12669,2211,370,244,5177,505,,
Kaufman,2/3,32750,34656,22676,12940,102341,16113,2857,1189,40613,4498,,
Kendall,8,7800,21158,13637,7936,37890,9152,1091,801,12702,160,,
Kenedy,11,0,287,162,126,321,68,1,0,139,0,,
Kent,2/3,0,341,204,153,615,201,13,60,198,0,,
Kerr,8,11900,17465,11907,5790,43793,14769,2805,1022,13990,1087,,
Kimble,9/10,1800,1890,1190,720,3651,1288,90,0,1243,0,,
King,1,0,56,39,19,205,51,7,0,69,0,,
Kinney,8,1300,1185,851,343,3050,910,11,0,1171,0,,
Kleberg,11,36525,18857,11251,7695,24188,4046,1401,341,9265,870,,
Knox,2/3,1700,1644,993,735,2808,736,95,127,976,182,,
La Salle,8,19725,4302,2554,1903,6212,1018,22,60,2410,0,,
Lamar,4/5N,18500,17826,11062,7082,39402,9726,3115,745,14986,1612,,
Lamb,1,1700,5042,3063,2147,9740,2240,454,226,3968,536,,
Lampasas,7,3200,5155,3416,1884,17366,4322,348,284,6457,0,,
Lavaca,8,5400,6982,4700,2738,16004,4775,820,612,5435,476,,
Lee,7,2700,4913,3427,1597,13993,3219,334,226,5333,494,,
Leon,7,2200,4235,3003,1378,13946,4334,155,74,4662,603,,
Liberty,6/5S,24925,16023,11041,5537,66868,11399,1398,614,28567,2987,,
Limestone,7,4900,5720,3789,2132,18871,4670,2332,1060,7512,702,,
Lipscomb,1,900,1011,638,400,2520,617,24,61,919,190,,
Live Oak,11,1700,3658,2328,1383,10055,2533,35,100,3769,300,,
Llano,7,4400,8189,5350,3078,18908,8119,277,358,5362,15,,
Loving,9/10,0,40,28,12,129,23,0,0,50,0,,
Lubbock,1,168240,131748,80924,52137,244992,39476,20974,4093,83028,9242,,
Lynn,1,1000,2115,1330,812,4496,974,191,40,1838,328,,
Madison,7,2100,2665,1834,994,11595,2264,299,258,4451,17,,
Marion,4/5N,700,2387,1636,807,8277,2697,351,158,3058,0,,
Martin,9/10,1600,1981,1217,847,4136,659,165,0,1624,0,,
Mason,9/10,1400,2004,1258,801,3521,1250,104,0,1147,0,,
Matagorda,6/5S,7370,9145,6727,2556,28247,6391,1113,369,11409,1164,,
Maverick,8,28200,15766,13041,3620,42606,7003,2970,1198,18727,152,,
McCulloch,9/10,2900,2550,1677,961,6435,1792,212,122,2275,260,,
McLennan,7,89150,78453,51250,31460,200781,37728,11153,3621,71906,8718,,
McMullen,11,800,334,212,142,616,189,10,0,202,0,,
Medina,8,8900,17358,11514,6784,41263,8757,899,536,16090,1720,,
Menard,9/10,900,1203,722,600,1790,699,9,40,550,0,,
Midland,9/10,102725,45291,30525,15375,131025,18438,5950,1288,49538,4151,,
Milam,7,5800,7962,5372,2757,19689,5245,532,297,7641,827,,
Mills,7,1400,2006,1335,729,4006,1416,149,152,1305,265,,
Mitchell,2/3,2700,2100,1385,743,6958,1259,265,96,2753,254,,
Montague,2/3,3250,6390,3936,2547,15872,4444,560,383,5668,702,,
