County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,9028167,6149910,3088893,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7700,5282,2779,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,7804,4792,3102,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,23496,15200,8782,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,8867,6051,3002,19803,6791,370,252,6701,39,,
Archer,2/3,1800,3407,2158,1315,6921,1677,80,13,2381,330,,
Armstrong,1,1200,774,482,298,1499,470,32,86,466,0,,
Atascosa,8,8600,10781,7447,3614,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,10609,7644,3281,23704,5933,667,396,7873,1079,,
Bailey,1,16885,3084,1803,1326,5089,1036,114,74,1982,0,,
Bandera,8,1600,6057,4070,2165,19763,6439,352,180,6555,20,,
Bastrop,7,25200,19344,14474,5270,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1773,968,814,2793,844,137,97,908,0,,
Bee,11,48460,13237,7671,5661,26496,4091,981,684,11359,989,,
Bell,7,116990,68937,46177,25716,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,621648,405852,222609,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,4276,3015,1351,10092,3004,90,102,3388,303,,
Borden,9/10,0,172,123,55,543,174,9,0,163,0,,
Bosque,7,5600,6274,4498,2015,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,18439,12633,6826,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,115823,77087,41695,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,62154,44566,19681,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,5192,3493,1862,7706,2231,303,0,2579,255,,
Briscoe,1,800,758,432,333,1272,404,19,0,452,0,,
Brooks,11,2000,3477,2434,1053,5317,1308,323,246,2253,22,,
Brown,2/3,9700,8897,6450,3835,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,5393,3754,1902,14869,3867,143,218,5600,518,,
Burnet,7,19435,13245,9416,4530,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,8975,6551,2871,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,5652,4211,1653,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3669,2434,1322,11263,2958,146,122,4094,442,,
Cameron,11,158455,157491,103883,57761,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2879,1958,967,10031,2494,207,152,3927,0,,
Carson,1,1000,1867,1166,714,4718,1250,60,0,1547,240,,
Cass,4/5N,2400,4996,3671,1617,24182,6856,1216,550,9010,1125,,
Castro,1,2000,2495,1614,967,5607,1236,121,174,2168,341,,
Chambers,6/5S,22300,11121,7654,3550,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10300,10895,7025,4248,40876,9444,1500,738,16376,1511,,
Childress,1,3000,2277,1530,820,6094,1165,251,136,2395,0,,
Clay,2/3,8145,5206,3018,2219,8666,2484,136,60,3011,384,,
Cochran,1,1000,1105,805,390,2188,468,57,0,956,0,,
Coke,9/10,0,1151,801,357,2756,947,47,130,899,0,,
Coleman,2/3,1700,2215,1651,625,6721,2119,342,162,2379,289,,
Collin,2/3,359990,358066,238587,124976,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1400,1039,637,411,2263,555,80,92,847,0,,
Colorado,6/5S,6100,7331,4747,2956,17107,4850,853,477,5957,613,,
Comal,8,40100,53892,35932,19439,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,4720,4630,3193,1673,10944,3330,330,292,3738,455,,
Concho,9/10,1200,1168,753,431,2288,689,76,66,815,0,,
Cooke,2/3,11400,10287,6726,3702,32675,7804,948,552,11640,1051,,
Coryell,7,18985,12246,7865,4585,60428,8040,1178,610,22789,2014,,
