County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,29986353,16883605,14279021,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,40112,23133,19381,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,14267,7913,6641,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,67179,37976,31931,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,25640,14377,12162,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,7046,3926,3482,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1287,721,607,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,43222,24460,20301,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,25402,14821,12454,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4839,2786,2296,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,17767,10145,8763,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,88585,50833,40542,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2475,1370,1235,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,28178,15825,12964,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,250426,142901,117512,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,2222211,1244792,1049391,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,11246,6255,5441,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,357,217,170,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,14238,8208,6890,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,55941,32332,26828,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,375533,208199,182265,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,208493,116933,98581,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,9120,5225,4376,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,1096,597,530,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,7811,4448,3746,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,23918,14728,12802,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,14836,8480,7272,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,42268,24280,20533,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,40355,23414,19080,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,19375,11287,9611,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,8835,5107,4351,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,554302,309867,261828,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,9378,5396,4288,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,3544,1972,1678,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,17292,10119,8473,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,5569,3223,2519,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,36320,20637,16643,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,33857,19814,16219,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,5840,3492,3119,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,7781,4298,3811,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1810,1069,935,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,2235,1252,1060,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,5349,3020,2591,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1231081,671417,592115,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1567,928,777,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,18985,11176,9453,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,164025,92416,80051,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,10382,5946,5117,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2362,1384,1110,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,27936,15967,13222,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,49819,28161,23625,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,912,525,461,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,3194,1936,1287,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2683,1477,1243,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,4591,2514,2189,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,2177,1170,1024,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,5620,3276,2446,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2722662,1525796,1284163,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,7278,4272,3541,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,15504,8764,7509,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,13321,7621,6418,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,3164,1783,1488,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,967030,525813,468789,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1233,705,621,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,13488,8135,5458,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,2179,1234,1013,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,12562,7203,5849,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,11066,6512,5314,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,121878,68824,56149,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1295,714,608,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,1081921,599195,514567,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,165340,93150,77967,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,25818,14660,12323,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,13230,7510,6084,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,23891,13875,11698,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,22394,13197,10691,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,2366,1401,1166,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,4373,2446,2127,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
