County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,19397865,12759834,8307828,4793909,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,3626940,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,14670,10614,7162,4313,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5400,9282,5317,4075,13503,1833,309,106,5450,41,,
Angelina,4/5N,45300,30860,20382,11360,67056,14422,6534,1752,28054,3266,,
Aransas,11,5170,12809,8094,4992,19803,6791,370,252,6701,39,,
Archer,2/3,2700,4035,2447,1746,6921,1677,80,13,2381,330,,
Armstrong,1,1900,873,533,358,1499,470,32,86,466,0,,
Atascosa,8,15600,15423,10314,5633,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6400,15445,10952,5242,23704,5933,667,396,7873,1079,,
Bailey,1,21665,3430,1968,1585,5089,1036,114,74,1982,0,,
Bandera,8,3400,9008,6048,3341,19763,6439,352,180,6555,20,,
Bastrop,7,38900,28825,18907,10644,68839,13865,1462,696,29356,2746,,
Baylor,2/3,5050,2082,1221,880,2793,844,137,97,908,0,,
Bee,11,70000,14884,8371,6663,26496,4091,981,684,11359,989,,
Bell,7,173890,89221,56571,36522,272969,40534,15894,2466,95066,12910,,
Bexar,8,1084460,843205,531978,323669,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4500,6019,4104,2075,10092,3004,90,102,3388,303,,
Borden,9/10,0,245,148,107,543,174,9,0,163,0,,
Bosque,7,9300,7389,5028,2672,15224,4741,624,407,5126,579,,
Bowie,4/5N,52230,24235,14674,10933,73689,15832,6332,1467,29102,3303,,
