County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,2058050,802503,718965,83538,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,4700,708,697,11,49346,8955,2590,833,24078
Andrews,9/10,1100,625,610,15,13954,1905,401,106,5867
Angelina,4/5N,11200,3009,2999,10,70388,14706,7603,1752,34525
Aransas,11,500,436,423,13,19727,6538,542,252,10102
Archer,2/3,300,232,216,16,7533,1887,107,59,3131
Armstrong,1,200,103,98,5,1693,588,37,86,659
Atascosa,8,2700,1094,1037,57,39065,7743,1181,655,17891
Austin,6/5S,1300,721,705,16,25584,6512,1069,396,10132
Bailey,1,500,129,129,0,5190,1024,156,74,2359
Bandera,8,200,509,498,11,19833,6530,426,186,9348
Bastrop,7,1700,1443,1363,80,70499,14746,2137,696,34606
Baylor,2/3,600,225,223,2,3002,916,156,97,1287
Bee,11,1500,634,617,17,26904,4202,1219,684,13037
Bell,7,23200,5904,5350,554,265191,37371,20144,2466,105279
Bexar,8,194575,57268,51178,6090,1541803,248261,127752,17100,696450
Blanco,7,300,185,177,8,10177,3274,167,102,4572
Borden,9/10,0,13,13,0,580,206,10,0,228
Bosque,7,1900,432,420,12,15491,4847,677,407,7171
Bowie,4/5N,7875,1440,1408,32,78179,16917,7877,1532,36179
Brazoria,6/5S,11400,10498,9114,1384,295635,48145,13914,2648,119229
Brazos,7,13950,2644,2488,156,185835,21605,10756,1278,64988
Brewster,9/10,1000,311,310,1,7291,1942,548,0,3547
Briscoe,1,100,95,95,0,1295,443,18,0,642
Brooks,11,300,133,133,0,5438,1441,396,246,2867
Brown,2/3,1500,720,706,14,31586,8452,1886,911,14261
Burleson,7,500,301,297,4,14721,3981,203,218,7277
Burnet,7,2800,758,739,19,39423,11162,2391,595,17381
Caldwell,7,1200,692,671,21,33813,6558,1744,524,16400
Calhoun,8,1000,481,474,7,17169,3944,608,254,7841
Callahan,2/3,500,316,258,58,11666,3185,310,122,5346
Cameron,11,33950,17716,15720,1996,315242,59778,33067,6480,149238
Camp,4/5N,100,211,198,13,10054,2412,353,154,4991
Carson,1,200,288,281,7,4769,1096,77,0,2031
Cass,4/5N,300,249,246,3,24447,7203,1609,550,12120
Castro,1,300,193,190,3,5574,1267,152,174,2718
Chambers,6/5S,2900,895,823,72,34171,5692,1101,120,13721
Cherokee,4/5N,4000,1048,1022,26,41571,9380,1837,809,20430
Childress,1,900,440,437,3,5769,1177,276,136,2845
Clay,2/3,300,328,303,25,8544,2430,175,60,4071
Cochran,1,100,205,188,17,2167,497,66,0,1139
Coke,9/10,0,60,49,11,2839,957,47,130,1324
Coleman,2/3,600,216,210,6,6555,2051,418,162,3427
Collin,2/3,39900,22396,19802,2594,806242,118818,56174,7544,256993
Collingsworth,1,300,122,121,1,2177,574,94,92,1084
Colorado,6/5S,600,420,416,4,17682,5065,1057,477,7953
Comal,8,8600,3578,3425,153,125758,29676,7125,1845,45927
Comanche,2/3,500,473,470,3,11046,3438,418,292,5170
Concho,9/10,0,39,30,9,2381,528,81,66,1923
Cooke,2/3,1500,739,722,17,32501,7977,1347,552,14449
Coryell,7,1600,909,890,19,58277,6832,1291,594,25149
Cottle,2/3,0,1274,1167,107,1120,400,5,0,608
Crane,9/10,200,123,123,0,3483,625,95,110,1547
Crockett,9/10,0,50,45,5,2687,716,45,56,1307
Crosby,1,200,191,183,8,4386,1236,127,115,2252
Culberson,9/10,200,71,71,0,1797,529,79,0,972
Dallam,1,700,64,64,0,5092,691,95,0,2336
Dallas,2/3,184875,59961,50288,9673,2015538,284171,183122,21354,820238
Dawson,9/10,500,139,135,4,9997,1927,385,112,5005
Deaf Smith,1,1100,607,599,8,14288,2472,316,228,6265
Delta,4/5N,0,77,77,0,4312,1312,437,100,2090
Denton,2/3,32400,13695,12373,1322,702429,94410,34569,5667,276089
DeWitt,8,700,276,261,15,16610,4251,421,438,7926
Dickens,1,0,27,26,1,1840,546,29,0,943
Dimmit,8,500,200,200,0,7130,1517,226,175,4018
Donley,1,100,196,195,1,2655,798,47,74,1278
Duval,11,200,243,241,2,8359,2073,107,150,4543
Eastland,2/3,600,303,298,5,14718,4181,1021,405,7102
Ector,9/10,10900,2879,2733,146,123303,16788,6730,1016,54750
Edwards,8,0,41,39,2,1605,586,27,0,792
El Paso,9/10,79400,38160,33163,4997,640715,111036,46429,8546,281334
Ellis,2/3,4600,4109,3648,461,146536,26120,5259,1781,61039
Erath,2/3,700,572,552,20,34869,6466,1793,481,14817
Falls,7,300,192,180,12,14306,3332,413,187,7192
Fannin,2/3,2300,1130,1115,15,29681,7609,1161,693,13661
Fayette,7,1200,575,569,6,21209,6683,1251,647,9754
Fisher,2/3,200,32,31,1,3139,996,184,28,1509
Floyd,1,200,167,166,1,4283,1207,156,68,2228
Foard,2/3,100,37,36,1,937,323,9,80,489
Fort Bend,6/5S,34400,20989,18373,2616,626861,97435,33263,4965,192056
Franklin,4/5N,400,179,177,2,8327,2189,181,163,3820
Freestone,7,1100,246,245,1,16551,4068,718,261,8172
Frio,8,1500,545,542,3,15133,2573,226,270,7605
Gaines,9/10,1100,526,521,5,14875,2237,348,95,6531
Galveston,6/5S,21900,14735,13079,1656,267032,50119,15388,2824,113161
Garza,1,0,52,49,3,5021,727,52,75,2607
Gillespie,8,1900,746,741,5,22728,8108,1453,706,10293
Glasscock,9/10,0,10,9,1,1108,296,28,0,491
Goliad,8,100,141,133,8,6615,2077,59,135,3059
Gonzales,8,1200,481,480,1,15931,3700,626,256,7818
Gray,1,1200,651,645,6,17050,3428,927,315,8475
Grayson,2/3,16975,3642,3577,65,107568,25224,10711,1989,49725
Gregg,4/5N,10950,2997,2727,270,97771,19676,10046,2328,45063
Grimes,7,1000,410,404,6,23692,5592,422,311,11724
Guadalupe,8,5300,3167,2995,172,130156,24014,5123,1292,56504
Hale,1,2600,1008,974,34,25066,4629,1308,399,12481
Hall,1,0,114,112,2,2399,745,42,72,1348
Hamilton,7,1200,554,554,0,6957,2150,503,296,3427
Hansford,1,400,219,217,2,3992,874,163,84,1970
Hardeman,2/3,500,292,287,5,3017,769,118,16,1552
Hardin,6/5S,3400,1007,997,10,47640,10521,1237,527,19766
Harris,6/5S,391825,124328,108960,15368,3573784,490810,281834,27084,1572384
Harrison,4/5N,2200,1012,939,73,53015,11647,3586,608,25401
Hartley,1,0,43,42,1,4850,899,203,94,2001
Haskell,2/3,100,148,146,2,4635,1242,136,68,2483
Hays,7,12750,5268,5013,255,183387,29281,7680,1557,67042
Hemphill,1,800,336,335,1,2788,547,113,98,1271
Henderson,4/5N,3300,1275,1178,97,67614,18942,2628,932,35206
Hidalgo,11,75175,19240,16924,2316,649795,102347,62827,16918,319830
Hill,7,900,625,613,12,29221,8003,1219,523,14733
Hockley,1,700,550,512,38,17482,3513,795,263,8124
Hood,2/3,2100,993,969,24,50235,15761,2493,862,23089
Hopkins,4/5N,1200,855,849,6,29578,7446,1680,620,13891
Houston,4/5N,1500,657,654,3,19208,5038,1114,426,9989
Howard,9/10,2500,678,672,6,28821,4493,1826,454,14072
Hudspeth,9/10,0,60,59,1,2968,818,35,0,2097
Hunt,2/3,4900,2371,2309,62,77702,16832,4485,947,36713
Hutchinson,1,500,390,385,5,15984,3458,545,246,7583
Irion,9/10,0,24,22,2,1345,412,19,0,563
Jack,2/3,300,244,236,8,7488,1604,226,149,3304
Jackson,8,1200,502,492,10,11172,2670,422,237,5354
Jasper,4/5N,1900,466,462,4,28248,7271,1952,374,15256
Jeff Davis,9/10,0,44,44,0,2146,846,29,0,1042
Jefferson,6/5S,15550,2559,2535,24,198728,36802,16838,2497,109233
Jim Hogg,11,100,85,85,0,3764,898,35,60,1972
Jim Wells,11,1000,883,870,13,29988,6423,4090,1033,15173
Johnson,2/3,2800,2969,2726,243,135188,26669,5142,1260,61261
Jones,2/3,100,255,221,34,16827,3127,400,340,8290
Karnes,8,800,229,226,3,12523,2489,396,244,6085
Kaufman,2/3,3250,2892,2566,326,104736,19164,4062,1176,43786
Kendall,8,2300,1451,1288,163,38074,9979,2094,801,15516
Kenedy,11,0,7,7,0,315,94,1,0,176
Kent,2/3,0,47,47,0,633,235,14,60,275
Kerr,8,3100,1052,1049,3,43611,14400,3557,1022,20395
Kimble,9/10,300,65,63,2,3844,1379,104,0,1891
King,1,0,7,7,0,233,60,5,0,93
Kinney,8,0,24,24,0,2931,889,19,0,1673
Kleberg,11,800,549,541,8,25862,4574,1835,341,10851
Knox,2/3,300,177,175,2,2861,823,117,127,1265
La Salle,8,100,75,72,3,6105,1224,37,60,2810
Lamar,4/5N,3100,1202,1193,9,40212,10314,3737,745,19135
Lamb,1,200,385,368,17,9647,2400,541,226,5028
Lampasas,7,200,260,254,6,17275,4497,436,284,8188
Lavaca,8,1600,739,730,9,16041,4537,881,620,7426
Lee,7,600,255,251,4,13837,3373,363,226,6632
Leon,7,500,231,229,2,14066,4292,256,74,6485
Liberty,6/5S,3300,891,833,58,70912,13765,2505,614,32693
Limestone,7,1100,342,340,2,19033,4691,2488,1060,9655
Lipscomb,1,0,86,86,0,2496,636,31,61,1202
Live Oak,11,200,116,116,0,9966,2656,55,100,4881
Llano,7,100,272,266,6,18642,7523,340,358,9093
Loving,9/10,0,2,2,0,83,34,1,0,47
Lubbock,1,58050,16991,14590,2401,243899,41235,24699,4151,94573
Lynn,1,200,197,183,14,4820,1113,212,40,2246
Madison,7,500,175,172,3,11353,2256,314,258,5423
Marion,4/5N,0,100,93,7,8117,2491,372,158,4457
Martin,9/10,300,250,242,8,4306,880,184,0,1849
Mason,9/10,200,131,127,4,3567,1322,126,0,1710
Matagorda,6/5S,2400,333,328,5,28353,6359,1540,369,14206
Maverick,8,2400,674,671,3,42357,7656,3716,1198,21160
McCulloch,9/10,400,71,71,0,6675,2024,303,122,3045
McLennan,7,14500,5255,4854,401,198642,37827,14401,3591,84638
McMullen,11,0,7,7,0,640,256,13,0,288
Medina,8,1000,962,927,35,42991,9239,1165,811,19399
Menard,9/10,0,51,50,1,1759,687,15,40,887
Midland,9/10,6300,2941,2245,696,132357,17262,7414,1391,54263
Milam,7,1400,433,429,4,19805,5508,693,254,10021
Mills,7,200,191,189,2,3970,1369,186,152,1970
Mitchell,2/3,600,259,258,1,7087,1476,310,96,3086
Montague,2/3,200,298,266,32,15803,4504,678,383,7509
Montgomery,6/5S,36475,9849,8963,886,470846,84212,25684,3769,177437
Moore,1,800,610,603,7,15513,2464,477,176,7114
Morris,4/5N,300,248,243,5,9938,2901,146,179,4953
Motley,1,0,34,34,0,1016,403,20,50,504
Nacogdoches,4/5N,5500,2393,2382,11,52561,10458,3380,851,24062
Navarro,2/3,1900,787,770,17,40888,9624,2099,869,19328
Newton,4/5N,400,157,157,0,11070,2715,101,113,6051
Nolan,2/3,1000,475,460,15,10998,2627,692,251,5398
Nueces,11,34275,12523,11736,787,282299,51768,30463,4100,135074
Ochiltree,1,800,209,207,2,7508,1186,218,114,3211
Oldham,1,0,100,94,6,1714,417,20,0,743
Orange,6/5S,800,530,523,7,65680,14828,2217,554,32089
Palo Pinto,2/3,700,372,365,7,23268,5869,1093,283,11269
Panola,4/5N,1200,212,202,10,19325,4774,784,377,9112
Parker,2/3,4900,3052,2889,163,112329,24963,4236,1301,47252
Parmer,1,500,336,333,3,7111,1387,171,174,3503
Pecos,9/10,1200,525,522,3,11723,2090,458,120,5876
Polk,4/5N,2500,622,610,12,41511,10157,1578,574,20999
Potter,1,40950,7824,7376,448,89806,16187,12650,1877,41999
Presidio,9/10,200,102,102,0,5092,1503,38,0,3005
Rains,4/5N,200,202,193,9,10262,3084,221,68,4960
Randall,1,4500,12027,11224,803,109144,21784,4683,869,41519
Reagan,9/10,100,74,73,1,2900,544,62,42,1287
Real,8,0,32,31,1,2882,1135,27,86,1608
Red River,4/5N,200,157,156,1,9511,2902,490,252,5235
Reeves,9/10,400,371,370,1,13004,2131,308,89,5885
Refugio,11,600,382,380,2,5497,1635,242,64,2785
Roberts,1,0,41,41,0,673,210,20,0,323
Robertson,7,500,224,218,6,14216,3542,273,252,6514
Rockwall,2/3,3500,2324,2107,217,81869,14227,4867,1327,30252
Runnels,2/3,900,510,462,48,7992,2310,499,312,3905
Rusk,4/5N,1000,531,497,34,44061,9463,1914,749,21319
Sabine,4/5N,1200,227,226,1,9116,3288,790,186,4721
San Augustine,4/5N,800,113,112,1,6982,2335,413,337,3730
San Jacinto,4/5N,900,363,352,11,23713,6477,230,190,12311
San Patricio,11,800,1129,1068,61,51382,10700,1409,396,22807
San Saba,7,200,24,24,0,5108,1536,95,72,2501
Schleicher,9/10,200,109,87,22,2184,564,71,34,1028
Scurry,2/3,500,346,345,1,12956,2503,560,128,6242
Shackelford,2/3,0,46,37,9,2694,694,122,0,1223
Shelby,4/5N,1200,310,309,1,18618,4285,754,369,9951
Sherman,1,0,26,25,1,2368,524,34,42,1047
Smith,4/5N,34500,8968,8238,730,181426,38833,24195,2911,75818
Somervell,2/3,0,166,157,9,7769,2079,263,220,3417
Starr,11,2300,1636,1589,47,46042,7973,5154,1966,23826
Stephens,2/3,300,58,54,4,7614,1989,282,92,3830
Sterling,9/10,0,33,32,1,1019,306,9,44,445
Stonewall,2/3,200,54,52,2,1136,425,66,80,533
Sutton,9/10,100,53,37,16,2909,758,102,0,1326
Swisher,1,100,269,267,2,5843,1484,146,61,2985
Tarrant,2/3,178725,41562,38717,2845,1596169,246738,117603,18366,660059
Taylor,2/3,11350,5596,4485,1111,108531,20790,13362,2443,43683
Terrell,9/10,0,27,27,0,652,245,13,0,356
Terry,1,1300,623,615,8,9564,1942,478,178,4766
Throckmorton,2/3,100,70,70,0,1187,400,68,0,605
Titus,4/5N,2200,567,562,5,25312,5155,2112,633,11794
Tom Green,9/10,9950,5129,3496,1633,93428,18529,7802,1606,39665
Travis,7,109650,34305,31109,3196,1016090,126607,72623,8271,337286
Trinity,4/5N,800,254,254,0,12118,3960,400,241,6368
Tyler,4/5N,1200,665,665,0,18704,5080,627,238,9278
Upshur,4/5N,400,615,561,54,33211,7910,852,567,15425
Upton,9/10,200,145,145,0,2790,680,189,30,1304
Uvalde,8,1600,803,799,4,20809,4433,1687,459,10179
Val Verde,8,2100,1149,1145,4,38039,7591,3134,490,17165
Van Zandt,4/5N,2000,1086,1014,72,45144,12228,1691,711,21537
Victoria,8,6550,2895,2624,271,72004,14413,6748,1008,33178
Walker,6/5S,3000,939,924,15,64302,10281,2415,400,28400
Waller,6/5S,1600,546,519,27,44163,7506,1476,466,18373
Ward,9/10,400,212,211,1,8544,1608,180,92,4073
Washington,7,1900,682,669,13,28737,7674,2867,1018,13829
Webb,11,26800,7478,7379,99,205887,27759,14457,1766,96319
