County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,24153654,13601084,11492861,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,31815,18387,15553,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,11578,6300,5505,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,51748,28809,25000,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,21197,11874,10098,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5891,3237,2972,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1107,617,519,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,33243,18867,15679,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,20697,11978,10349,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4096,2314,1993,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,15075,8590,7478,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,68094,39436,30825,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2213,1199,1117,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,23126,12631,11017,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,184603,105362,87493,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1810868,1018033,848061,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9926,5460,4833,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,282,161,144,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,12072,6827,5981,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,42697,24786,20702,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,305968,169714,148770,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,176656,98690,83824,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,8140,4653,3936,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,920,492,452,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,6279,3489,3018,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,18677,11547,10469,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,12179,6883,6122,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,34666,19782,17087,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,30633,17780,14649,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,14919,8591,7623,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6991,3977,3526,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,446807,251044,210174,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7377,4145,3486,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2918,1596,1398,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,13177,7718,6555,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4225,2398,1974,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,25451,15133,11038,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,25497,14659,12604,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4969,2898,2681,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6772,3641,3398,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1484,868,792,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1961,1080,942,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4386,2431,2185,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1039382,569937,497177,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1435,831,722,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,15634,9113,8070,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,135970,77487,65732,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,8407,4737,4257,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2012,1176,933,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,22993,12881,11178,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,37543,21321,17777,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,800,453,404,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2305,1409,922,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2249,1203,1076,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3818,2030,1862,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1939,1036,914,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4579,2621,2010,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2197221,1236219,1037831,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,5789,3310,2868,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,12125,6959,5799,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,9938,5678,4894,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2536,1397,1234,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,815107,444936,393906,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1033,574,533,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,9597,5507,4148,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1893,1052,898,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,9623,5495,4574,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,8929,5233,4406,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,93690,51992,44345,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1076,596,504,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,909979,510676,425630,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,131265,73555,62622,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,21354,11885,10405,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,10425,5844,4865,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,19166,10904,9732,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,17549,10296,8611,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,1946,1098,993,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3584,1957,1783,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,729,420,341,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,849719,473348,403246,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5329,3077,2623,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,9615,5650,4615,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,11922,7039,5708,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,5871,3354,2995,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,297849,160705,144624,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4301,2761,2532,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,22244,12290,10708,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,9/10,0,891,494,428,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4574,2524,2290,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,13090,7536,6843,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,11429,6489,5627,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2/3,67740,79419,46197,40459,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,76194,42088,36388,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,20578,11762,9945,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,123601,71350,61852,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,17698,10046,8999,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1921,1084,974,2552,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5591,3254,2848,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,3088,1810,1671,4355,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,2/3,3800,2488,1413,1292,3383,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,28524,15930,13531,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,3987253,2274433,1888099,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,32381,18737,16091,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3963,2233,1756,4854,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,2/3,3200,3443,1939,1656,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,205858,117413,98236,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2251,1322,1223,3122,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,23170,45051,25438,22111,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,641140,873926,491920,413298,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10400,20138,11762,10196,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,13311,7529,6615,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,2/3,31570,45240,24405,22201,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,19445,10831,9486,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6800,12514,7399,5974,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,9/10,7900,16401,9934,7882,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,9/10,2000,4612,2687,2357,4139,3979,775,33,0,1778,145,,,,,,,,,,,,,
Hunt,2/3,39410,53581,30228,26080,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,10442,5777,4947,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,9/10,0,920,505,437,1292,1234,328,15,0,429,0,,,,,,,,,,,,,
Jack,2/3,3900,4634,2652,2249,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,,
Jackson,8,11060,9298,5155,4520,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,,
Jasper,4/5N,15270,17269,9582,8494,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,,
Jeff Davis,9/10,1400,2087,1137,1017,2246,2180,812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,241300,161361,89868,74252,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,,
Jim Hogg,11,1400,4763,2670,2135,4107,3791,890,14,60,1572,0,,,,,,,,,,,,,
Jim Wells,11,35525,32082,17800,15182,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,,
Johnson,2/3,105100,108782,59993,52423,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,,
Jones,2/3,3300,10895,6474,5571,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,,
Karnes,8,14520,11095,6326,5639,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,,
Kaufman,2/3,65950,92129,52333,43514,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,,
Kendall,8,19400,43026,24350,20760,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,,
Kenedy,11,0,351,188,168,333,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,2/3,0,422,238,213,646,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,20100,35692,20249,17133,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,,
Kimble,9/10,2900,2829,1601,1363,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,,
King,1,0,68,41,32,215,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,2400,2339,1318,1069,3211,3050,910,11,0,1171,0,,,,,,,,,,,,,
Kleberg,11,59725,28683,15683,13487,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,,
Knox,2/3,2300,2134,1165,1093,3024,2808,736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,24535,6421,3662,3093,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,,
Lamar,4/5N,28200,26749,14757,13216,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,,
Lamb,1,2400,7720,4355,3817,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,,
Lampasas,7,5000,12394,7246,6076,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,,
Lavaca,8,8700,12520,7159,6531,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,,
Lee,7,5900,11055,6280,5345,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,,
Leon,7,3800,9096,5391,4630,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,,
Liberty,6/5S,42565,45671,26563,21231,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,,
