County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,8825245,6621770,4268329,2354801,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,647990,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,7900,5749,3544,2205,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3000,6404,4297,2107,13503,1833,309,106,5450,41,,
Angelina,4/5N,23300,19254,12457,6797,67056,14422,6534,1752,28054,3266,,
Aransas,11,1900,5803,3687,2119,19803,6791,370,252,6701,39,,
Archer,2/3,1400,2680,1511,1169,6921,1677,80,13,2381,330,,
Armstrong,1,900,684,411,273,1499,470,32,86,466,0,,
Atascosa,8,6100,8041,5251,2790,38768,7605,1124,651,15239,1557,,
Austin,6/5S,2900,7605,5495,2110,23704,5933,667,396,7873,1079,,
Bailey,1,12105,2871,1657,1214,5089,1036,114,74,1982,0,,
Bandera,8,1100,4807,3227,1580,19763,6439,352,180,6555,20,,
Bastrop,7,17900,11463,7990,3476,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3450,1613,912,701,2793,844,137,97,908,0,,
Bee,11,37100,11540,6410,5130,26496,4091,981,684,11359,989,,
Bell,7,82050,49277,30044,19253,272969,40534,15894,2466,95066,12910,,
Bexar,8,587330,457801,288273,169532,1552823,247843,100704,17248,614646,61232,,
Blanco,7,2200,2830,1972,858,10092,3004,90,102,3388,303,,
Borden,9/10,0,143,98,45,543,174,9,0,163,0,,
Bosque,7,4000,4492,2881,1612,15224,4741,624,407,5126,579,,
Bowie,4/5N,21250,11522,7334,4188,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,74490,84708,53064,31657,287683,45752,9762,2648,105966,12034,,
Brazos,7,51270,42768,29202,13566,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,2200,4184,2586,1640,7706,2231,303,0,2579,255,,
Briscoe,1,800,701,393,308,1272,404,19,0,452,0,,
Brooks,11,1800,2378,1460,918,5317,1308,323,246,2253,22,,
Brown,2/3,4800,5211,3870,1341,30883,7720,1663,911,11188,1112,,
Burleson,7,1600,3669,2693,976,14869,3867,143,218,5600,518,,
Burnet,7,13255,8280,5807,2473,39239,10999,1823,595,13132,94,,
Caldwell,7,5600,6497,4467,2030,34853,6512,1286,524,14114,1294,,
Calhoun,8,1900,3539,2460,1080,16817,3981,470,384,6161,53,,
Callahan,2/3,1700,2778,1849,929,11263,2958,146,122,4094,442,,
Cameron,11,119565,117934,74623,43315,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,800,1967,1276,692,10031,2494,207,152,3927,0,,
Carson,1,500,1649,994,655,4718,1250,60,0,1547,240,,
Cass,4/5N,1400,2451,1642,809,24182,6856,1216,550,9010,1125,,
Castro,1,1500,2050,1229,821,5607,1236,121,174,2168,341,,
Chambers,6/5S,17000,7092,4545,2547,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,8200,8331,5060,3271,40876,9444,1500,738,16376,1511,,
Childress,1,2200,2045,1367,678,6094,1165,251,136,2395,0,,
Clay,2/3,6945,4686,2552,2134,8666,2484,136,60,3011,384,,
Cochran,1,800,849,577,272,2188,468,57,0,956,0,,
Coke,9/10,0,824,529,295,2756,947,47,130,899,0,,
Coleman,2/3,1200,1569,1044,525,6721,2119,342,162,2379,289,,
Collin,2/3,257410,256208,157407,98806,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1100,859,548,311,2263,555,80,92,847,0,,
Colorado,6/5S,4900,5748,3615,2133,17107,4850,853,477,5957,613,,
Comal,8,30500,37790,23999,13792,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,4420,3670,2309,1361,10944,3330,330,292,3738,455,,
Concho,9/10,700,898,615,283,2288,689,76,66,815,0,,
Cooke,2/3,7500,7571,5339,2235,32675,7804,948,552,11640,1051,,
Coryell,7,14105,9675,5916,3759,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,311,219,92,1123,339,5,0,446,0,,
Crane,9/10,2450,1458,907,551,3554,594,71,110,1353,0,,
Crockett,9/10,0,1108,642,466,2694,612,31,56,1031,0,,
Crosby,1,2850,2218,1405,813,4421,1085,98,115,1771,284,,
Culberson,9/10,900,652,388,264,1746,480,67,0,722,0,,
Dallam,1,11630,3099,1829,1270,5217,857,40,0,2067,0,,
Dallas,2/3,744325,540683,343401,197426,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,1500,1834,1157,678,9789,1898,304,112,4206,475,,
Deaf Smith,1,2700,3652,2458,1194,13439,2423,238,147,5332,0,,
Delta,4/5N,600,1015,658,357,4222,1118,379,100,1580,0,,
Denton,2/3,225280,183508,114109,69410,697330,93499,23806,5913,257836,22330,,
DeWitt,8,0,3449,2468,981,16110,4035,319,438,6110,1055,,
Dickens,1,0,520,380,140,1858,525,21,0,689,0,,
Dimmit,8,12035,4981,3154,1827,7539,1749,238,175,3179,48,,
Donley,1,500,993,712,281,2716,804,27,65,918,0,,
Duval,11,1400,4033,2573,1460,8600,2031,69,150,3541,482,,
Eastland,2/3,1800,3480,2459,1027,14970,4054,860,389,5393,591,,
Ector,9/10,62860,40946,26968,13978,120896,15970,5303,1016,50679,428,,
Edwards,8,0,317,238,79,1555,561,24,0,528,0,,
El Paso,9/10,260040,238306,148913,89397,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,31660,37684,25490,12196,141665,24288,3985,1994,54463,6578,,
Erath,2/3,6500,7679,5537,2142,34875,6256,1250,481,12564,1079,,
Falls,7,12605,3496,2130,1366,14049,3226,328,187,5671,486,,
Fannin,2/3,15605,7422,4630,2794,28874,6588,962,614,10987,1108,,
Fayette,7,2400,5437,3892,1545,20879,6679,998,647,6844,671,,
Fisher,2/3,1100,865,549,316,3088,961,101,28,1061,0,,
Floyd,1,1100,1752,1164,588,4371,1070,132,68,1723,0,,
Foard,2/3,900,531,377,154,962,315,7,80,332,0,,
Fort Bend,6/5S,198650,231315,138194,93171,616413,93851,24721,4977,175581,19047,,
Franklin,4/5N,1600,1814,1197,617,8554,2367,169,163,2871,0,,
Freestone,7,1700,2514,1705,851,15808,3996,553,261,6319,689,,
Frio,8,5550,3843,2205,1638,16121,2499,186,166,6797,28,,
Gaines,9/10,2000,2443,1685,760,14548,1907,323,95,6156,717,,
Galveston,6/5S,96900,96987,59524,37466,269280,50987,11784,2830,96486,10219,,
Garza,1,1300,1074,810,264,5325,719,33,75,2197,0,,
Gillespie,8,14100,8480,5121,3359,22307,8110,1175,706,6815,681,,
Glasscock,9/10,0,542,295,247,1099,210,23,0,426,0,,
Goliad,8,600,2171,1232,939,6281,1832,39,135,2282,0,,
Gonzales,8,2700,4886,3259,1627,15937,3572,550,256,6356,693,,
Gray,1,2300,3740,2432,1308,16924,3531,689,315,6978,42,,
Grayson,2/3,27870,23680,15068,8664,107521,24182,9338,2131,40586,4254,,
Gregg,4/5N,43815,24031,15955,8076,95544,19451,7025,2324,37362,3988,,
Grimes,7,2200,4795,3359,1436,23245,5134,234,311,9653,771,,
Guadalupe,8,32975,32020,20447,11573,130517,23614,3801,1225,49282,3850,,
Hale,1,3700,6299,4250,2050,25476,4604,873,399,10561,1177,,
Hall,1,0,1178,706,472,2406,711,27,72,978,0,,
Hamilton,7,2100,2066,1387,679,6832,2146,481,296,2427,10,,
Hansford,1,1200,1520,1023,497,3987,812,139,84,1616,295,,
Hardeman,2/3,1700,1648,966,682,3190,912,102,16,1146,0,,
Hardin,6/5S,7000,11689,8254,3435,45112,9762,1003,527,16190,1814,,
Harris,6/5S,1215280,969898,632834,337336,3601939,514167,225769,27623,1408024,148273,,
Harrison,4/5N,6800,9562,6477,3085,51900,11607,3063,608,20509,2169,,
Hartley,1,1475,2179,1267,912,4561,861,196,94,1669,253,,
