County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,3898700,1754569,1488783,265786,22448443,3769216,1591521,270194,9499038
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,1940,1832,108,49346,8955,2590,833,24078
Andrews,9/10,1600,1424,1107,317,13954,1905,401,106,5867
Angelina,4/5N,12200,5542,5095,447,70388,14706,7603,1752,34525
Aransas,11,600,1033,945,88,19727,6538,542,252,10102
Archer,2/3,400,564,495,69,7533,1887,107,59,3131
Armstrong,1,200,257,250,7,1693,588,37,86,659
Atascosa,8,2900,1870,1558,312,39065,7743,1181,655,17891
Austin,6/5S,1400,1485,1383,102,25584,6512,1069,396,10132
Bailey,1,2450,549,520,29,5190,1024,156,74,2359
Bandera,8,200,1273,1160,113,19833,6530,426,186,9348
Bastrop,7,4500,2679,2415,264,70499,14746,2137,696,34606
Baylor,2/3,1575,723,693,30,3002,916,156,97,1287
Bee,11,7550,3045,2892,153,26904,4202,1219,684,13037
Bell,7,33650,17160,14640,2520,265191,37371,20144,2466,105279
Bexar,8,276025,132354,102364,29990,1541803,248261,127752,17100,696450
Blanco,7,300,1153,1109,44,10177,3274,167,102,4572
Borden,9/10,0,26,26,0,580,206,10,0,228
Bosque,7,2000,804,763,41,15491,4847,677,407,7171
Bowie,4/5N,10050,3572,2811,761,78179,16917,7877,1532,36179
Brazoria,6/5S,16900,21334,17250,4084,295635,48145,13914,2648,119229
Brazos,7,18025,8265,7355,910,185835,21605,10756,1278,64988
Brewster,9/10,1000,639,613,26,7291,1942,548,0,3547
Briscoe,1,100,162,161,1,1295,443,18,0,642
Brooks,11,600,309,304,5,5438,1441,396,246,2867
Brown,2/3,1700,1280,1035,245,31586,8452,1886,911,14261
Burleson,7,800,589,539,50,14721,3981,203,218,7277
Burnet,7,3975,1601,1393,208,39423,11162,2391,595,17381
Caldwell,7,1400,1440,1298,142,33813,6558,1744,524,16400
Calhoun,8,1000,1097,972,125,17169,3944,608,254,7841
Callahan,2/3,700,617,479,138,11666,3185,310,122,5346
Cameron,11,50250,34348,29460,4888,315242,59778,33067,6480,149238
Camp,4/5N,100,497,434,63,10054,2412,353,154,4991
Carson,1,200,479,464,15,4769,1096,77,0,2031
Cass,4/5N,300,488,408,80,24447,7203,1609,550,12120
Castro,1,700,527,468,59,5574,1267,152,174,2718
Chambers,6/5S,5400,1894,1727,167,34171,5692,1101,120,13721
Cherokee,4/5N,5200,2343,2163,180,41571,9380,1837,809,20430
Childress,1,1100,494,451,43,5769,1177,276,136,2845
Clay,2/3,2250,624,528,96,8544,2430,175,60,4071
Cochran,1,100,429,355,74,2167,497,66,0,1139
Coke,9/10,0,161,139,22,2839,957,47,130,1324
Coleman,2/3,600,439,407,32,6555,2051,418,162,3427
Collin,2/3,61275,48634,41035,7599,806242,118818,56174,7544,256993
Collingsworth,1,300,312,305,7,2177,574,94,92,1084
Colorado,6/5S,1600,761,715,46,17682,5065,1057,477,7953
Comal,8,9700,7269,5765,1504,125758,29676,7125,1845,45927
Comanche,2/3,1775,1074,1028,46,11046,3438,418,292,5170
Concho,9/10,100,102,83,19,2381,528,81,66,1923
Cooke,2/3,1900,1448,1348,100,32501,7977,1347,552,14449
Coryell,7,3750,2376,2216,160,58277,6832,1291,594,25149
Cottle,2/3,0,49,48,1,1120,400,5,0,608
Crane,9/10,1175,291,272,19,3483,625,95,110,1547
Crockett,9/10,0,300,291,9,2687,716,45,56,1307
Crosby,1,1175,369,342,27,4386,1236,127,115,2252
Culberson,9/10,400,126,108,18,1797,529,79,0,972
Dallam,1,1475,318,314,4,5092,691,95,0,2336
Dallas,2/3,299125,127345,107855,19490,2015538,284171,183122,21354,820238
Dawson,9/10,600,521,499,22,9997,1927,385,112,5005
Deaf Smith,1,1700,910,869,41,14288,2472,316,228,6265
Delta,4/5N,0,180,148,32,4312,1312,437,100,2090
Denton,2/3,54125,27193,23013,4180,702429,94410,34569,5667,276089
DeWitt,8,800,594,512,82,16610,4251,421,438,7926
Dickens,1,0,54,51,3,1840,546,29,0,943
Dimmit,8,2750,601,544,57,7130,1517,226,175,4018
Donley,1,100,280,272,8,2655,798,47,74,1278
Duval,11,300,787,751,36,8359,2073,107,150,4543
Eastland,2/3,900,844,782,62,14718,4181,1021,405,7102
Ector,9/10,19900,7411,5947,1464,123303,16788,6730,1016,54750
Edwards,8,0,95,78,17,1605,586,27,0,792
El Paso,9/10,108125,77082,62986,14096,640715,111036,46429,8546,281334
Ellis,2/3,4800,7136,6138,998,146536,26120,5259,1781,61039
Erath,2/3,1000,1329,1159,170,34869,6466,1793,481,14817
Falls,7,2650,843,811,32,14306,3332,413,187,7192
Fannin,2/3,4650,1882,1649,233,29681,7609,1161,693,13661
Fayette,7,1400,959,897,62,21209,6683,1251,647,9754
Fisher,2/3,200,103,99,4,3139,996,184,28,1509
Floyd,1,200,386,369,17,4283,1207,156,68,2228
Foard,2/3,100,177,168,9,937,323,9,80,489
Fort Bend,6/5S,50575,47513,39996,7517,626861,97435,33263,4965,192056
Franklin,4/5N,400,475,439,36,8327,2189,181,163,3820
Freestone,7,1100,554,546,8,16551,4068,718,261,8172
Frio,8,2475,1197,959,238,15133,2573,226,270,7605
Gaines,9/10,1200,662,624,38,14875,2237,348,95,6531
Galveston,6/5S,38225,25980,21062,4918,267032,50119,15388,2824,113161
Garza,1,100,124,113,11,5021,727,52,75,2607
Gillespie,8,4300,1624,1562,62,22728,8108,1453,706,10293
Glasscock,9/10,0,33,28,5,1108,296,28,0,491
Goliad,8,100,584,541,43,6615,2077,59,135,3059
Gonzales,8,1600,978,919,59,15931,3700,626,256,7818
Gray,1,1300,1073,1048,25,17050,3428,927,315,8475
Grayson,2/3,21800,7775,6658,1117,107568,25224,10711,1989,49725
Gregg,4/5N,16050,6467,4945,1522,97771,19676,10046,2328,45063
Grimes,7,1200,931,875,56,23692,5592,422,311,11724
Guadalupe,8,6275,6378,4771,1607,130156,24014,5123,1292,56504
Hale,1,2600,1754,1602,152,25066,4629,1308,399,12481
Hall,1,0,226,217,9,2399,745,42,72,1348
Hamilton,7,1600,1672,1579,93,6957,2150,503,296,3427
Hansford,1,600,317,313,4,3992,874,163,84,1970
Hardeman,2/3,500,369,326,43,3017,769,118,16,1552
Hardin,6/5S,4700,2548,2372,176,47640,10521,1237,527,19766
Harris,6/5S,571325,288229,242256,45973,3573784,490810,281834,27084,1572384
Harrison,4/5N,2800,2289,1998,291,53015,11647,3586,608,25401
Hartley,1,1475,192,188,4,4850,899,203,94,2001
Haskell,2/3,200,322,307,15,4635,1242,136,68,2483
Hays,7,18125,11012,9472,1540,183387,29281,7680,1557,67042
Hemphill,1,800,394,388,6,2788,547,113,98,1271
Henderson,4/5N,3400,2755,2425,330,67614,18942,2628,932,35206
Hidalgo,11,107750,41386,33939,7447,649795,102347,62827,16918,319830
Hill,7,1100,1566,1493,73,29221,8003,1219,523,14733
Hockley,1,900,983,864,119,17482,3513,795,263,8124
Hood,2/3,2200,1567,1467,100,50235,15761,2493,862,23089
Hopkins,4/5N,2400,1623,1404,219,29578,7446,1680,620,13891
Houston,4/5N,1500,1272,1187,85,19208,5038,1114,426,9989
Howard,9/10,2700,1199,1075,124,28821,4493,1826,454,14072
Hudspeth,9/10,100,83,75,8,2968,818,35,0,2097
Hunt,2/3,7050,4674,3653,1021,77702,16832,4485,947,36713
Hutchinson,1,600,1044,1029,15,15984,3458,545,246,7583
Irion,9/10,0,59,55,4,1345,412,19,0,563
Jack,2/3,500,353,332,21,7488,1604,226,149,3304
Jackson,8,2775,860,795,65,11172,2670,422,237,5354
Jasper,4/5N,5100,1456,1408,48,28248,7271,1952,374,15256
Jeff Davis,9/10,100,81,79,2,2146,846,29,0,1042
Jefferson,6/5S,22900,7012,6464,548,198728,36802,16838,2497,109233
Jim Hogg,11,100,469,466,3,3764,898,35,60,1972
Jim Wells,11,3250,2490,2329,161,29988,6423,4090,1033,15173
Johnson,2/3,3500,6377,5585,792,135188,26669,5142,1260,61261
Jones,2/3,400,646,531,115,16827,3127,400,340,8290
Karnes,8,1300,578,556,22,12523,2489,396,244,6085
Kaufman,2/3,3750,5205,4362,843,104736,19164,4062,1176,43786
Kendall,8,2300,3159,2371,788,38074,9979,2094,801,15516
Kenedy,11,0,20,19,1,315,94,1,0,176
Kent,2/3,0,55,55,0,633,235,14,60,275
Kerr,8,3200,2172,1806,366,43611,14400,3557,1022,20395
Kimble,9/10,300,223,208,15,3844,1379,104,0,1891
King,1,0,9,8,1,233,60,5,0,93
Kinney,8,100,84,83,1,2931,889,19,0,1673
Kleberg,11,5050,1843,1730,113,25862,4574,1835,341,10851
Knox,2/3,300,301,290,11,2861,823,117,127,1265
La Salle,8,2150,1064,1046,18,6105,1224,37,60,2810
Lamar,4/5N,3700,2446,2350,96,40212,10314,3737,745,19135
Lamb,1,400,677,625,52,9647,2400,541,226,5028
Lampasas,7,300,576,515,61,17275,4497,436,284,8188
Lavaca,8,1900,1177,1075,102,16041,4537,881,620,7426
Lee,7,600,567,540,27,13837,3373,363,226,6632
Leon,7,600,456,441,15,14066,4292,256,74,6485
Liberty,6/5S,5450,2377,2258,119,70912,13765,2505,614,32693
Limestone,7,1500,861,847,14,19033,4691,2488,1060,9655
Lipscomb,1,100,178,175,3,2496,636,31,61,1202
Live Oak,11,200,464,447,17,9966,2656,55,100,4881
Llano,7,100,728,643,85,18642,7523,340,358,9093
Loving,9/10,0,7,7,0,83,34,1,0,47
Lubbock,1,73900,33737,28239,5498,243899,41235,24699,4151,94573
Lynn,1,200,411,367,44,4820,1113,212,40,2246
Madison,7,700,337,319,18,11353,2256,314,258,5423
Marion,4/5N,0,216,181,35,8117,2491,372,158,4457
Martin,9/10,600,332,302,30,4306,880,184,0,1849
Mason,9/10,200,207,191,16,3567,1322,126,0,1710
Matagorda,6/5S,2500,830,808,22,28353,6359,1540,369,14206
Maverick,8,4800,2595,2407,188,42357,7656,3716,1198,21160
McCulloch,9/10,600,300,287,13,6675,2024,303,122,3045
McLennan,7,23700,14309,13024,1285,198642,37827,14401,3591,84638
McMullen,11,100,21,20,1,640,256,13,0,288
Medina,8,1400,2206,1878,328,42991,9239,1165,811,19399
Menard,9/10,100,95,86,9,1759,687,15,40,887
Midland,9/10,16750,6476,4571,1905,132357,17262,7414,1391,54263
Milam,7,1800,1324,1277,47,19805,5508,693,254,10021
Mills,7,200,288,268,20,3970,1369,186,152,1970
Mitchell,2/3,600,286,283,3,7087,1476,310,96,3086
Montague,2/3,1275,1032,963,69,15803,4504,678,383,7509
Montgomery,6/5S,47850,20238,17572,2666,470846,84212,25684,3769,177437
Moore,1,1100,1169,1158,11,15513,2464,477,176,7114
Morris,4/5N,300,421,383,38,9938,2901,146,179,4953
Motley,1,0,75,70,5,1016,403,20,50,504
Nacogdoches,4/5N,6700,4359,4186,173,52561,10458,3380,851,24062
Navarro,2/3,4000,1985,1908,77,40888,9624,2099,869,19328
Newton,4/5N,400,408,403,5,11070,2715,101,113,6051
Nolan,2/3,1600,1435,1387,48,10998,2627,692,251,5398
Nueces,11,48525,22333,17016,5317,282299,51768,30463,4100,135074
Ochiltree,1,900,501,496,5,7508,1186,218,114,3211
Oldham,1,100,192,182,10,1714,417,20,0,743
Orange,6/5S,1200,1473,1381,92,65680,14828,2217,554,32089
Palo Pinto,2/3,1300,839,819,20,23268,5869,1093,283,11269
Panola,4/5N,1200,873,824,49,19325,4774,784,377,9112
Parker,2/3,9200,6630,6094,536,112329,24963,4236,1301,47252
Parmer,1,500,499,471,28,7111,1387,171,174,3503
Pecos,9/10,1300,791,650,141,11723,2090,458,120,5876
Polk,4/5N,2800,1515,1469,46,41511,10157,1578,574,20999
Potter,1,60050,12151,11376,775,89806,16187,12650,1877,41999
Presidio,9/10,400,232,230,2,5092,1503,38,0,3005
Rains,4/5N,200,385,329,56,10262,3084,221,68,4960
Randall,1,4600,18683,17368,1315,109144,21784,4683,869,41519
Reagan,9/10,200,126,117,9,2900,544,62,42,1287
Real,8,0,226,219,7,2882,1135,27,86,1608
Red River,4/5N,500,816,799,17,9511,2902,490,252,5235
Reeves,9/10,2450,1418,1403,15,13004,2131,308,89,5885
Refugio,11,600,703,616,87,5497,1635,242,64,2785
Roberts,1,0,49,49,0,673,210,20,0,323
Robertson,7,700,588,540,48,14216,3542,273,252,6514
Rockwall,2/3,4400,4678,3993,685,81869,14227,4867,1327,30252
Runnels,2/3,1300,873,796,77,7992,2310,499,312,3905
Rusk,4/5N,1100,1559,1380,179,44061,9463,1914,749,21319
Sabine,4/5N,1300,874,870,4,9116,3288,790,186,4721
San Augustine,4/5N,800,418,410,8,6982,2335,413,337,3730
San Jacinto,4/5N,1100,858,821,37,23713,6477,230,190,12311
San Patricio,11,1700,2265,1829,436,51382,10700,1409,396,22807
San Saba,7,200,90,84,6,5108,1536,95,72,2501
Schleicher,9/10,200,130,108,22,2184,564,71,34,1028
Scurry,2/3,1875,573,565,8,12956,2503,560,128,6242
Shackelford,2/3,100,97,77,20,2694,694,122,0,1223
Shelby,4/5N,1200,698,676,22,18618,4285,754,369,9951
Sherman,1,100,138,135,3,2368,524,34,42,1047
Smith,4/5N,47600,19022,15473,3549,181426,38833,24195,2911,75818
Somervell,2/3,300,301,278,23,7769,2079,263,220,3417
Starr,11,3800,2811,2234,577,46042,7973,5154,1966,23826
Stephens,2/3,300,285,272,13,7614,1989,282,92,3830
Sterling,9/10,100,59,54,5,1019,306,9,44,445
Stonewall,2/3,200,110,105,5,1136,425,66,80,533
Sutton,9/10,200,121,102,19,2909,758,102,0,1326
Swisher,1,200,456,446,10,5843,1484,146,61,2985
Tarrant,2/3,277725,94099,85716,8383,1596169,246738,117603,18366,660059
Taylor,2/3,16875,11138,8202,2936,108531,20790,13362,2443,43683
Terrell,9/10,0,45,37,8,652,245,13,0,356
Terry,1,2375,920,800,120,9564,1942,478,178,4766
Throckmorton,2/3,300,193,193,0,1187,400,68,0,605
Titus,4/5N,2700,1112,1020,92,25312,5155,2112,633,11794
Tom Green,9/10,16950,9980,7570,2410,93428,18529,7802,1606,39665
Travis,7,150550,75031,62683,12348,1016090,126607,72623,8271,337286
Trinity,4/5N,1775,575,564,11,12118,3960,400,241,6368
Tyler,4/5N,1200,1036,1027,9,18704,5080,627,238,9278
Upshur,4/5N,600,1259,1014,245,33211,7910,852,567,15425
Upton,9/10,400,198,183,15,2790,680,189,30,1304
Uvalde,8,3750,2399,2055,344,20809,4433,1687,459,10179
Val Verde,8,4050,2599,2399,200,38039,7591,3134,490,17165
Van Zandt,4/5N,2000,2389,2072,317,45144,12228,1691,711,21537
Victoria,8,9175,5915,4811,1104,72004,14413,6748,1008,33178
Walker,6/5S,4000,2245,2169,76,64302,10281,2415,400,28400
Waller,6/5S,1700,1106,1010,96,44163,7506,1476,466,18373
Ward,9/10,400,383,365,18,8544,1608,180,92,4073
Washington,7,6200,1457,1366,91,28737,7674,2867,1018,13829
Webb,11,33500,13526,12318,1208,205887,27759,14457,1766,96319
Wharton,6/5S,2100,1175,1104,71,31964,7399,1057,615,16049
Wheeler,1,400,427,427,0,4018,1136,230,114,1950
Wichita,2/3,21600,11127,9494,1633,106550,21428,10503,2088,50159
Wilbarger,2/3,4700,1343,1193,150,9933,2483,540,304,5328
Willacy,11,500,1391,1308,83,16823,3062,269,557,9035
Williamson,7,44250,30618,25988,4630,457170,74290,20968,4643,160153
Wilson,8,3400,2834,2386,448,42030,9149,1516,615,16633
Winkler,9/10,200,274,253,21,5798,967,135,0,2663
Wise,2/3,5550,4204,3327,877,55570,11830,4112,552,26139
Wood,4/5N,1500,2051,1830,221,37205,12511,1107,790,18613
Yoakum,1,600,473,462,11,6336,1174,251,60,2690
Young,2/3,1900,778,746,32,15028,4183,1057,431,6955
Zapata,11,700,241,212,29,10088,1870,270,143,5427
Zavala,8,200,498,440,58,8768,1675,58,60,4807
*Other,N/A,9775,174495,151201,23294,,,,,
,,,,,,,,,,
