County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,24491801,13745766,11703852,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,32130,18534,15749,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,11681,6338,5573,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,52371,29061,25404,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,21398,11960,10232,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5941,3260,3001,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1110,619,520,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,33743,19063,16012,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,20910,12078,10481,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4113,2323,2001,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,15211,8646,7567,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,69242,39900,31556,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2218,1203,1121,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,23403,12729,11201,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,187980,106711,89656,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1835562,1029021,863147,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9998,5492,4877,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
