County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,14239685,9705468,6595986,3345895,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2011660,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,11100,8123,5626,2914,48045,8658,2051,833,20206,1574,,
Andrews,9/10,4500,8282,5057,3317,13503,1833,309,106,5450,41,,
Angelina,4/5N,36400,25220,16843,8898,67056,14422,6534,1752,28054,3266,,
Aransas,11,4070,9456,6432,3246,19803,6791,370,252,6701,39,,
Archer,2/3,2100,3451,2203,1326,6921,1677,80,13,2381,330,,
Armstrong,1,1400,770,474,303,1499,470,32,86,466,0,,
Atascosa,8,9800,12292,8649,3987,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4400,11061,7839,3739,23704,5933,667,396,7873,1079,,
Bailey,1,19225,2929,1727,1248,5089,1036,114,74,1982,0,,
Bandera,8,2100,6554,4444,2302,19763,6439,352,180,6555,20,,
Bastrop,7,29300,20843,15674,5630,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4450,1794,980,825,2793,844,137,97,908,0,,
Bee,11,56340,13664,7944,5824,26496,4091,981,684,11359,989,,
Bell,7,135870,71551,47925,26951,272969,40534,15894,2466,95066,12910,,
Bexar,8,839570,670199,434611,243317,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3500,4659,3312,1457,10092,3004,90,102,3388,303,,
Borden,9/10,0,177,129,54,543,174,9,0,163,0,,
Bosque,7,6800,6400,4557,2107,15224,4741,624,407,5126,579,,
Bowie,4/5N,36770,19237,13164,7268,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,127640,126423,83247,46431,287683,45752,9762,2648,105966,12034,,
Brazos,7,84480,68983,49775,21425,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3700,5162,3378,1949,7706,2231,303,0,2579,255,,
Briscoe,1,1000,770,430,348,1272,404,19,0,452,0,,
Brooks,11,2300,3403,2285,1127,5317,1308,323,246,2253,22,,
Brown,2/3,10600,9071,6507,3966,30883,7720,1663,911,11188,1112,,
Burleson,7,2900,5781,3950,2100,14869,3867,143,218,5600,518,,
Burnet,7,21775,13925,9882,4807,39239,10999,1823,595,13132,94,,
Caldwell,7,9500,9671,7097,3085,34853,6512,1286,524,14114,1294,,
Calhoun,8,3300,6109,4453,1913,16817,3981,470,384,6161,53,,
Callahan,2/3,2500,3630,2398,1345,11263,2958,146,122,4094,442,,
Cameron,11,178795,166523,110792,60285,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1200,3038,2061,1036,10031,2494,207,152,3927,0,,
Carson,1,1100,1863,1153,724,4718,1250,60,0,1547,240,,
Cass,4/5N,3200,5079,3657,1728,24182,6856,1216,550,9010,1125,,
Castro,1,2200,2555,1670,937,5607,1236,121,174,2168,341,,
Chambers,6/5S,24700,11583,7869,3862,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10800,11442,7462,4437,40876,9444,1500,738,16376,1511,,
Childress,1,3300,2385,1593,865,6094,1165,251,136,2395,0,,
Clay,2/3,9345,5022,2835,2232,8666,2484,136,60,3011,384,,
Cochran,1,1200,1254,910,451,2188,468,57,0,956,0,,
Coke,9/10,0,1142,771,381,2756,947,47,130,899,0,,
Coleman,2/3,2100,2401,1724,743,6721,2119,342,162,2379,289,,
Collin,2/3,422290,387534,260518,133549,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1600,1087,681,454,2263,555,80,92,847,0,,
Colorado,6/5S,6800,7532,4871,3161,17107,4850,853,477,5957,613,,
Comal,8,46940,56855,37431,21193,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,6190,4856,3306,1840,10944,3330,330,292,3738,455,,
Concho,9/10,1500,1191,764,446,2288,689,76,66,815,0,,
Cooke,2/3,13900,10876,7155,3900,32675,7804,948,552,11640,1051,,
Coryell,7,21925,13006,8258,4994,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,342,233,116,1123,339,5,0,446,0,,
Crane,9/10,2950,1752,1109,653,3554,594,71,110,1353,0,,
Crockett,9/10,0,1283,739,555,2694,612,31,56,1031,0,,
Crosby,1,3450,2725,1570,1172,4421,1085,98,115,1771,284,,
Culberson,9/10,1400,970,657,315,1746,480,67,0,722,0,,
Dallam,1,18650,2966,1779,1193,5217,857,40,0,2067,0,,
Dallas,2/3,1077645,808415,545620,281907,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,2600,2679,1789,927,9789,1898,304,112,4206,475,,
Deaf Smith,1,3400,4958,3314,1752,13439,2423,238,147,5332,0,,
Delta,4/5N,1000,1432,957,511,4222,1118,379,100,1580,0,,
Denton,2/3,348170,279680,181295,103166,697330,93499,23806,5913,257836,22330,,
DeWitt,8,3500,4830,3568,1313,16110,4035,319,438,6110,1055,,
Dickens,1,0,781,438,363,1858,525,21,0,689,0,,
Dimmit,8,18185,6192,3530,2666,7539,1749,238,175,3179,48,,
Donley,1,1000,1071,771,308,2716,804,27,65,918,0,,
Duval,11,2400,5516,3407,2266,8600,2031,69,150,3541,482,,
Eastland,2/3,3500,5091,3880,1667,14970,4054,860,389,5393,591,,
Ector,9/10,90770,48239,32395,16477,120896,15970,5303,1016,50679,428,,
Edwards,8,0,1348,1187,163,1555,561,24,0,528,0,,
El Paso,9/10,373150,342315,221114,125214,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,67300,59448,39557,21858,141665,24288,3985,1994,54463,6578,,
Erath,2/3,13200,10988,7982,3467,34875,6256,1250,481,12564,1079,,
Falls,7,19825,4768,3010,1920,14049,3226,328,187,5671,486,,
Fannin,2/3,23725,10014,6222,4178,28874,6588,962,614,10987,1108,,
Fayette,7,3700,8356,5408,3186,20879,6679,998,647,6844,671,,
Fisher,2/3,1600,1175,710,504,3088,961,101,28,1061,0,,
Floyd,1,1600,2371,1537,881,4371,1070,132,68,1723,0,,
Foard,2/3,1400,600,362,249,962,315,7,80,332,0,,
Fort Bend,6/5S,301020,329107,214338,121630,616413,93851,24721,4977,175581,19047,,
Franklin,4/5N,2300,2620,1715,969,8554,2367,169,163,2871,0,,
Freestone,7,2500,3883,2897,1186,15808,3996,553,261,6319,689,,
Frio,8,7750,5550,3588,2483,16121,2499,186,166,6797,28,,
Gaines,9/10,3300,3032,2132,1084,14548,1907,323,95,6156,717,,
Galveston,6/5S,159320,140653,91487,51446,269280,50987,11784,2830,96486,10219,,
Garza,1,2100,1296,986,377,5325,719,33,75,2197,0,,
Gillespie,8,21500,11459,7337,4238,22307,8110,1175,706,6815,681,,
Glasscock,9/10,0,600,341,263,1099,210,23,0,426,0,,
Goliad,8,1500,2655,1581,1102,6281,1832,39,135,2282,0,,
Gonzales,8,4900,6881,4761,2916,15937,3572,550,256,6356,693,,
Gray,1,3600,5584,3882,1851,16924,3531,689,315,6978,42,,
Grayson,2/3,40850,34512,23406,13360,107521,24182,9338,2131,40586,4254,,
Gregg,4/5N,69015,38123,24462,14090,95544,19451,7025,2324,37362,3988,,
Grimes,7,3400,7718,5510,2552,23245,5134,234,311,9653,771,,
