County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,21385845,15493454,9836891,6260744,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,4126230,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,15270,14175,9627,5717,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,44449,6000,10128,5609,4715,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,49600,37002,23334,15108,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6540,16331,10105,6773,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,44230,2800,4861,2889,2301,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,1900,964,569,416,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,16600,18661,12190,7277,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,6600,17471,12408,6246,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23135,3677,2112,1756,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,3600,11271,7156,4754,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,43000,49370,33096,17817,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,44230,5050,2363,1465,985,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,74510,16348,9175,7532,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,191800,108593,68214,45587,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1202410,1072174,680898,422204,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,4600,7435,4764,2951,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,44449,0,289,181,148,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,9400,9713,5904,4356,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,56570,29856,18197,13716,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,187080,206301,128316,86480,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,139020,116856,77856,42911,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,44449,4800,7215,4279,3348,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,893,490,435,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3200,5192,2886,2359,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,44230,14000,14547,9591,7936,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4200,8677,5522,3646,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,30995,22170,14153,9398,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,12400,18396,12224,7587,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,5600,12038,7713,5424,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,44230,3200,5676,3348,2702,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,264825,275693,177145,109426,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5221,3302,2096,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1700,2411,1383,1083,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,4600,10120,6481,4561,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,2800,3433,2054,1500,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,32800,16908,10926,6368,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,15970,17136,10749,7466,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4300,3558,2042,1816,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,44230,12645,5763,3221,2742,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,3802,2860,1099,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,44449,0,1682,979,738,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,44230,3100,3641,2097,1699,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,44230,600460,665408,425445,257571,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2100,1365,785,683,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,10700,11686,7582,5405,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,74410,86511,56345,35076,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,44230,6690,6959,4101,3357,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,44449,1800,1450,874,647,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,44230,17700,14776,9275,6080,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,30745,19972,12315,8486,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,44230,0,746,422,371,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,44449,3450,1998,1251,766,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,44449,0,1776,1016,785,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3267,1816,1486,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,44449,1900,1549,912,644,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,25970,3809,2241,1598,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,44230,1492385,1387831,907705,528374,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,44449,3800,3857,2311,1691,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,6100,9225,5575,4214,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,4500,7255,4365,3393,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1500,1955,1141,882,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,44230,462750,530065,328358,216479,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,937,539,456,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23065,7310,4216,3118,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1669,1007,707,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3200,7600,4542,3485,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,44230,6070,7668,4701,3575,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,44449,109350,72867,42101,32565,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,961,559,419,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,44449,524630,539077,343023,214031,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,44230,98780,90619,57108,37268,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,44230,20300,16900,10160,7398,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,26945,6774,4345,2735,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,44230,31145,13392,7974,6326,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,6600,12459,7951,5564,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,44230,2100,1578,941,739,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2200,3005,1720,1385,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,44230,1600,782,458,356,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,418980,551238,341044,227736,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3000,3993,2454,1772,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,3700,6294,4007,2804,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,11050,7881,4944,3663,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,44449,4500,4549,2737,2155,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,240360,214503,128645,89999,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,3400,2264,1452,1224,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,28400,16539,10089,6952,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,44449,0,904,556,463,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2300,3879,2263,1852,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,8700,9858,6313,4623,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,4600,8271,5110,3548,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,44230,56930,55709,35505,26133,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,99295,60115,34950,26507,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4300,12982,8509,5186,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,75785,75967,48649,34883,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,11500,13121,7998,5967,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1661,981,802,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,5000,4831,2963,2347,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3200,2778,1672,1482,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,44230,3200,2288,1316,1161,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11000,23145,13760,9911,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,2669720,2448096,1587129,967457,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,15370,23848,14676,10939,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,2810,1709,1115,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,44230,2600,3062,1807,1394,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,141540,124058,82161,48729,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,2900,2068,1243,1110,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,20170,32543,20166,14143,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,500890,539007,341940,217106,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
