County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,16653045,10652918,7156895,3757106,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2667690,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,13970,8978,6340,3166,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5100,8845,5151,3787,13503,1833,309,106,5450,41,,
Angelina,4/5N,40500,26857,18174,9250,67056,14422,6534,1752,28054,3266,,
Aransas,11,4670,11169,7748,3668,19803,6791,370,252,6701,39,,
Archer,2/3,2400,3700,2364,1424,6921,1677,80,13,2381,330,,
Armstrong,1,1700,802,497,314,1499,470,32,86,466,0,,
Atascosa,8,13100,13558,9235,4708,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6000,12264,8381,4472,23704,5933,667,396,7873,1079,,
Bailey,1,20395,3277,1852,1490,5089,1036,114,74,1982,0,,
Bandera,8,3000,7623,5275,2549,19763,6439,352,180,6555,20,,
Bastrop,7,34300,23360,16807,7143,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4750,1829,999,844,2793,844,137,97,908,0,,
Bee,11,63120,13893,8119,5893,26496,4091,981,684,11359,989,,
Bell,7,152980,76839,50808,29556,272969,40534,15894,2466,95066,12910,,
Bexar,8,945450,726801,467556,267920,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4100,5129,3610,1647,10092,3004,90,102,3388,303,,
Borden,9/10,0,236,143,101,543,174,9,0,163,0,,
Bosque,7,8000,6800,4784,2296,15224,4741,624,407,5126,579,,
Bowie,4/5N,43950,21233,13802,8707,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,144220,136808,88471,51951,287683,45752,9762,2648,105966,12034,,
Brazos,7,101260,74773,52500,24753,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3800,5512,3629,2056,7706,2231,303,0,2579,255,,
Briscoe,1,1200,823,475,381,1272,404,19,0,452,0,,
Brooks,11,2900,3677,2491,1198,5317,1308,323,246,2253,22,,
Brown,2/3,12100,10228,7509,4868,30883,7720,1663,911,11188,1112,,
Burleson,7,3300,6359,4265,2408,14869,3867,143,218,5600,518,,
