County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,2058050,1276808,1109874,166934,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,4700,1285,1237,48,49346,8955,2590,833,24078
Andrews,9/10,1100,698,671,27,13954,1905,401,106,5867
Angelina,4/5N,11200,4434,4416,18,70388,14706,7603,1752,34525
Aransas,11,500,589,555,34,19727,6538,542,252,10102
Archer,2/3,300,478,412,66,7533,1887,107,59,3131
Armstrong,1,200,215,209,6,1693,588,37,86,659
Atascosa,8,2700,1437,1307,130,39065,7743,1181,655,17891
Austin,6/5S,1300,1189,1150,39,25584,6512,1069,396,10132
Bailey,1,500,155,153,2,5190,1024,156,74,2359
Bandera,8,200,881,844,37,19833,6530,426,186,9348
Bastrop,7,1700,2027,1844,183,70499,14746,2137,696,34606
Baylor,2/3,600,434,429,5,3002,916,156,97,1287
Bee,11,1500,985,913,72,26904,4202,1219,684,13037
Bell,7,23200,12418,10553,1865,265191,37371,20144,2466,105279
Bexar,8,194575,95340,78598,16742,1541803,248261,127752,17100,696450
Blanco,7,300,922,902,20,10177,3274,167,102,4572
Borden,9/10,0,19,19,0,580,206,10,0,228
Bosque,7,1900,615,598,17,15491,4847,677,407,7171
Bowie,4/5N,7875,2780,2355,425,78179,16917,7877,1532,36179
Brazoria,6/5S,11400,16355,13260,3095,295635,48145,13914,2648,119229
Brazos,7,13950,6022,5556,466,185835,21605,10756,1278,64988
Brewster,9/10,1000,527,516,11,7291,1942,548,0,3547
Briscoe,1,100,154,153,1,1295,443,18,0,642
Brooks,11,300,182,182,0,5438,1441,396,246,2867
Brown,2/3,1500,920,895,25,31586,8452,1886,911,14261
Burleson,7,500,471,449,22,14721,3981,203,218,7277
Burnet,7,2800,1147,1096,51,39423,11162,2391,595,17381
Caldwell,7,1200,986,918,68,33813,6558,1744,524,16400
Calhoun,8,1000,792,741,51,17169,3944,608,254,7841
Callahan,2/3,500,537,413,124,11666,3185,310,122,5346
Cameron,11,33950,25852,22411,3441,315242,59778,33067,6480,149238
Camp,4/5N,100,312,282,30,10054,2412,353,154,4991
Carson,1,200,414,403,11,4769,1096,77,0,2031
Cass,4/5N,300,390,345,45,24447,7203,1609,550,12120
Castro,1,300,355,352,3,5574,1267,152,174,2718
Chambers,6/5S,2900,1384,1255,129,34171,5692,1101,120,13721
Cherokee,4/5N,4000,1675,1614,61,41571,9380,1837,809,20430
Childress,1,900,451,446,5,5769,1177,276,136,2845
Clay,2/3,300,552,478,74,8544,2430,175,60,4071
Cochran,1,100,344,284,60,2167,497,66,0,1139
Coke,9/10,0,119,107,12,2839,957,47,130,1324
Coleman,2/3,600,256,242,14,6555,2051,418,162,3427
Collin,2/3,39900,33295,29298,3997,806242,118818,56174,7544,256993
Collingsworth,1,300,293,292,1,2177,574,94,92,1084
Colorado,6/5S,600,656,641,15,17682,5065,1057,477,7953
Comal,8,8600,5042,4460,582,125758,29676,7125,1845,45927
Comanche,2/3,500,545,540,5,11046,3438,418,292,5170
Concho,9/10,0,76,63,13,2381,528,81,66,1923
Cooke,2/3,1500,1239,1197,42,32501,7977,1347,552,14449
Coryell,7,1600,1277,1200,77,58277,6832,1291,594,25149
Cottle,2/3,0,46,46,0,1120,400,5,0,608
Crane,9/10,200,154,152,2,3483,625,95,110,1547
Crockett,9/10,0,143,137,6,2687,716,45,56,1307
Crosby,1,200,291,275,16,4386,1236,127,115,2252
Culberson,9/10,200,81,81,0,1797,529,79,0,972
Dallam,1,700,273,273,0,5092,691,95,0,2336
Dallas,2/3,184875,96266,81643,14623,2015538,284171,183122,21354,820238
Dawson,9/10,500,220,206,14,9997,1927,385,112,5005
Deaf Smith,1,1100,778,767,11,14288,2472,316,228,6265
Delta,4/5N,0,109,103,6,4312,1312,437,100,2090
Denton,2/3,32400,19932,17636,2296,702429,94410,34569,5667,276089
DeWitt,8,700,508,447,61,16610,4251,421,438,7926
Dickens,1,0,40,39,1,1840,546,29,0,943
Dimmit,8,500,310,310,0,7130,1517,226,175,4018
Donley,1,100,232,230,2,2655,798,47,74,1278
Duval,11,200,584,573,11,8359,2073,107,150,4543
Eastland,2/3,600,707,688,19,14718,4181,1021,405,7102
Ector,9/10,10900,5489,5135,354,123303,16788,6730,1016,54750
Edwards,8,0,68,62,6,1605,586,27,0,792
El Paso,9/10,79400,57016,49796,7220,640715,111036,46429,8546,281334
Ellis,2/3,4600,5804,5085,719,146536,26120,5259,1781,61039
Erath,2/3,700,1041,969,72,34869,6466,1793,481,14817
Falls,7,300,325,304,21,14306,3332,413,187,7192
Fannin,2/3,2300,1447,1409,38,29681,7609,1161,693,13661
Fayette,7,1200,840,817,23,21209,6683,1251,647,9754
Fisher,2/3,200,69,66,3,3139,996,184,28,1509
Floyd,1,200,326,322,4,4283,1207,156,68,2228
Foard,2/3,100,157,155,2,937,323,9,80,489
Fort Bend,6/5S,34400,33698,28260,5438,626861,97435,33263,4965,192056
Franklin,4/5N,400,362,352,10,8327,2189,181,163,3820
Freestone,7,1100,421,418,3,16551,4068,718,261,8172
Frio,8,1500,775,764,11,15133,2573,226,270,7605
Gaines,9/10,1100,558,551,7,14875,2237,348,95,6531
Galveston,6/5S,21900,20994,17525,3469,267032,50119,15388,2824,113161
Garza,1,0,85,76,9,5021,727,52,75,2607
Gillespie,8,1900,1092,1072,20,22728,8108,1453,706,10293
Glasscock,9/10,0,19,17,2,1108,296,28,0,491
Goliad,8,100,222,198,24,6615,2077,59,135,3059
Gonzales,8,1200,856,843,13,15931,3700,626,256,7818
Gray,1,1200,890,882,8,17050,3428,927,315,8475
Grayson,2/3,16975,5274,5002,272,107568,25224,10711,1989,49725
