County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,10801295,6750339,4361563,2394362,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1238950,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,9800,5780,3577,2203,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3300,6411,4302,2109,13503,1833,309,106,5450,41,,
Angelina,4/5N,28300,19284,12484,6801,67056,14422,6534,1752,28054,3266,,
Aransas,11,2300,5995,3769,2230,19803,6791,370,252,6701,39,,
Archer,2/3,1600,2699,1529,1170,6921,1677,80,13,2381,330,,
Armstrong,1,1100,684,411,273,1499,470,32,86,466,0,,
Atascosa,8,8100,8116,5294,2829,38768,7605,1124,651,15239,1557,,
Austin,6/5S,3900,8134,6053,2083,23704,5933,667,396,7873,1079,,
Bailey,1,14545,2870,1656,1214,5089,1036,114,74,1982,0,,
Bandera,8,1300,4806,3201,1608,19763,6439,352,180,6555,20,,
Bastrop,7,21400,11809,8258,3557,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3850,1613,912,701,2793,844,137,97,908,0,,
Bee,11,42780,11583,6436,5147,26496,4091,981,684,11359,989,,
Bell,7,102420,51095,31645,19489,272969,40534,15894,2466,95066,12910,,
Bexar,8,672940,463431,290625,172898,1552823,247843,100704,17248,614646,61232,,
Blanco,7,2600,2871,1980,892,10092,3004,90,102,3388,303,,
Borden,9/10,0,147,101,47,543,174,9,0,163,0,,
Bosque,7,5400,4571,2934,1639,15224,4741,624,407,5126,579,,
Bowie,4/5N,27890,11877,7664,4213,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,90690,86724,53777,32984,287683,45752,9762,2648,105966,12034,,
Brazos,7,63170,42941,29326,13621,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,2800,4184,2591,1635,7706,2231,303,0,2579,255,,
Briscoe,1,800,701,393,308,1272,404,19,0,452,0,,
Brooks,11,2000,2401,1476,925,5317,1308,323,246,2253,22,,
Brown,2/3,9100,5235,3888,1347,30883,7720,1663,911,11188,1112,,
Burleson,7,1900,3689,2705,989,14869,3867,143,218,5600,518,,
Burnet,7,16495,8681,5902,2785,39239,10999,1823,595,13132,94,,
Caldwell,7,6900,6617,4562,2056,34853,6512,1286,524,14114,1294,,
Calhoun,8,2200,3552,2473,1080,16817,3981,470,384,6161,53,,
Callahan,2/3,1900,2784,1855,929,11263,2958,146,122,4094,442,,
Cameron,11,143015,118958,75462,43538,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1000,2011,1316,697,10031,2494,207,152,3927,0,,
Carson,1,700,1646,991,655,4718,1250,60,0,1547,240,,
Cass,4/5N,1900,2575,1760,815,24182,6856,1216,550,9010,1125,,
Castro,1,1700,2054,1233,821,5607,1236,121,174,2168,341,,
Chambers,6/5S,19900,7187,4611,2576,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,9800,8352,5071,3282,40876,9444,1500,738,16376,1511,,
Childress,1,2800,2047,1368,679,6094,1165,251,136,2395,0,,
Clay,2/3,8045,4699,2565,2134,8666,2484,136,60,3011,384,,
Cochran,1,1000,923,637,288,2188,468,57,0,956,0,,
Coke,9/10,0,862,562,300,2756,947,47,130,899,0,,
Coleman,2/3,1400,1575,1048,527,6721,2119,342,162,2379,289,,
Collin,2/3,309090,261724,161764,100100,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1300,860,548,312,2263,555,80,92,847,0,,
Colorado,6/5S,5800,5810,3666,2145,17107,4850,853,477,5957,613,,
Comal,8,37700,38135,24196,13954,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,4620,3759,2397,1362,10944,3330,330,292,3738,455,,
Concho,9/10,1100,915,622,294,2288,689,76,66,815,0,,
Cooke,2/3,9800,7597,5360,2240,32675,7804,948,552,11640,1051,,
Coryell,7,16545,9795,6008,3787,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,312,218,94,1123,339,5,0,446,0,,
Crane,9/10,2650,1458,905,553,3554,594,71,110,1353,0,,
Crockett,9/10,0,1119,645,474,2694,612,31,56,1031,0,,
Crosby,1,3050,2269,1404,865,4421,1085,98,115,1771,284,,
Culberson,9/10,1100,652,388,264,1746,480,67,0,722,0,,
Dallam,1,13970,3092,1825,1267,5217,857,40,0,2067,0,,
Dallas,2/3,860935,561546,359188,203065,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,1800,1839,1162,677,9789,1898,304,112,4206,475,,
Deaf Smith,1,3000,3661,2466,1200,13439,2423,238,147,5332,0,,
Delta,4/5N,800,1014,658,356,4222,1118,379,100,1580,0,,
Denton,2/3,270790,185640,115751,69979,697330,93499,23806,5913,257836,22330,,
DeWitt,8,0,3488,2498,991,16110,4035,319,438,6110,1055,,
Dickens,1,0,535,381,154,1858,525,21,0,689,0,,
Dimmit,8,14375,5012,3180,1832,7539,1749,238,175,3179,48,,
Donley,1,700,992,710,282,2716,804,27,65,918,0,,
Duval,11,1700,4067,2593,1474,8600,2031,69,150,3541,482,,
Eastland,2/3,3000,3504,2479,1032,14970,4054,860,389,5393,591,,
Ector,9/10,74390,41532,27281,14266,120896,15970,5303,1016,50679,428,,
Edwards,8,0,319,239,80,1555,561,24,0,528,0,,
El Paso,9/10,301620,240397,150383,90051,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,42040,39497,26163,13371,141665,24288,3985,1994,54463,6578,,
Erath,2/3,8800,7718,5566,2152,34875,6256,1250,481,12564,1079,,
Falls,7,14945,3504,2132,1376,14049,3226,328,187,5671,486,,
Fannin,2/3,18845,7449,4653,2815,28874,6588,962,614,10987,1108,,
Fayette,7,2900,5467,3912,1556,20879,6679,998,647,6844,671,,
Fisher,2/3,1300,867,551,316,3088,961,101,28,1061,0,,
Floyd,1,1300,1760,1166,594,4371,1070,132,68,1723,0,,
Foard,2/3,1200,530,376,154,962,315,7,80,332,0,,
Fort Bend,6/5S,235360,236284,141407,95016,616413,93851,24721,4977,175581,19047,,
Franklin,4/5N,1800,1831,1211,620,8554,2367,169,163,2871,0,,
Freestone,7,1900,2535,1724,853,15808,3996,553,261,6319,689,,
Frio,8,7050,3858,2212,1646,16121,2499,186,166,6797,28,,
Gaines,9/10,2400,2490,1726,771,14548,1907,323,95,6156,717,,
Galveston,6/5S,118240,101437,62083,39391,269280,50987,11784,2830,96486,10219,,
Garza,1,1500,1080,812,268,5325,719,33,75,2197,0,,
Gillespie,8,16700,8515,5144,3371,22307,8110,1175,706,6815,681,,
Glasscock,9/10,0,544,296,248,1099,210,23,0,426,0,,
Goliad,8,900,2254,1315,940,6281,1832,39,135,2282,0,,
Gonzales,8,3700,4905,3275,1632,15937,3572,550,256,6356,693,,
Gray,1,2800,3745,2437,1308,16924,3531,689,315,6978,42,,
Grayson,2/3,33470,23959,15275,8740,107521,24182,9338,2131,40586,4254,,
Gregg,4/5N,51335,24063,15994,8070,95544,19451,7025,2324,37362,3988,,
Grimes,7,2600,4829,3379,1450,23245,5134,234,311,9653,771,,
Guadalupe,8,39775,32276,20617,11666,130517,23614,3801,1225,49282,3850,,
Hale,1,5500,6338,4277,2062,25476,4604,873,399,10561,1177,,
Hall,1,0,1175,705,470,2406,711,27,72,978,0,,
Hamilton,7,3200,2074,1394,680,6832,2146,481,296,2427,10,,
Hansford,1,1800,1523,1024,499,3987,812,139,84,1616,295,,
Hardeman,2/3,2100,1649,967,683,3190,912,102,16,1146,0,,
Hardin,6/5S,8200,11882,8411,3471,45112,9762,1003,527,16190,1814,,
Harris,6/5S,1423180,990039,647652,343187,3601939,514167,225769,27623,1408024,148273,,
Harrison,4/5N,8900,9602,6514,3089,51900,11607,3063,608,20509,2169,,
Hartley,1,1475,2180,1268,912,4561,861,196,94,1669,253,,
