County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,24316580,13678343,11588859,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,31950,18441,15645,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,11615,6317,5527,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,52048,28939,25183,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,21293,11928,10150,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5921,3246,2994,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1109,618,520,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,33450,18956,15813,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,20804,12028,10419,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4102,2317,1996,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,15154,8622,7532,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,68630,39662,31153,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2214,1200,1117,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,23242,12658,11110,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,186055,106031,88351,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1822140,1023529,854656,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9969,5484,4855,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,286,164,145,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,12103,6845,6001,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,42998,24934,20880,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,308126,170652,150123,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,177469,99056,84311,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,8165,4668,3951,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,922,492,454,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,6306,3502,3039,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,18782,11587,10536,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,12232,6903,6158,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,34781,19842,17150,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,30845,17859,14789,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,15000,8618,7678,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,7009,3986,3541,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,450587,252703,212510,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7427,4169,3518,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2926,1598,1405,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,13280,7766,6613,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4251,2414,1983,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,25599,15196,11129,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,25640,14722,12703,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4994,2910,2701,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6793,3650,3415,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1494,875,801,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1973,1087,947,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4402,2438,2194,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1045404,572609,500778,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1439,833,724,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,15676,9146,8088,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,136637,77801,66131,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,8455,4756,4290,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2031,1179,950,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,23093,12937,11234,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,37887,21472,17986,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,803,455,407,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2332,1426,932,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2255,1207,1078,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3827,2036,1865,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1939,1036,914,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4596,2633,2016,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2211713,1243101,1046269,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,5800,3315,2878,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,12184,6984,5841,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,10030,5721,4946,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2549,1404,1244,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,812245,446991,389193,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1035,575,535,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,10118,5919,4259,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1900,1056,902,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,9711,5533,4625,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,8972,5254,4429,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,94369,52353,44689,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1113,601,536,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,920617,515044,432262,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,131967,73882,63040,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,21450,11920,10479,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,10460,5858,4887,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,19246,10944,9774,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,17613,10328,8652,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,1952,1102,995,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3591,1961,1786,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,733,421,344,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,855469,475744,406848,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5375,3100,2652,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,9678,5675,4655,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,12036,7069,5793,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,5912,3370,3024,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,299439,161451,145554,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4402,2785,2629,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,22316,12318,10757,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,9/10,0,894,495,430,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4593,2532,2304,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,13167,7591,6894,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,11471,6511,5651,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2/3,67740,79855,46405,40721,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,76607,42299,36614,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,20668,11806,10000,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,124343,71746,62235,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,17771,10073,9049,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1926,1086,977,2552,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5619,3271,2861,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,3099,1816,1676,4355,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,2/3,3800,2491,1416,1292,3383,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,28663,16005,13602,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,4019829,2289244,1908341,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,32556,18818,16194,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3972,2240,1759,4854,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,2/3,3200,3455,1945,1665,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,207388,118139,99108,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2253,1323,1224,3122,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,23170,45304,25560,22268,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,641140,881348,495430,417667,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10400,20248,11813,10274,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,13403,7577,6678,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,2/3,31570,45404,24490,22290,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,19530,10877,9533,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6800,12642,7445,6062,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,9/10,7900,16591,9994,8031,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,9/10,2000,4646,2701,2377,4139,3979,775,33,0,1778,145,,,,,,,,,,,,,
Hunt,2/3,39410,53953,30407,26298,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,10477,5796,4966,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,9/10,0,922,505,438,1292,1234,328,15,0,429,0,,,,,,,,,,,,,
Jack,2/3,3900,4735,2665,2338,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,,
Jackson,8,11060,9319,5161,4537,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,,
Jasper,4/5N,15270,17347,9621,8537,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,,
Jeff Davis,9/10,1400,2088,1138,1017,2246,2180,812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,241300,162517,90353,74964,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,,
Jim Hogg,11,1400,4768,2673,2137,4107,3791,890,14,60,1572,0,,,,,,,,,,,,,
Jim Wells,11,35525,32211,17863,15260,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,,
Johnson,2/3,105100,109420,60222,52854,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,,
Jones,2/3,3300,10954,6496,5620,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,,
Karnes,8,14520,11170,6358,5685,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,,
Kaufman,2/3,65950,92750,52591,43913,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,,
Kendall,8,19400,43242,24450,20883,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,,
Kenedy,11,0,351,188,168,333,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,2/3,0,422,238,213,646,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,20100,35837,20309,17232,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,,
Kimble,9/10,2900,2837,1602,1370,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,,
King,1,0,68,41,32,215,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,2400,2343,1320,1071,3211,3050,910,11,0,1171,0,,,,,,,,,,,,,
Kleberg,11,59725,28793,15739,13544,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,,
Knox,2/3,2300,2137,1166,1096,3024,2808,736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,24535,6428,3668,3095,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,,
Lamar,4/5N,28200,26871,14812,13291,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,,
Lamb,1,2400,7753,4375,3831,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,,
Lampasas,7,5000,12485,7293,6128,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,,
Lavaca,8,8700,12569,7175,6568,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,,
Lee,7,5900,11172,6320,5425,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,,
Leon,7,3800,9134,5409,4654,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,,
Liberty,6/5S,42565,46026,26741,21426,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,,
Limestone,7,8100,11831,6922,5921,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,,
Lipscomb,1,1300,1499,817,751,2698,2520,617,24,61,919,190,,,,,,,,,,,,,
Live Oak,11,3400,5884,3224,2819,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,,
Llano,7,6800,17237,9696,8605,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,,
Loving,9/10,0,61,34,27,130,129,23,0,0,50,0,,,,,,,,,,,,,
Lubbock,1,239890,216391,119551,104548,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,,
Lynn,1,1800,3436,1881,1669,4851,4496,974,191,40,1838,328,,,,,,,,,,,,,
Madison,7,4100,8006,4660,3932,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,,
Marion,4/5N,1300,5371,3063,2700,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,,
Martin,9/10,2400,2577,1502,1191,4473,4136,659,165,0,1624,0,,,,,,,,,,,,,
Mason,9/10,2000,3157,1705,1558,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,,
Matagorda,6/5S,16950,24361,13843,11457,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,,
Maverick,8,46700,55966,35260,24238,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,,
McCulloch,9/10,4400,4102,2343,1981,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,,
McLennan,7,153530,169468,96899,82860,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,,
McMullen,11,1200,476,267,246,640,616,189,10,0,202,0,,,,,,,,,,,,,
Medina,8,18100,38401,21880,19085,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,,
Menard,9/10,1400,1548,874,809,1888,1790,699,9,40,550,0,,,,,,,,,,,,,
Midland,9/10,135835,107069,58502,51017,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,,
Milam,7,11200,15456,8471,7502,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,,
Mills,7,2600,3009,1684,1443,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,,
