County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,19793444,11559965,8929813,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,22063,15217,8119,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10773,5904,5063,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,45106,25877,20810,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,19312,10996,8922,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5482,3022,2751,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1033,581,476,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,26168,15737,11414,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17515,10280,8313,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3885,2177,1893,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12779,7513,5983,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,54871,33756,22830,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2114,1153,1055,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19486,11562,8322,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,145307,86589,64934,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1409048,811869,634057,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,8951,5019,4235,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,262,148,134,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,10983,6315,5278,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,35465,20709,17028,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,257600,147000,120147,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,151196,88309,67370,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7611,4333,3695,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,878,472,424,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5567,3062,2603,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,16241,10332,8911,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,10696,6219,5125,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,29775,17755,13901,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,24460,15029,10924,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,13129,7751,6464,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6408,3650,3157,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,361839,214015,159564,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6227,3601,2820,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2680,1482,1259,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11781,7040,5708,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3830,2208,1749,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,21284,13298,8487,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,21350,12655,9957,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4127,2533,1920,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6383,3433,3180,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1356,803,715,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1805,1015,827,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3985,2250,1911,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,870244,491240,399819,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1385,795,691,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,13943,8413,6897,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,109649,65388,49939,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7739,4461,3817,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1738,974,836,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,19304,11458,8580,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,28100,17766,11342,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,769,433,385,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2128,1319,831,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1946,1072,901,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3555,1942,1666,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1806,967,844,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4150,2411,1778,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,1789087,1045083,800542,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,4824,2900,2077,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,10720,6269,4985,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,8298,4957,3881,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2284,1278,1085,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,677752,385945,309518,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,978,549,491,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,7943,4562,3418,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1729,1012,769,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,8464,4973,3886,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,8314,4921,4019,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,82149,46079,38219,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,985,533,472,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,725463,429300,316464,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,110312,63742,50447,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,19336,10999,9041,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,8576,5236,3552,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,16118,9597,7612,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,15978,9566,7629,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,1778,1012,882,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3293,1839,1569,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,701,401,328,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,704017,405070,319447,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,4663,2759,2194,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,7845,4940,3466,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,9715,6002,4451,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,5218,3066,2534,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,258460,141224,122172,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,2958,2032,1406,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,19924,11236,9303,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,9/10,0,843,471,398,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4205,2329,2080,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,11553,6804,5875,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,9929,5849,4506,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2/3,67740,68229,40814,33561,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
