County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,2058050,1021511,889115,132396,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,4700,934,917,17,49346,8955,2590,833,24078
Andrews,9/10,1100,645,623,22,13954,1905,401,106,5867
Angelina,4/5N,11200,3633,3618,15,70388,14706,7603,1752,34525
Aransas,11,500,524,501,23,19727,6538,542,252,10102
Archer,2/3,300,317,289,28,7533,1887,107,59,3131
Armstrong,1,200,154,148,6,1693,588,37,86,659
Atascosa,8,2700,1292,1190,102,39065,7743,1181,655,17891
Austin,6/5S,1300,1016,983,33,25584,6512,1069,396,10132
Bailey,1,500,142,140,2,5190,1024,156,74,2359
Bandera,8,200,709,681,28,19833,6530,426,186,9348
Bastrop,7,1700,1654,1527,127,70499,14746,2137,696,34606
Baylor,2/3,600,340,337,3,3002,916,156,97,1287
Bee,11,1500,771,727,44,26904,4202,1219,684,13037
Bell,7,23200,7909,6761,1148,265191,37371,20144,2466,105279
Bexar,8,194575,77120,65015,12105,1541803,248261,127752,17100,696450
Blanco,7,300,788,773,15,10177,3274,167,102,4572
Borden,9/10,0,16,16,0,580,206,10,0,228
Bosque,7,1900,518,504,14,15491,4847,677,407,7171
Bowie,4/5N,7875,1896,1769,127,78179,16917,7877,1532,36179
Brazoria,6/5S,11400,13403,11059,2344,295635,48145,13914,2648,119229
Brazos,7,13950,4207,3820,387,185835,21605,10756,1278,64988
Brewster,9/10,1000,399,395,4,7291,1942,548,0,3547
Briscoe,1,100,138,137,1,1295,443,18,0,642
Brooks,11,300,174,174,0,5438,1441,396,246,2867
Brown,2/3,1500,788,765,23,31586,8452,1886,911,14261
Burleson,7,500,368,356,12,14721,3981,203,218,7277
Burnet,7,2800,914,872,42,39423,11162,2391,595,17381
Caldwell,7,1200,841,791,50,33813,6558,1744,524,16400
Calhoun,8,1000,686,649,37,17169,3944,608,254,7841
Callahan,2/3,500,461,337,124,11666,3185,310,122,5346
