County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,19397865,14312547,9186322,5613265,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,3626940,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,14670,11625,7730,4940,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5400,9827,5426,4518,13503,1833,309,106,5450,41,,
Angelina,4/5N,45300,33952,21919,13315,67056,14422,6534,1752,28054,3266,,
Aransas,11,5170,13727,8511,5653,19803,6791,370,252,6701,39,,
Archer,2/3,2700,4302,2588,1969,6921,1677,80,13,2381,330,,
Armstrong,1,1900,921,552,388,1499,470,32,86,466,0,,
Atascosa,8,15600,17108,11294,6514,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6400,16538,11631,5914,23704,5933,667,396,7873,1079,,
Bailey,1,21665,3588,2093,1676,5089,1036,114,74,1982,0,,
Bandera,8,3400,9956,6504,3977,19763,6439,352,180,6555,20,,
Bastrop,7,38900,32204,20725,12557,68839,13865,1462,696,29356,2746,,
Baylor,2/3,5050,2271,1375,923,2793,844,137,97,908,0,,
Bee,11,70000,15712,8813,7164,26496,4091,981,684,11359,989,,
Bell,7,173890,99075,60777,42747,272969,40534,15894,2466,95066,12910,,
Bexar,8,1084460,946694,597320,370559,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4500,6800,4480,2560,10092,3004,90,102,3388,303,,
Borden,9/10,0,253,152,113,543,174,9,0,163,0,,
Bosque,7,9300,8790,5372,3897,15224,4741,624,407,5126,579,,
Bowie,4/5N,52230,26111,15648,12269,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,169680,177025,110640,72692,287683,45752,9762,2648,105966,12034,,
Brazos,7,119140,102541,68443,37356,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,4500,7090,4223,3262,7706,2231,303,0,2579,255,,
Briscoe,1,1200,892,494,436,1272,404,19,0,452,0,,
Brooks,11,3100,4842,2698,2193,5317,1308,323,246,2253,22,,
Brown,2/3,13200,12694,8294,6931,30883,7720,1663,911,11188,1112,,
Burleson,7,3800,8231,5220,3449,14869,3867,143,218,5600,518,,
Burnet,7,27555,20464,13023,8742,39239,10999,1823,595,13132,94,,
Caldwell,7,12100,15755,10383,6538,34853,6512,1286,524,14114,1294,,
Calhoun,8,5400,9863,6333,4524,16817,3981,470,384,6161,53,,
Callahan,2/3,3000,5097,2951,2331,11263,2958,146,122,4094,442,,
Cameron,11,225675,244397,156746,97412,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1700,4206,2666,1671,10031,2494,207,152,3927,0,,
Carson,1,1500,2335,1347,1036,4718,1250,60,0,1547,240,,
Cass,4/5N,4300,7657,4625,3624,24182,6856,1216,550,9010,1125,,
