County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,3334900,1426859,1241950,184909,22448443,3769216,1591521,270194,9499038
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,1653,1600,53,49346,8955,2590,833,24078
Andrews,9/10,1100,729,683,46,13954,1905,401,106,5867
Angelina,4/5N,11200,4827,4744,83,70388,14706,7603,1752,34525
Aransas,11,600,629,586,43,19727,6538,542,252,10102
Archer,2/3,400,491,425,66,7533,1887,107,59,3131
Armstrong,1,200,225,219,6,1693,588,37,86,659
Atascosa,8,2900,1549,1381,168,39065,7743,1181,655,17891
Austin,6/5S,1400,1271,1229,42,25584,6512,1069,396,10132
Bailey,1,1475,159,157,2,5190,1024,156,74,2359
Bandera,8,200,1008,964,44,19833,6530,426,186,9348
Bastrop,7,3200,2130,1946,184,70499,14746,2137,696,34606
Baylor,2/3,1575,431,426,5,3002,916,156,97,1287
Bee,11,4625,1022,935,87,26904,4202,1219,684,13037
Bell,7,27300,13888,11716,2172,265191,37371,20144,2466,105279
Bexar,8,235400,106400,86536,19864,1541803,248261,127752,17100,696450
Blanco,7,300,1011,986,25,10177,3274,167,102,4572
Borden,9/10,0,21,21,0,580,206,10,0,228
Bosque,7,1900,667,647,20,15491,4847,677,407,7171
Bowie,4/5N,8850,3307,2697,610,78179,16917,7877,1532,36179
Brazoria,6/5S,14600,17947,14665,3282,295635,48145,13914,2648,119229
Brazos,7,16125,6634,6103,531,185835,21605,10756,1278,64988
Brewster,9/10,1000,562,550,12,7291,1942,548,0,3547
Briscoe,1,100,158,157,1,1295,443,18,0,642
Brooks,11,600,185,183,2,5438,1441,396,246,2867
Brown,2/3,1600,971,946,25,31586,8452,1886,911,14261
Burleson,7,600,536,506,30,14721,3981,203,218,7277
Burnet,7,2800,1373,1204,169,39423,11162,2391,595,17381
Caldwell,7,1200,1044,967,77,33813,6558,1744,524,16400
Calhoun,8,1000,904,851,53,17169,3944,608,254,7841
Callahan,2/3,700,549,425,124,11666,3185,310,122,5346
Cameron,11,39850,26661,22743,3918,315242,59778,33067,6480,149238
Camp,4/5N,100,349,315,34,10054,2412,353,154,4991
Carson,1,200,440,429,11,4769,1096,77,0,2031
Cass,4/5N,300,435,372,63,24447,7203,1609,550,12120
Castro,1,700,397,394,3,5574,1267,152,174,2718
Chambers,6/5S,4200,1582,1443,139,34171,5692,1101,120,13721
Cherokee,4/5N,4200,1918,1853,65,41571,9380,1837,809,20430
Childress,1,900,449,444,5,5769,1177,276,136,2845
Clay,2/3,1275,572,498,74,8544,2430,175,60,4071
Cochran,1,100,371,311,60,2167,497,66,0,1139
Coke,9/10,0,138,126,12,2839,957,47,130,1324
Coleman,2/3,600,375,360,15,6555,2051,418,162,3427
