County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,6001125,4451518,3107515,1344003,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6400,4356,2813,1543,48045,8658,2051,833,20206,,,
Andrews,9/10,2200,3048,2379,669,13503,1833,309,106,5450,,,
Angelina,4/5N,17900,13652,9198,4454,67056,14422,6534,1752,28054,,,
Aransas,11,1300,3443,2517,926,19803,6791,370,252,6701,,,
Archer,2/3,900,1957,1340,617,6921,1677,80,13,2381,,,
Armstrong,1,500,559,348,211,1499,470,32,86,466,,,
Atascosa,8,4100,4894,3444,1450,38768,7605,1124,651,15239,,,
Austin,6/5S,2300,5200,4064,1136,23704,5933,667,396,7873,,,
Bailey,1,7425,2530,1423,1107,5089,1036,114,74,1982,,,
Bandera,8,600,2826,2143,683,19763,6439,352,180,6555,,,
Bastrop,7,10900,6842,4811,2031,68839,13865,1462,696,29356,,,
Baylor,2/3,3050,1535,857,678,2793,844,137,97,908,,,
Bee,11,23100,8484,5576,2908,26496,4091,981,684,11359,,,
Bell,7,58050,36315,24832,11483,272969,40534,15894,2466,95066,,,
Bexar,8,452750,312408,214892,97516,1552823,247843,100704,17248,614646,,,
Blanco,7,1300,1824,1492,332,10092,3004,90,102,3388,,,
Borden,9/10,0,85,61,24,543,174,9,0,163,,,
Bosque,7,3000,2928,1796,1132,15224,4741,624,407,5126,,,
Bowie,4/5N,15850,7770,4930,2840,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,45000,57180,38047,19133,287683,45752,9762,2648,105966,,,
Brazos,7,33900,24856,17635,7221,186843,21693,7514,1414,59619,,,
Brewster,9/10,1600,2299,1931,368,7706,2231,303,0,2579,,,
Briscoe,1,400,507,356,151,1272,404,19,0,452,,,
Brooks,11,1300,1255,1011,244,5317,1308,323,246,2253,,,
Brown,2/3,3000,3873,2779,1094,30883,7720,1663,911,11188,,,
Burleson,7,1100,2246,1638,608,14869,3867,143,218,5600,,,
Burnet,7,8475,5159,3989,1170,39239,10999,1823,595,13132,,,
Caldwell,7,3700,3600,2473,1127,34853,6512,1286,524,14114,,,
Calhoun,8,1400,2603,1767,836,16817,3981,470,384,6161,,,
Callahan,2/3,1300,1734,1250,484,11263,2958,146,122,4094,,,
Cameron,11,89425,79278,54568,24710,311689,58607,29737,6315,127806,,,
Camp,4/5N,400,1355,975,380,10031,2494,207,152,3927,,,
Carson,1,300,1192,746,446,4718,1250,60,0,1547,,,
Cass,4/5N,700,1510,1005,505,24182,6856,1216,550,9010,,,
Castro,1,1300,1312,943,369,5607,1236,121,174,2168,,,
Chambers,6/5S,11700,5046,3377,1669,33062,5259,958,244,12484,,,
Cherokee,4/5N,6800,6039,4046,1993,40876,9444,1500,738,16376,,,
Childress,1,1700,1341,789,552,6094,1165,251,136,2395,,,
Clay,2/3,5375,2942,2325,617,8666,2484,136,60,3011,,,
Cochran,1,400,597,457,140,2188,468,57,0,956,,,
Coke,9/10,0,512,363,149,2756,947,47,130,899,,,
Coleman,2/3,900,995,627,368,6721,2119,342,162,2379,,,
Collin,2/3,143350,160388,118547,41841,801716,116575,38139,7817,236374,,,
Collingsworth,1,700,690,451,239,2263,555,80,92,847,,,
Colorado,6/5S,2600,3317,2616,701,17107,4850,853,477,5957,,,
Comal,8,20500,23900,18263,5637,125307,28528,5457,1845,38712,,,
Comanche,2/3,2950,2931,1653,1278,10944,3330,330,292,3738,,,
Concho,9/10,400,553,465,88,2288,689,76,66,815,,,
Cooke,2/3,4600,5093,3655,1438,32675,7804,948,552,11640,,,
Coryell,7,9025,6766,4663,2103,60428,8040,1178,610,22789,,,
Cottle,2/3,0,166,113,53,1123,339,5,0,446,,,
Crane,9/10,2250,949,708,241,3554,594,71,110,1353,,,
Crockett,9/10,0,818,567,251,2694,612,31,56,1031,,,
Crosby,1,2450,1528,1195,333,4421,1085,98,115,1771,,,
Culberson,9/10,700,376,295,81,1746,480,67,0,722,,,
Dallam,1,6850,2393,1681,712,5217,857,40,0,2067,,,
Dallas,2/3,547325,363363,253721,109642,2028105,292117,142713,21399,730851,,,
Dawson,9/10,1100,1209,957,252,9789,1898,304,112,4206,,,
Deaf Smith,1,2300,2499,1756,743,13439,2423,238,147,5332,,,
Delta,4/5N,300,597,456,141,4222,1118,379,100,1580,,,
Denton,2/3,123050,94203,65607,28596,697330,93499,23806,5913,257836,,,
DeWitt,8,1000,1804,1240,564,16110,4035,319,438,6110,,,
Dickens,1,0,290,250,40,1858,525,21,0,689,,,
Dimmit,8,8125,3627,2699,928,7539,1749,238,175,3179,,,
Donley,1,300,550,360,190,2716,804,27,65,918,,,
Duval,11,900,2440,1718,722,8600,2031,69,150,3541,,,
Eastland,2/3,1400,1910,1275,635,14970,4054,860,389,5393,,,
Ector,9/10,41800,27843,20333,7510,120896,15970,5303,1016,50679,,,
Edwards,8,0,183,153,30,1555,561,24,0,528,,,
El Paso,9/10,194000,169967,113149,56818,640180,105175,35065,8383,245567,,,
Ellis,2/3,16900,24940,18676,6264,141665,24288,3985,1994,54463,,,
Erath,2/3,3600,4265,3127,1138,34875,6256,1250,481,12564,,,
Falls,7,7825,2143,1780,363,14049,3226,328,187,5671,,,
Fannin,2/3,10525,4799,3330,1469,28874,6588,962,614,10987,,,
Fayette,7,1600,3412,2684,728,20879,6679,998,647,6844,,,
Fisher,2/3,700,606,471,135,3088,961,101,28,1061,,,
Floyd,1,700,1163,824,339,4371,1070,132,68,1723,,,
Foard,2/3,500,538,411,127,962,315,7,80,332,,,
Fort Bend,6/5S,116900,152806,105910,46896,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,1310,920,390,8554,2367,169,163,2871,,,
Freestone,7,1300,1464,1002,462,15808,3996,553,261,6319,,,
Frio,8,4650,2837,2029,808,16121,2499,186,166,6797,,,
Gaines,9/10,1600,1749,1154,595,14548,1907,323,95,6156,,,
Galveston,6/5S,69200,71790,45229,26561,269280,50987,11784,2830,96486,,,
Garza,1,500,495,385,110,5325,719,33,75,2197,,,
Gillespie,8,9200,5527,4237,1290,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,311,270,41,1099,210,23,0,426,,,
Goliad,8,400,1634,1056,578,6281,1832,39,135,2282,,,
Gonzales,8,1900,2760,1853,907,15937,3572,550,256,6356,,,
Gray,1,1800,2689,1805,884,16924,3531,689,315,6978,,,
Grayson,2/3,24600,16774,11408,5366,107521,24182,9338,2131,40586,,,
Gregg,4/5N,29375,17745,12935,4810,95544,19451,7025,2324,37362,,,
Grimes,7,1700,2686,1890,796,23245,5134,234,311,9653,,,
Guadalupe,8,17425,18581,13506,5075,130517,23614,3801,1225,49282,,,
Hale,1,3300,4648,3170,1478,25476,4604,873,399,10561,,,
Hall,1,0,750,573,177,2406,711,27,72,978,,,
Hamilton,7,1800,1604,1020,584,6832,2146,481,296,2427,,,
Hansford,1,900,957,645,312,3987,812,139,84,1616,,,
Hardeman,2/3,1200,1278,844,434,3190,912,102,16,1146,,,
Hardin,6/5S,5900,8145,6099,2046,45112,9762,1003,527,16190,,,
Harris,6/5S,871450,653199,442520,210679,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4900,5284,3816,1468,51900,11607,3063,608,20509,,,
Hartley,1,1475,1589,1035,554,4561,861,196,94,1669,,,
Haskell,2/3,600,1103,866,237,4831,1266,123,68,1872,,,
Hays,7,35350,28912,21283,7629,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,1003,633,370,2827,606,104,98,1066,,,
Henderson,4/5N,5100,8586,6140,2446,67238,18534,2043,998,26544,,,
