County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,1860925,752324,687846,64478,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,4700,596,586,10,49346,8955,2590,833,24078
Andrews,9/10,1100,624,609,15,13954,1905,401,106,5867
Angelina,4/5N,11100,3006,2996,10,70388,14706,7603,1752,34525
Aransas,11,600,415,404,11,19727,6538,542,252,10102
Archer,2/3,300,227,211,16,7533,1887,107,59,3131
Armstrong,1,200,103,98,5,1693,588,37,86,659
Atascosa,8,2400,1055,1002,53,39065,7743,1181,655,17891
Austin,6/5S,1200,704,690,14,25584,6512,1069,396,10132
Bailey,1,500,126,126,0,5190,1024,156,74,2359
Bandera,8,200,441,433,8,19833,6530,426,186,9348
Bastrop,7,1400,1404,1347,57,70499,14746,2137,696,34606
Baylor,2/3,600,224,223,1,3002,916,156,97,1287
Bee,11,1500,633,617,16,26904,4202,1219,684,13037
Bell,7,19200,5850,5308,542,265191,37371,20144,2466,105279
Bexar,8,158875,54729,49869,4860,1541803,248261,127752,17100,696450
Blanco,7,300,184,178,6,10177,3274,167,102,4572
Borden,9/10,0,13,13,0,580,206,10,0,228
Bosque,7,1900,300,288,12,15491,4847,677,407,7171
Bowie,4/5N,6275,1427,1395,32,78179,16917,7877,1532,36179
Brazoria,6/5S,11100,9679,8653,1026,295635,48145,13914,2648,119229
Brazos,7,11950,2597,2447,150,185835,21605,10756,1278,64988
Brewster,9/10,800,304,303,1,7291,1942,548,0,3547
Briscoe,1,100,95,95,0,1295,443,18,0,642
Brooks,11,300,131,131,0,5438,1441,396,246,2867
Brown,2/3,1400,719,705,14,31586,8452,1886,911,14261
Burleson,7,500,301,297,4,14721,3981,203,218,7277
Burnet,7,2600,745,732,13,39423,11162,2391,595,17381
Caldwell,7,900,666,655,11,33813,6558,1744,524,16400
Calhoun,8,900,467,461,6,17169,3944,608,254,7841
Callahan,2/3,500,316,258,58,11666,3185,310,122,5346
Cameron,11,26550,16478,15020,1458,315242,59778,33067,6480,149238
Camp,4/5N,0,196,187,9,10054,2412,353,154,4991
Carson,1,200,285,279,6,4769,1096,77,0,2031
Cass,4/5N,200,248,245,3,24447,7203,1609,550,12120
Castro,1,200,190,187,3,5574,1267,152,174,2718
Chambers,6/5S,2900,831,774,57,34171,5692,1101,120,13721
Cherokee,4/5N,3700,1000,977,23,41571,9380,1837,809,20430
Childress,1,900,439,436,3,5769,1177,276,136,2845
Clay,2/3,300,324,299,25,8544,2430,175,60,4071
Cochran,1,0,192,178,14,2167,497,66,0,1139
Coke,9/10,0,60,49,11,2839,957,47,130,1324
Coleman,2/3,600,216,210,6,6555,2051,418,162,3427
Collin,2/3,43900,21080,19173,1907,806242,118818,56174,7544,256993
Collingsworth,1,200,122,121,1,2177,574,94,92,1084
Colorado,6/5S,500,413,410,3,17682,5065,1057,477,7953
Comal,8,8500,3534,3403,131,125758,29676,7125,1845,45927
Comanche,2/3,500,472,469,3,11046,3438,418,292,5170
Concho,9/10,0,39,30,9,2381,528,81,66,1923
Cooke,2/3,1300,734,717,17,32501,7977,1347,552,14449
Coryell,7,1600,877,859,18,58277,6832,1291,594,25149
Cottle,2/3,0,1208,1116,92,1120,400,5,0,608
Crane,9/10,200,121,121,0,3483,625,95,110,1547
Crockett,9/10,0,52,47,5,2687,716,45,56,1307
Crosby,1,200,188,180,8,4386,1236,127,115,2252
Culberson,9/10,200,70,70,0,1797,529,79,0,972
Dallam,1,200,62,62,0,5092,691,95,0,2336
Dallas,2/3,174725,55770,48169,7601,2015538,284171,183122,21354,820238
Dawson,9/10,400,135,131,4,9997,1927,385,112,5005
Deaf Smith,1,1100,607,599,8,14288,2472,316,228,6265
Delta,4/5N,0,76,76,0,4312,1312,437,100,2090
Denton,2/3,22500,13032,12016,1016,702429,94410,34569,5667,276089
