County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,6001125,4290367,3031894,1258473,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6400,4351,2821,1530,48045,8658,2051,833,20206,,,
Andrews,9/10,2200,2993,2366,627,13503,1833,309,106,5450,,,
Angelina,4/5N,17900,13531,9118,4413,67056,14422,6534,1752,28054,,,
Aransas,11,1300,3114,2303,811,19803,6791,370,252,6701,,,
Archer,2/3,900,1869,1279,590,6921,1677,80,13,2381,,,
Armstrong,1,500,558,355,203,1499,470,32,86,466,,,
Atascosa,8,4100,4792,3400,1392,38768,7605,1124,651,15239,,,
Austin,6/5S,2300,5264,4160,1104,23704,5933,667,396,7873,,,
Bailey,1,7425,2573,1452,1121,5089,1036,114,74,1982,,,
Bandera,8,600,2597,2069,528,19763,6439,352,180,6555,,,
Bastrop,7,10900,6214,4259,1955,68839,13865,1462,696,29356,,,
Baylor,2/3,3050,1508,851,657,2793,844,137,97,908,,,
Bee,11,23100,8345,5566,2779,26496,4091,981,684,11359,,,
Bell,7,58050,36114,24743,11371,272969,40534,15894,2466,95066,,,
Bexar,8,452750,300936,210070,90866,1552823,247843,100704,17248,614646,,,
Blanco,7,1300,1893,1565,328,10092,3004,90,102,3388,,,
Borden,9/10,0,74,55,19,543,174,9,0,163,,,
Bosque,7,3000,2821,1737,1084,15224,4741,624,407,5126,,,
Bowie,4/5N,15850,7163,4839,2324,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,45000,54177,36630,17547,287683,45752,9762,2648,105966,,,
Brazos,7,33900,23252,16934,6318,186843,21693,7514,1414,59619,,,
Brewster,9/10,1600,2272,1924,348,7706,2231,303,0,2579,,,
Briscoe,1,400,516,367,149,1272,404,19,0,452,,,
Brooks,11,1300,1224,994,230,5317,1308,323,246,2253,,,
Brown,2/3,3000,3648,2597,1051,30883,7720,1663,911,11188,,,
Burleson,7,1100,2201,1625,576,14869,3867,143,218,5600,,,
Burnet,7,8475,5046,3917,1129,39239,10999,1823,595,13132,,,
