County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,19479384,11447408,8709410,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,21778,15093,7932,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10712,5886,5019,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,44760,25796,20537,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,19160,10920,8832,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5444,3006,2719,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1018,576,466,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,25738,15558,11135,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17417,10259,8230,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3859,2159,1881,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12630,7465,5865,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,53780,33315,22138,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2106,1148,1048,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19390,11499,8281,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,142101,85142,62764,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1387353,804797,618141,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,8764,4972,4084,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,259,146,132,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,10924,6283,5234,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,35185,20603,16846,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,254201,145857,117719,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,149814,87798,66392,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7618,4339,3695,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,874,470,422,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5536,3053,2580,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,16147,10281,8863,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,10561,6183,5008,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,28461,17092,12891,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,23981,14823,10638,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,13174,7799,6459,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6333,3617,3104,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,356081,211863,155744,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6166,3571,2784,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2660,1473,1247,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11721,7021,5667,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3806,2202,1729,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,21084,13200,8380,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,21142,12555,9826,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4107,2517,1904,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6343,3414,3158,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1349,797,711,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1805,1016,826,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3980,2248,1906,6721,2119,342,162,2379,289,,,,,,,,,,,,,
