County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,8472055,5704319,2946045,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7313,4918,2729,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,6847,4708,2227,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,22209,14274,8112,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,7961,5227,2864,19803,6791,370,252,6701,39,,
Archer,2/3,1800,3135,1893,1298,6921,1677,80,13,2381,330,,
Armstrong,1,1200,753,462,295,1499,470,32,86,466,0,,
Atascosa,8,8600,9910,6728,3391,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,8605,5920,2982,23704,5933,667,396,7873,1079,,
Bailey,1,16885,3009,1745,1269,5089,1036,114,74,1982,0,,
Bandera,8,1600,5787,3860,2091,19763,6439,352,180,6555,20,,
Bastrop,7,25200,17581,12907,5038,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1765,962,807,2793,844,137,97,908,0,,
Bee,11,48460,12878,7495,5427,26496,4091,981,684,11359,989,,
Bell,7,116990,66711,44218,25210,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,583584,378521,210320,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,3933,2751,1265,10092,3004,90,102,3388,303,,
Borden,9/10,0,166,118,54,543,174,9,0,163,0,,
Bosque,7,5600,5956,4211,1947,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,17526,11815,6537,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,110580,73151,40016,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,57510,41438,18077,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,4959,3322,1720,7706,2231,303,0,2579,255,,
Briscoe,1,800,761,435,332,1272,404,19,0,452,0,,
Brooks,11,2000,3339,2307,1041,5317,1308,323,246,2253,22,,
Brown,2/3,9700,6923,4935,2109,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,4893,3416,1693,14869,3867,143,218,5600,518,,
Burnet,7,19435,12670,8940,4306,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,8391,6033,2790,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,5213,3793,1612,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3398,2272,1149,11263,2958,146,122,4094,442,,
Cameron,11,158455,147932,96611,54976,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2761,1861,937,10031,2494,207,152,3927,0,,
Carson,1,1000,1795,1108,689,4718,1250,60,0,1547,240,,
Cass,4/5N,2400,4703,3452,1517,24182,6856,1216,550,9010,1125,,
Castro,1,2000,2457,1582,952,5607,1236,121,174,2168,341,,
Chambers,6/5S,22300,9812,6623,3230,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10300,10234,6432,4088,40876,9444,1500,738,16376,1511,,
Childress,1,3000,2178,1439,759,6094,1165,251,136,2395,0,,
Clay,2/3,8145,4882,2697,2207,8666,2484,136,60,3011,384,,
Cochran,1,1000,1066,768,366,2188,468,57,0,956,0,,
