County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,6001125,4395705,3082676,1313029,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6400,4356,2817,1539,48045,8658,2051,833,20206,,,
Andrews,9/10,2200,3045,2377,668,13503,1833,309,106,5450,,,
Angelina,4/5N,17900,13618,9170,4448,67056,14422,6534,1752,28054,,,
Aransas,11,1300,3355,2461,894,19803,6791,370,252,6701,,,
Archer,2/3,900,1921,1312,609,6921,1677,80,13,2381,,,
Armstrong,1,500,561,350,211,1499,470,32,86,466,,,
Atascosa,8,4100,4869,3434,1435,38768,7605,1124,651,15239,,,
Austin,6/5S,2300,5231,4104,1127,23704,5933,667,396,7873,,,
Bailey,1,7425,2542,1428,1114,5089,1036,114,74,1982,,,
Bandera,8,600,2834,2161,673,19763,6439,352,180,6555,,,
Bastrop,7,10900,6680,4680,2000,68839,13865,1462,696,29356,,,
Baylor,2/3,3050,1535,857,678,2793,844,137,97,908,,,
Bee,11,23100,8374,5565,2809,26496,4091,981,684,11359,,,
Bell,7,58050,36241,24792,11449,272969,40534,15894,2466,95066,,,
Bexar,8,452750,309744,214072,95672,1552823,247843,100704,17248,614646,,,
Blanco,7,1300,1841,1513,328,10092,3004,90,102,3388,,,
Borden,9/10,0,80,58,22,543,174,9,0,163,,,
Bosque,7,3000,2895,1772,1123,15224,4741,624,407,5126,,,
Bowie,4/5N,15850,7687,4852,2835,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,45000,56042,37580,18462,287683,45752,9762,2648,105966,,,
Brazos,7,33900,24471,17397,7074,186843,21693,7514,1414,59619,,,
Brewster,9/10,1600,2281,1914,367,7706,2231,303,0,2579,,,
Briscoe,1,400,515,363,152,1272,404,19,0,452,,,
Brooks,11,1300,1244,1005,239,5317,1308,323,246,2253,,,
Brown,2/3,3000,3752,2659,1093,30883,7720,1663,911,11188,,,
Burleson,7,1100,2245,1638,607,14869,3867,143,218,5600,,,
Burnet,7,8475,5123,3972,1151,39239,10999,1823,595,13132,,,
Caldwell,7,3700,3555,2449,1106,34853,6512,1286,524,14114,,,
Calhoun,8,1400,2608,1777,831,16817,3981,470,384,6161,,,
Callahan,2/3,1300,1705,1229,476,11263,2958,146,122,4094,,,
Cameron,11,89425,78678,54450,24228,311689,58607,29737,6315,127806,,,
Camp,4/5N,400,1339,962,377,10031,2494,207,152,3927,,,
Carson,1,300,1192,747,445,4718,1250,60,0,1547,,,
Cass,4/5N,700,1479,977,502,24182,6856,1216,550,9010,,,
Castro,1,1300,1311,942,369,5607,1236,121,174,2168,,,
Chambers,6/5S,11700,4929,3314,1615,33062,5259,958,244,12484,,,
Cherokee,4/5N,6800,5945,4004,1941,40876,9444,1500,738,16376,,,
Childress,1,1700,1343,791,552,6094,1165,251,136,2395,,,
Clay,2/3,5375,2919,2304,615,8666,2484,136,60,3011,,,
Cochran,1,400,609,467,142,2188,468,57,0,956,,,
Coke,9/10,0,517,368,149,2756,947,47,130,899,,,
Coleman,2/3,900,993,625,368,6721,2119,342,162,2379,,,
Collin,2/3,143350,157664,117628,40036,801716,116575,38139,7817,236374,,,
Collingsworth,1,700,686,453,233,2263,555,80,92,847,,,
Colorado,6/5S,2600,3297,2601,696,17107,4850,853,477,5957,,,
Comal,8,20500,23328,17862,5466,125307,28528,5457,1845,38712,,,
Comanche,2/3,2950,2854,1579,1275,10944,3330,330,292,3738,,,
Concho,9/10,400,552,464,88,2288,689,76,66,815,,,
Cooke,2/3,4600,5037,3631,1406,32675,7804,948,552,11640,,,
Coryell,7,9025,6759,4660,2099,60428,8040,1178,610,22789,,,
Cottle,2/3,0,167,114,53,1123,339,5,0,446,,,
Crane,9/10,2250,945,706,239,3554,594,71,110,1353,,,
Crockett,9/10,0,825,574,251,2694,612,31,56,1031,,,
Crosby,1,2450,1522,1190,332,4421,1085,98,115,1771,,,
Culberson,9/10,700,377,296,81,1746,480,67,0,722,,,
Dallam,1,6850,2436,1706,730,5217,857,40,0,2067,,,
Dallas,2/3,547325,359031,252233,106798,2028105,292117,142713,21399,730851,,,
Dawson,9/10,1100,1194,945,249,9789,1898,304,112,4206,,,
Deaf Smith,1,2300,2494,1754,740,13439,2423,238,147,5332,,,
Delta,4/5N,300,598,456,142,4222,1118,379,100,1580,,,
Denton,2/3,123050,92076,64687,27389,697330,93499,23806,5913,257836,,,
DeWitt,8,1000,1801,1240,561,16110,4035,319,438,6110,,,
Dickens,1,0,294,254,40,1858,525,21,0,689,,,
Dimmit,8,8125,3491,2702,789,7539,1749,238,175,3179,,,
Donley,1,300,560,370,190,2716,804,27,65,918,,,
Duval,11,900,2228,1540,688,8600,2031,69,150,3541,,,
Eastland,2/3,1400,1892,1258,634,14970,4054,860,389,5393,,,
Ector,9/10,41800,27690,20277,7413,120896,15970,5303,1016,50679,,,
Edwards,8,0,188,158,30,1555,561,24,0,528,,,
El Paso,9/10,194000,168181,112618,55563,640180,105175,35065,8383,245567,,,
Ellis,2/3,16900,24707,18506,6201,141665,24288,3985,1994,54463,,,
Erath,2/3,3600,4248,3113,1135,34875,6256,1250,481,12564,,,
Falls,7,7825,2142,1783,359,14049,3226,328,187,5671,,,
Fannin,2/3,10525,4787,3323,1464,28874,6588,962,614,10987,,,
Fayette,7,1600,3398,2676,722,20879,6679,998,647,6844,,,
Fisher,2/3,700,584,463,121,3088,961,101,28,1061,,,
Floyd,1,700,1123,823,300,4371,1070,132,68,1723,,,
Foard,2/3,500,536,410,126,962,315,7,80,332,,,
Fort Bend,6/5S,116900,149688,104300,45388,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,1303,916,387,8554,2367,169,163,2871,,,
Freestone,7,1300,1449,991,458,15808,3996,553,261,6319,,,
Frio,8,4650,2838,2031,807,16121,2499,186,166,6797,,,
Gaines,9/10,1600,1748,1152,596,14548,1907,323,95,6156,,,
Galveston,6/5S,69200,70324,44828,25496,269280,50987,11784,2830,96486,,,
Garza,1,500,488,383,105,5325,719,33,75,2197,,,
