County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,25408585,17897837,10909580,7617650,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5023640,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17370,17567,11696,7066,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10473,5778,4886,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,56000,41948,25028,18421,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18460,10623,8390,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3000,5152,2977,2470,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1011,579,455,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,18500,23265,14503,9608,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8600,17658,11016,7746,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23835,3780,2142,1820,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12170,7360,5464,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,55100,51015,32893,19709,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2275,1303,1060,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,81290,18263,10661,7973,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,213350,126583,79389,52541,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1414660,1260861,768771,524774,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5500,8253,4889,3632,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,292,177,155,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11000,10428,6122,4843,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,65890,33120,19631,15670,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,208110,233326,138988,103189,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,167450,135538,84193,55536,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7492,4324,3575,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,878,471,423,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5372,2976,2450,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14600,15503,9913,8565,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,9707,5881,4353,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,35775,25972,16195,11163,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,14700,21525,13845,9141,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12755,7842,6000,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6183,3536,3021,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,356965,323710,201076,133768,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5876,3542,2509,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2563,1433,1184,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11148,6802,5266,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3665,2137,1644,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,36200,19213,12295,7340,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,17070,19772,11876,9050,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4900,4026,2466,1867,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,13645,6034,3346,2902,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1604,940,822,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1770,1003,804,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3825,2189,1798,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,719020,775737,465162,328718,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1381,792,685,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12300,12778,8013,6074,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,88760,99742,61538,43292,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7526,4336,3705,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1641,916,795,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,16172,10087,6713,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,36725,23772,14968,9650,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,756,428,375,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2069,1283,806,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1824,1026,824,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3444,1903,1591,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1783,949,840,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,27340,4131,2425,1749,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1844095,1601561,985745,665666,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4500,4244,2524,1870,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,6700,9871,5735,4712,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,4800,7854,4727,3643,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2143,1220,994,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,543620,614927,364727,265672,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,967,549,479,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,7685,4433,3283,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1697,1008,736,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3500,8019,4731,3701,8600,2031,69,150,3541,482,,,,,,,,,,,,,
