County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,4468600,2755737,2136285,619452,21407691,3329659,1241763,271813,8051352
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--
Anderson,4/5N,6200,2525,2192,333,47597,8202,2051,833,20210
Andrews,9/10,1600,2559,1948,611,12825,1801,309,106,5148
Angelina,4/5N,13600,8427,6384,2043,67453,13539,6534,1752,28736
Aransas,11,1100,1632,1430,202,20955,6656,370,252,7364
Archer,2/3,700,960,795,165,7130,1721,80,13,2456
Armstrong,1,400,389,308,81,1461,396,32,86,482
Atascosa,8,2900,3475,2651,824,36791,6915,1124,651,14609
Austin,6/5S,1800,2685,2192,493,23308,5403,667,396,7932
Bailey,1,3525,1405,1292,113,5134,981,114,74,2031
Bandera,8,500,1804,1519,285,18536,5623,352,180,6353
Bastrop,7,6200,3849,2893,956,63974,11861,1462,696,27828
Baylor,2/3,1975,815,724,91,2923,886,137,97,949
Bee,11,11075,4957,4471,486,26535,3836,981,684,11508
Bell,7,41450,24902,18833,6069,255178,34957,15894,2466,90070
Bexar,8,309800,194684,144278,50406,1482211,223179,100704,17248,593004
Blanco,7,900,2135,1712,423,9449,2691,90,102,3230
Borden,9/10,0,44,39,5,537,159,9,0,167
Bosque,7,2700,1189,952,237,14611,4384,624,407,5001
Bowie,4/5N,11050,5148,3589,1559,73749,14999,6332,1467,29551
Brazoria,6/5S,29600,31083,23478,7605,269413,39812,9762,2648,100565
Brazos,7,24625,14585,12129,2456,179099,18744,7514,1414,57888
Brewster,9/10,1300,1816,1638,178,7609,1973,303,0,2655
Briscoe,1,400,659,483,176,1229,373,19,0,446
Brooks,11,800,718,627,91,5398,1257,323,246,2327
Brown,2/3,2100,2192,1634,558,30563,7318,1663,911,11227
Burleson,7,800,1287,974,313,14289,3555,143,218,5464
Burnet,7,5250,3002,2396,606,36993,9846,1823,595,12623
Caldwell,7,2400,2144,1658,486,32672,5715,1286,524,13425
Calhoun,8,1100,1615,1194,421,17099,3642,470,384,6459
Callahan,2/3,1000,983,782,201,11037,2758,146,122,4082
Cameron,11,58950,50867,39093,11774,304880,53736,29737,6315,126828
Camp,4/5N,300,719,567,152,9755,2252,207,152,3909
Carson,1,200,829,661,168,4746,1057,60,0,1645
Cass,4/5N,400,778,551,227,24043,6470,1216,550,9138
Castro,1,700,941,808,133,5737,1134,121,174,2283
Chambers,6/5S,8000,2888,2239,649,30384,4489,958,244,11627
Cherokee,4/5N,5200,3397,2711,686,40020,8738,1500,738,16298
Childress,1,1500,660,475,185,5879,1060,251,136,2342
Clay,2/3,3325,2045,1804,241,8415,2186,136,60,3034
Cochran,1,300,548,423,125,2201,439,57,0,980
Coke,9/10,0,288,251,37,2665,863,47,130,896
