County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,25408585,17494549,10750344,7367197,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5023640,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17370,16088,10448,6798,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,2021-09-10 00:00:00,6100,10428,5757,4861,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,56000,40259,24698,17051,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18215,10526,8239,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2021-02-03 00:00:00,3000,5144,2989,2482,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1001,579,445,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,18500,22692,14179,9328,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8600,17665,11195,7599,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23835,3749,2128,1805,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,11889,7273,5271,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,55100,50324,32726,19170,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2021-02-03 00:00:00,5550,2403,1374,1116,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,81290,17409,9928,7853,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,213350,123696,77812,51158,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1414660,1225685,754528,503515,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5500,8067,4880,3474,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,2021-09-10 00:00:00,0,289,176,155,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11000,10379,6108,4818,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,65890,32653,19453,15382,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,208110,229819,137410,101208,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,167450,131309,83126,52359,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,2021-09-10 00:00:00,5100,7393,4325,3476,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,884,474,426,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5361,2977,2438,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2021-02-03 00:00:00,14600,15302,9828,8445,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,9591,5824,4290,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,35775,25179,15979,10592,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,14700,21007,13698,8776,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12717,7955,5855,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2021-02-03 00:00:00,3500,6122,3518,2982,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,356965,315684,198093,128654,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5761,3501,2437,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2534,1428,1160,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,10992,6771,5147,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3612,2124,1602,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,36200,18887,12170,7126,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,17070,19204,11494,8846,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4900,3814,2276,1845,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2021-02-03 00:00:00,13645,5975,3309,2878,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,2541,1624,1076,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,2021-09-10 00:00:00,0,1747,1004,780,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2021-02-03 00:00:00,3700,3791,2167,1786,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2021-02-03 00:00:00,719020,756375,459179,315048,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1377,792,683,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12300,12573,7932,5955,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,88760,97717,60705,41990,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2021-02-03 00:00:00,6890,7460,4299,3665,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,2021-09-10 00:00:00,2000,1590,905,756,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2021-02-03 00:00:00,18500,16040,10002,6663,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,36725,22681,14093,9435,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2021-02-03 00:00:00,0,754,427,374,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,2021-09-10 00:00:00,3550,2044,1267,797,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,2021-09-10 00:00:00,0,1822,1027,820,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3406,1896,1558,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,2021-09-10 00:00:00,2000,1759,940,825,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,27340,4089,2403,1730,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2021-02-03 00:00:00,1844095,1565614,973954,640847,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,2021-09-10 00:00:00,4500,4155,2452,1854,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,6700,9824,5750,4638,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,4800,7780,4701,3590,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2118,1208,980,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2021-02-03 00:00:00,543620,606236,360782,260559,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,969,552,478,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,7659,4418,3274,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1701,1013,735,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3500,7956,4703,3666,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2021-02-03 00:00:00,6170,7984,4792,3802,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,2021-09-10 00:00:00,115830,77085,43834,35061,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1003,569,450,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,2021-09-10 00:00:00,654840,632927,397180,254352,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2021-02-03 00:00:00,120930,100834,61400,43165,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2021-02-03 00:00:00,24000,17717,10446,7921,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,29385,7607,4660,3194,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2021-02-03 00:00:00,36225,14472,8474,6916,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8600,13745,8407,6460,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2021-02-03 00:00:00,2200,1691,987,813,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3148,1769,1479,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2021-02-03 00:00:00,1700,727,429,329,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,488430,620710,373076,266234,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,4282,2596,1922,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4000,6958,4339,3142,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13250,8553,5358,3911,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,2021-09-10 00:00:00,5100,4831,2938,2242,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,292670,233764,135116,102920,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,3600,2319,1455,1276,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31200,17838,10505,7854,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,2021-09-10 00:00:00,0,916,562,467,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4033,2308,1951,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11200,10746,6555,5279,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5200,9118,5328,4182,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2021-02-03 00:00:00,63500,62285,38410,29744,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,120045,62971,35887,28468,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4300,14724,9182,6270,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91095,85137,54205,38616,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,12800,14011,8249,6614,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1694,988,829,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5002,2997,2475,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,2831,1679,1525,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,2021-02-03 00:00:00,3800,2329,1335,1182,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,24069,14024,10583,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3156680,2781462,1753556,1138990,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,25708,15382,12106,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3094,1790,1317,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,2021-02-03 00:00:00,3000,3156,1843,1453,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,164160,148311,93333,62134,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3000,2115,1256,1144,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,22370,35726,21393,16132,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,603890,621073,383658,258632,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10200,16810,10120,8019,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,11555,6760,5506,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,2021-02-03 00:00:00,31470,39061,22051,17868,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,15455,9055,7037,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6400,9956,6116,4558,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,2021-09-10 00:00:00,7900,12105,7006,5746,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,2021-09-10 00:00:00,2000,2969,1728,1351,3979,775,33,0,1778,145,,,,,,,,,,,,,
Hunt,2021-02-03 00:00:00,36870,38020,23000,16462,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,9055,5206,4060,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,2021-09-10 00:00:00,0,833,466,380,1234,328,15,0,429,0,,,,,,,,,,,,,
Jack,2021-02-03 00:00:00,3800,3863,2280,1824,7230,1515,198,149,2732,284,,,,,,,,,,,,,
Jackson,8,11060,7552,4590,3225,11425,2720,380,237,4205,674,,,,,,,,,,,,,
Jasper,4/5N,15170,15037,8566,7073,28056,7187,1597,374,11687,1173,,,,,,,,,,,,,
Jeff Davis,2021-09-10 00:00:00,1400,1923,1059,919,2180,812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,229800,122302,72440,51099,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,,
Jim Hogg,11,1400,4174,2357,1844,3791,890,14,60,1572,0,,,,,,,,,,,,,
Jim Wells,11,34255,27035,15396,12316,30579,6358,3897,985,12474,1370,,,,,,,,,,,,,
Johnson,2021-02-03 00:00:00,100900,83139,49025,36049,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,,
Jones,2021-02-03 00:00:00,3300,6325,3824,2993,17011,3188,337,254,6981,525,,,,,,,,,,,,,
Karnes,8,14520,7258,4688,3372,12669,2211,370,244,5177,505,,,,,,,,,,,,,
Kaufman,2021-02-03 00:00:00,62350,67778,41951,28317,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,,
Kendall,8,17900,33082,20355,14288,37890,9152,1091,801,12702,160,,,,,,,,,,,,,
Kenedy,11,0,324,176,151,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,2021-02-03 00:00:00,0,390,224,191,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,20100,27153,16243,11886,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,,
Kimble,2021-09-10 00:00:00,2900,2499,1429,1181,3651,1288,90,0,1243,0,,,,,,,,,,,,,
King,1,0,94,65,33,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,2400,1885,1149,769,3050,910,11,0,1171,0,,,,,,,,,,,,,
Kleberg,11,57555,24750,13757,11375,24188,4046,1401,341,9265,870,,,,,,,,,,,,,
Knox,2021-02-03 00:00:00,2300,1978,1093,993,2808,736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,24435,5230,2901,2496,6212,1018,22,60,2410,0,,,,,,,,,,,,,
Lamar,4/5N,27900,22950,13069,10734,39402,9726,3115,745,14986,1612,,,,,,,,,,,,,
Lamb,1,2400,6527,3884,3015,9740,2240,454,226,3968,536,,,,,,,,,,,,,
Lampasas,7,5000,9617,6069,4147,17366,4322,348,284,6457,0,,,,,,,,,,,,,
Lavaca,8,8600,10655,6388,5205,16004,4775,820,612,5435,476,,,,,,,,,,,,,
Lee,7,5500,8680,5206,3855,13993,3219,334,226,5333,494,,,,,,,,,,,,,
Leon,7,3800,7781,4814,3775,13946,4334,155,74,4662,603,,,,,,,,,,,,,
Liberty,6/5S,39725,31235,19975,12893,66868,11399,1398,614,28567,2987,,,,,,,,,,,,,
Limestone,7,7700,9275,5650,4242,18871,4670,2332,1060,7512,702,,,,,,,,,,,,,
Lipscomb,1,1300,1366,760,665,2520,617,24,61,919,190,,,,,,,,,,,,,
Live Oak,11,3300,5008,2825,2309,10055,2533,35,100,3769,300,,,,,,,,,,,,,
Llano,7,6700,14706,8732,6822,18908,8119,277,358,5362,15,,,,,,,,,,,,,
Loving,2021-09-10 00:00:00,0,58,34,24,129,23,0,0,50,0,,,,,,,,,,,,,
Lubbock,1,233220,180120,104554,80891,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,,
Lynn,1,1800,2914,1687,1313,4496,974,191,40,1838,328,,,,,,,,,,,,,
Madison,7,3700,5286,3430,2262,11595,2264,299,258,4451,17,,,,,,,,,,,,,
Marion,4/5N,1300,4391,2584,2102,8277,2697,351,158,3058,0,,,,,,,,,,,,,
Martin,2021-09-10 00:00:00,2400,2329,1382,1048,4136,659,165,0,1624,0,,,,,,,,,,,,,
Mason,2021-09-10 00:00:00,2000,2831,1564,1353,3521,1250,104,0,1147,0,,,,,,,,,,,,,
Matagorda,6/5S,16450,19267,11631,8373,28247,6391,1113,369,11409,1164,,,,,,,,,,,,,
Maverick,8,44800,40536,28540,14254,42606,7003,2970,1198,18727,152,,,,,,,,,,,,,
McCulloch,2021-09-10 00:00:00,4400,3541,2078,1608,6435,1792,212,122,2275,260,,,,,,,,,,,,,
McLennan,7,145680,130639,79655,58357,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,,
