County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,25518680,14230242,12304424,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,33368,18990,16585,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,11932,6483,5691,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,54493,30012,26766,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,22007,12202,10642,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6061,3310,3076,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1131,630,533,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,35500,19785,17110,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,21865,12644,11014,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4160,2349,2027,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,15694,8831,7898,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,72331,41308,33379,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2237,1213,1132,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,24016,13076,11490,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,198358,111369,95762,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1921414,1068034,914264,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,10182,5581,4991,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,293,165,152,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,12358,6949,6175,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,45397,25773,22530,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,321296,176484,158130,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,183745,101655,88355,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,8391,4755,4105,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,937,502,461,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,6544,3669,3159,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,19509,11955,11001,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,12661,7110,6406,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,36139,20529,17933,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,32597,18699,15771,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,15669,8935,8098,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,7206,4097,3659,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,475445,264504,226249,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7698,4310,3663,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2998,1626,1459,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,13891,7992,7011,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4337,2465,2025,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,29204,16224,13781,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,27006,15292,13608,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,5180,3018,2827,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6898,3709,3472,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1555,906,837,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,2007,1107,964,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4523,2492,2265,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1088231,591774,526050,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1447,836,731,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,16159,9413,8341,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,143410,80208,70760,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,8694,4889,4424,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
