County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,4468600,3063297,2330010,733287,22073792,3592230,1241763,271813,8218444
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--
Anderson,4/5N,6200,2638,2251,387,48158,8467,2051,833,20361
Andrews,9/10,1600,2838,2218,620,12998,1810,309,106,5225
Angelina,4/5N,13600,10173,7263,2910,67140,14137,6534,1752,28251
Aransas,11,1100,1948,1598,350,19788,6766,370,252,6706
Archer,2/3,700,1179,926,253,7040,1703,80,13,2423
Armstrong,1,400,440,321,119,1491,444,32,86,474
Atascosa,8,2900,3583,2709,874,38165,7358,1124,651,15065
Austin,6/5S,1800,3445,2755,690,23679,5734,667,396,7950
Bailey,1,3525,1474,1346,128,5088,1016,114,74,1991
Bandera,8,500,1956,1606,350,19442,6144,352,180,6543
Bastrop,7,6200,4340,3166,1174,67134,13185,1462,696,28809
Baylor,2/3,1975,943,731,212,2838,847,137,97,928
Bee,11,11075,5917,5180,737,26379,4003,981,684,11345
Bell,7,41450,27771,20049,7722,266749,38481,15894,2466,93362
Bexar,8,309800,209163,154339,54824,1531180,239522,100704,17248,608371
Blanco,7,900,2341,1780,561,9838,2868,90,102,3332
Borden,9/10,0,56,47,9,535,165,9,0,164
Bosque,7,2700,1305,1027,278,15082,4597,624,407,5127
Bowie,4/5N,11050,5795,3977,1818,73969,15525,6332,1467,29397
Brazoria,6/5S,29600,34462,25248,9214,282493,43680,9762,2648,104600
Brazos,7,24625,15736,13096,2640,184217,20714,7514,1414,59025
Brewster,9/10,1300,2058,1751,307,7715,2151,303,0,2621
Briscoe,1,400,721,490,231,1253,395,19,0,447
Brooks,11,800,817,697,120,5305,1285,323,246,2259
Brown,2/3,2100,2548,1863,685,30759,7535,1663,911,11217
Burleson,7,800,1427,1063,364,14756,3724,143,218,5615
Burnet,7,5250,3308,2602,706,38465,10619,1823,595,12948
Caldwell,7,2400,2516,1944,572,34365,6212,1286,524,14020
Calhoun,8,1100,1835,1396,439,16904,3895,470,384,6244
Callahan,2/3,1000,1078,841,237,11257,2870,146,122,4135
Cameron,11,58950,58280,42926,15354,309192,57020,29737,6315,127347
Camp,4/5N,300,775,610,165,9898,2415,207,152,3899
Carson,1,200,953,694,259,4757,1187,60,0,1592
Cass,4/5N,400,862,613,249,24130,6700,1216,550,9064
Castro,1,700,1032,857,175,5649,1200,121,174,2207
Chambers,6/5S,8000,3081,2321,760,31859,5005,958,244,12057
Cherokee,4/5N,5200,3614,2840,774,40543,9174,1500,738,16343
Childress,1,1500,921,542,379,6063,1124,251,136,2400
Clay,2/3,3325,2402,2026,376,8623,2385,136,60,3038
Cochran,1,300,620,482,138,2153,455,57,0,944
Coke,9/10,0,337,271,66,2747,914,47,130,911
Coleman,2/3,800,728,512,216,6813,2078,342,162,2448
