County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,5225050,3277891,2472063,805828,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6200,2774,2337,437,48045,8658,2051,833,20206,,,
Andrews,9/10,1600,2857,2237,620,13503,1833,309,106,5450,,,
Angelina,4/5N,15700,10434,7321,3113,67056,14422,6534,1752,28054,,,
Aransas,11,1100,2068,1677,391,19803,6791,370,252,6701,,,
Archer,2/3,700,1342,1003,339,6921,1677,80,13,2381,,,
Armstrong,1,400,439,323,116,1499,470,32,86,466,,,
Atascosa,8,3600,3766,2789,977,38768,7605,1124,651,15239,,,
Austin,6/5S,2000,3532,2781,751,23704,5933,667,396,7873,,,
Bailey,1,5475,1497,1369,128,5089,1036,114,74,1982,,,
Bandera,8,500,2432,2052,380,19763,6439,352,180,6555,,,
Bastrop,7,7500,4471,3226,1245,68839,13865,1462,696,29356,,,
Baylor,2/3,2950,946,733,213,2793,844,137,97,908,,,
Bee,11,16925,5909,5175,734,26496,4091,981,684,11359,,,
Bell,7,49450,29352,21065,8287,272969,40534,15894,2466,95066,,,
Bexar,8,376100,228019,166991,61028,1552823,247843,100704,17248,614646,,,
Blanco,7,900,2272,1794,478,10092,3004,90,102,3388,,,
Borden,9/10,0,57,48,9,543,174,9,0,163,,,
Bosque,7,2900,1369,1082,287,15224,4741,624,407,5126,,,
Bowie,4/5N,13350,5911,4049,1862,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,32000,37401,27020,10381,287683,45752,9762,2648,105966,,,
Brazos,7,29100,16367,13297,3070,186843,21693,7514,1414,59619,,,
Brewster,9/10,1300,2083,1772,311,7706,2231,303,0,2579,,,
Briscoe,1,400,670,466,204,1272,404,19,0,452,,,
Brooks,11,900,847,717,130,5317,1308,323,246,2253,,,
Brown,2/3,2700,2665,1925,740,30883,7720,1663,911,11188,,,
Burleson,7,800,1561,1153,408,14869,3867,143,218,5600,,,
Burnet,7,6425,3621,2894,727,39239,10999,1823,595,13132,,,
Caldwell,7,3300,2577,1970,607,34853,6512,1286,524,14114,,,
Calhoun,8,1200,1868,1395,473,16817,3981,470,384,6161,,,
Callahan,2/3,1000,1149,888,261,11263,2958,146,122,4094,,,
Cameron,11,76750,60797,44427,16370,311689,58607,29737,6315,127806,,,
Camp,4/5N,300,786,622,164,10031,2494,207,152,3927,,,
Carson,1,200,983,707,276,4718,1250,60,0,1547,,,
Cass,4/5N,500,901,641,260,24182,6856,1216,550,9010,,,
Castro,1,800,1058,879,179,5607,1236,121,174,2168,,,
Chambers,6/5S,9200,3314,2436,878,33062,5259,958,244,12484,,,
Cherokee,4/5N,6100,3680,2885,795,40876,9444,1500,738,16376,,,
Childress,1,1500,1028,613,415,6094,1165,251,136,2395,,,
Clay,2/3,4300,2549,2104,445,8666,2484,136,60,3011,,,
Cochran,1,400,651,508,143,2188,468,57,0,956,,,
Coke,9/10,0,383,293,90,2756,947,47,130,899,,,
Coleman,2/3,800,718,511,207,6721,2119,342,162,2379,,,
Collin,2/3,120750,110106,86425,23681,801716,116575,38139,7817,236374,,,
Collingsworth,1,500,522,366,156,2263,555,80,92,847,,,
Colorado,6/5S,2400,2372,1975,397,17107,4850,853,477,5957,,,
Comal,8,17500,16466,12780,3686,125307,28528,5457,1845,38712,,,
Comanche,2/3,2850,1908,1452,456,10944,3330,330,292,3738,,,
Concho,9/10,300,315,266,49,2288,689,76,66,815,,,
Cooke,2/3,4100,3165,2236,929,32675,7804,948,552,11640,,,
Coryell,7,7075,4845,3922,923,60428,8040,1178,610,22789,,,
Cottle,2/3,0,126,94,32,1123,339,5,0,446,,,
Crane,9/10,2150,609,491,118,3554,594,71,110,1353,,,
Crockett,9/10,0,687,479,208,2694,612,31,56,1031,,,
Crosby,1,2350,1301,1106,195,4421,1085,98,115,1771,,,
Culberson,9/10,400,339,269,70,1746,480,67,0,722,,,
Dallam,1,4800,1389,1264,125,5217,857,40,0,2067,,,
Dallas,2/3,456375,259345,199639,59706,2028105,292117,142713,21399,730851,,,
Dawson,9/10,700,831,701,130,9789,1898,304,112,4206,,,
Deaf Smith,1,1900,1873,1287,586,13439,2423,238,147,5332,,,
Delta,4/5N,200,436,343,93,4222,1118,379,100,1580,,,
Denton,2/3,104750,55279,40397,14882,697330,93499,23806,5913,257836,,,
DeWitt,8,800,1275,955,320,16110,4035,319,438,6110,,,
Dickens,1,0,258,235,23,1858,525,21,0,689,,,
Dimmit,8,5975,2377,2187,190,7539,1749,238,175,3179,,,
Donley,1,200,490,372,118,2716,804,27,65,918,,,
Duval,11,700,1428,1214,214,8600,2031,69,150,3541,,,
Eastland,2/3,1100,1700,1175,525,14970,4054,860,389,5393,,,
Ector,9/10,33300,18484,14182,4302,120896,15970,5303,1016,50679,,,
Edwards,8,0,169,130,39,1555,561,24,0,528,,,
El Paso,9/10,161575,125858,93019,32839,640180,105175,35065,8383,245567,,,
Ellis,2/3,14300,18399,14168,4231,141665,24288,3985,1994,54463,,,
Erath,2/3,2400,2950,2308,642,34875,6256,1250,481,12564,,,
Falls,7,5575,1782,1582,200,14049,3226,328,187,5671,,,
Fannin,2/3,8375,4124,2950,1174,28874,6588,962,614,10987,,,
Fayette,7,1400,1876,1557,319,20879,6679,998,647,6844,,,
Fisher,2/3,600,326,298,28,3088,961,101,28,1061,,,
Floyd,1,600,893,653,240,4371,1070,132,68,1723,,,
Foard,2/3,400,254,229,25,962,315,7,80,332,,,
Fort Bend,6/5S,97850,92564,70416,22148,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,738,589,149,8554,2367,169,163,2871,,,
Freestone,7,1200,981,772,209,15808,3996,553,261,6319,,,
Frio,8,3475,2340,1793,547,16121,2499,186,166,6797,,,
Gaines,9/10,1400,1371,831,540,14548,1907,323,95,6156,,,
Galveston,6/5S,56950,49720,36115,13605,269280,50987,11784,2830,96486,,,
Garza,1,400,357,312,45,5325,719,33,75,2197,,,
Gillespie,8,6700,4011,3260,751,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,261,251,10,1099,210,23,0,426,,,
Goliad,8,200,881,749,132,6281,1832,39,135,2282,,,
Gonzales,8,1700,2039,1562,477,15937,3572,550,256,6356,,,
Gray,1,1400,2342,1572,770,16924,3531,689,315,6978,,,
Grayson,2/3,24100,13439,9482,3957,107521,24182,9338,2131,40586,,,
Gregg,4/5N,23800,10312,7972,2340,95544,19451,7025,2324,37362,,,
Grimes,7,1400,1738,1321,417,23245,5134,234,311,9653,,,
Guadalupe,8,16625,13887,10711,3176,130517,23614,3801,1225,49282,,,
Hale,1,3300,3310,2329,981,25476,4604,873,399,10561,,,
Hall,1,0,646,535,111,2406,711,27,72,978,,,
Hamilton,7,1800,2246,1697,549,6832,2146,481,296,2427,,,
Hansford,1,700,735,521,214,3987,812,139,84,1616,,,
Hardeman,2/3,1000,1052,751,301,3190,912,102,16,1146,,,
Hardin,6/5S,5400,4733,3790,943,45112,9762,1003,527,16190,,,
Harris,6/5S,759025,478023,351391,126632,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4200,3517,2736,781,51900,11607,3063,608,20509,,,
Hartley,1,1475,565,521,44,4561,861,196,94,1669,,,
