County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,30579788,17128864,14641787,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,40957,23537,19840,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,14586,8034,6840,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,68700,38610,32850,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,26219,14567,12562,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,7199,3997,3572,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1302,728,615,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,44909,25098,21362,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,25873,14984,12771,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4902,2820,2325,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,18200,10345,9015,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,91213,51856,42181,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2614,1442,1304,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
