County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,8842850,6006975,3036482,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7557,5142,2777,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,7727,4721,3095,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,23185,14911,8648,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,8387,5587,2962,19803,6791,370,252,6701,39,,
Archer,2/3,1800,3367,2120,1311,6921,1677,80,13,2381,330,,
Armstrong,1,1200,767,476,296,1499,470,32,86,466,0,,
Atascosa,8,8600,10379,7071,3563,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,8749,5882,3180,23704,5933,667,396,7873,1079,,
Bailey,1,16885,3045,1774,1289,5089,1036,114,74,1982,0,,
Bandera,8,1600,6066,4041,2198,19763,6439,352,180,6555,20,,
Bastrop,7,25200,18525,13731,5181,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1769,964,810,2793,844,137,97,908,0,,
Bee,11,48460,13180,7620,5634,26496,4091,981,684,11359,989,,
Bell,7,116990,68272,45574,25604,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,611756,398049,220124,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,3985,2785,1290,10092,3004,90,102,3388,303,,
Borden,9/10,0,170,121,55,543,174,9,0,163,0,,
Bosque,7,5600,6060,4310,1977,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,18181,12448,6752,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,111065,72673,41275,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,59964,43777,18251,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,5165,3466,1861,7706,2231,303,0,2579,255,,
Briscoe,1,800,760,434,333,1272,404,19,0,452,0,,
Brooks,11,2000,3424,2382,1052,5317,1308,323,246,2253,22,,
Brown,2/3,9700,8244,6155,3255,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,5117,3573,1807,14869,3867,143,218,5600,518,,
Burnet,7,19435,13015,9226,4478,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,8749,6341,2848,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,5575,4126,1649,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3572,2378,1245,11263,2958,146,122,4094,442,,
Cameron,11,158455,153796,100677,57039,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2840,1930,950,10031,2494,207,152,3927,0,,
Carson,1,1000,1819,1130,698,4718,1250,60,0,1547,240,,
Cass,4/5N,2400,4889,3617,1560,24182,6856,1216,550,9010,1125,,
Castro,1,2000,2479,1598,963,5607,1236,121,174,2168,341,,
Chambers,6/5S,22300,10549,7140,3469,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10300,10725,6868,4228,40876,9444,1500,738,16376,1511,,
Childress,1,3000,2249,1504,796,6094,1165,251,136,2395,0,,
Clay,2/3,8145,5195,3009,2214,8666,2484,136,60,3011,384,,
Cochran,1,1000,1103,803,389,2188,468,57,0,956,0,,
Coke,9/10,0,1134,793,348,2756,947,47,130,899,0,,
Coleman,2/3,1700,2133,1577,611,6721,2119,342,162,2379,289,,
Collin,2/3,359990,352095,233923,123349,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1400,1033,631,406,2263,555,80,92,847,0,,
Colorado,6/5S,6100,7208,4655,2924,17107,4850,853,477,5957,613,,
