County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,1860925,700559,652648,47911,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,4700,568,563,5,49346,8955,2590,833,24078
Andrews,9/10,1100,615,601,14,13954,1905,401,106,5867
Angelina,4/5N,11100,2828,2820,8,70388,14706,7603,1752,34525
Aransas,11,600,375,367,8,19727,6538,542,252,10102
Archer,2/3,300,226,210,16,7533,1887,107,59,3131
Armstrong,1,200,96,91,5,1693,588,37,86,659
Atascosa,8,2400,895,853,42,39065,7743,1181,655,17891
Austin,6/5S,1200,670,660,10,25584,6512,1069,396,10132
Bailey,1,500,127,127,0,5190,1024,156,74,2359
Bandera,8,200,379,374,5,19833,6530,426,186,9348
Bastrop,7,1400,1328,1282,46,70499,14746,2137,696,34606
Baylor,2/3,600,223,222,1,3002,916,156,97,1287
Bee,11,1500,575,559,16,26904,4202,1219,684,13037
Bell,7,19200,5096,4868,228,265191,37371,20144,2466,105279
Bexar,8,158875,50705,47845,2860,1541803,248261,127752,17100,696450
Blanco,7,300,177,175,2,10177,3274,167,102,4572
Borden,9/10,0,13,13,0,580,206,10,0,228
Bosque,7,1900,288,282,6,15491,4847,677,407,7171
Bowie,4/5N,6275,1404,1373,31,78179,16917,7877,1532,36179
Brazoria,6/5S,11100,8637,7979,658,295635,48145,13914,2648,119229
Brazos,7,11950,2467,2377,90,185835,21605,10756,1278,64988
Brewster,9/10,800,296,296,0,7291,1942,548,0,3547
Briscoe,1,100,72,72,0,1295,443,18,0,642
Brooks,11,300,123,123,0,5438,1441,396,246,2867
Brown,2/3,1400,710,696,14,31586,8452,1886,911,14261
Burleson,7,500,293,291,2,14721,3981,203,218,7277
Burnet,7,2600,729,723,6,39423,11162,2391,595,17381
Caldwell,7,900,626,622,4,33813,6558,1744,524,16400
Calhoun,8,900,446,441,5,17169,3944,608,254,7841
Callahan,2/3,500,312,254,58,11666,3185,310,122,5346
Cameron,11,26550,15295,14591,704,315242,59778,33067,6480,149238
Camp,4/5N,0,183,177,6,10054,2412,353,154,4991
Carson,1,200,271,265,6,4769,1096,77,0,2031
Cass,4/5N,200,244,241,3,24447,7203,1609,550,12120
Castro,1,200,185,182,3,5574,1267,152,174,2718
Chambers,6/5S,2900,755,705,50,34171,5692,1101,120,13721
Cherokee,4/5N,3700,919,911,8,41571,9380,1837,809,20430
Childress,1,900,438,436,2,5769,1177,276,136,2845
Clay,2/3,300,321,297,24,8544,2430,175,60,4071
Cochran,1,0,163,157,6,2167,497,66,0,1139
Coke,9/10,0,60,49,11,2839,957,47,130,1324
Coleman,2/3,600,215,209,6,6555,2051,418,162,3427
Collin,2/3,43900,19635,18023,1612,806242,118818,56174,7544,256993
Collingsworth,1,200,123,122,1,2177,574,94,92,1084
Colorado,6/5S,500,403,402,1,17682,5065,1057,477,7953
Comal,8,8500,3329,3235,94,125758,29676,7125,1845,45927
Comanche,2/3,500,471,468,3,11046,3438,418,292,5170
Concho,9/10,0,39,30,9,2381,528,81,66,1923
Cooke,2/3,1300,624,610,14,32501,7977,1347,552,14449
Coryell,7,1600,848,841,7,58277,6832,1291,594,25149
Cottle,2/3,0,1003,970,33,1120,400,5,0,608
Crane,9/10,200,118,118,0,3483,625,95,110,1547
Crockett,9/10,0,33,31,2,2687,716,45,56,1307
Crosby,1,200,184,176,8,4386,1236,127,115,2252
Culberson,9/10,200,70,70,0,1797,529,79,0,972
Dallam,1,200,60,60,0,5092,691,95,0,2336
Dallas,2/3,174725,49928,44127,5801,2015538,284171,183122,21354,820238
Dawson,9/10,400,137,133,4,9997,1927,385,112,5005
Deaf Smith,1,1100,580,572,8,14288,2472,316,228,6265
Delta,4/5N,0,76,76,0,4312,1312,437,100,2090
Denton,2/3,22500,12181,11362,819,702429,94410,34569,5667,276089
DeWitt,8,700,226,212,14,16610,4251,421,438,7926
Dickens,1,0,27,26,1,1840,546,29,0,943
Dimmit,8,500,195,195,0,7130,1517,226,175,4018
Donley,1,100,185,184,1,2655,798,47,74,1278
Duval,11,200,211,209,2,8359,2073,107,150,4543
Eastland,2/3,500,297,293,4,14718,4181,1021,405,7102
Ector,9/10,10200,2646,2502,144,123303,16788,6730,1016,54750
Edwards,8,0,41,39,2,1605,586,27,0,792
El Paso,9/10,69400,34086,30181,3905,640715,111036,46429,8546,281334
Ellis,2/3,4500,3568,3264,304,146536,26120,5259,1781,61039
Erath,2/3,600,471,467,4,34869,6466,1793,481,14817
Falls,7,300,167,165,2,14306,3332,413,187,7192
Fannin,2/3,2300,1087,1075,12,29681,7609,1161,693,13661
Fayette,7,1200,566,563,3,21209,6683,1251,647,9754
Fisher,2/3,0,32,31,1,3139,996,184,28,1509
Floyd,1,200,161,160,1,4283,1207,156,68,2228
Foard,2/3,0,35,35,0,937,323,9,80,489
Fort Bend,6/5S,34200,17855,16290,1565,626861,97435,33263,4965,192056
Franklin,4/5N,400,176,174,2,8327,2189,181,163,3820
Freestone,7,1100,201,201,0,16551,4068,718,261,8172
Frio,8,1500,531,528,3,15133,2573,226,270,7605
Gaines,9/10,1100,523,521,2,14875,2237,348,95,6531
Galveston,6/5S,21500,11799,11124,675,267032,50119,15388,2824,113161
Garza,1,0,50,47,3,5021,727,52,75,2607
