County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,7109875,4687786,3198527,1489259,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6800,4404,2832,1572,48045,8658,2051,833,20206,,,
Andrews,9/10,2800,3050,2369,681,13503,1833,309,106,5450,,,
Angelina,4/5N,20500,14125,9273,4852,67056,14422,6534,1752,28054,,,
Aransas,11,1500,3975,2820,1155,19803,6791,370,252,6701,,,
Archer,2/3,1100,2048,1371,677,6921,1677,80,13,2381,,,
Armstrong,1,600,563,347,216,1499,470,32,86,466,,,
Atascosa,8,4700,5435,3521,1914,38768,7605,1124,651,15239,,,
Austin,6/5S,2500,4971,3769,1202,23704,5933,667,396,7873,,,
Bailey,1,9765,2535,1424,1111,5089,1036,114,74,1982,,,
Bandera,8,600,2950,2148,802,19763,6439,352,180,6555,,,
Bastrop,7,14000,7567,5379,2188,68839,13865,1462,696,29356,,,
Baylor,2/3,3150,1570,881,689,2793,844,137,97,908,,,
Bee,11,30050,9561,5682,3879,26496,4091,981,684,11359,,,
Bell,7,69180,37597,25033,12564,272969,40534,15894,2466,95066,,,
Bexar,8,515470,329657,220658,108999,1552823,247843,100704,17248,614646,,,
Blanco,7,1600,1985,1490,495,10092,3004,90,102,3388,,,
Borden,9/10,0,83,56,27,543,174,9,0,163,,,
Bosque,7,3800,3128,1912,1216,15224,4741,624,407,5126,,,
Bowie,4/5N,18450,7912,5013,2899,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,52040,59137,38655,20482,287683,45752,9762,2648,105966,,,
Brazos,7,39200,28244,20305,7939,186843,21693,7514,1414,59619,,,
Brewster,9/10,1800,2307,1936,371,7706,2231,303,0,2579,,,
Briscoe,1,500,496,342,154,1272,404,19,0,452,,,
Brooks,11,1400,1362,1062,300,5317,1308,323,246,2253,,,
Brown,2/3,3600,3944,2833,1111,30883,7720,1663,911,11188,,,
Burleson,7,1500,2329,1709,620,14869,3867,143,218,5600,,,
Burnet,7,10815,5382,4100,1282,39239,10999,1823,595,13132,,,
Caldwell,7,4700,3932,2649,1283,34853,6512,1286,524,14114,,,
Calhoun,8,1600,2592,1728,864,16817,3981,470,384,6161,,,
Callahan,2/3,1400,1846,1339,507,11263,2958,146,122,4094,,,
Cameron,11,104995,85800,55410,30390,311689,58607,29737,6315,127806,,,
Camp,4/5N,500,1408,985,423,10031,2494,207,152,3927,,,
Carson,1,400,1212,748,464,4718,1250,60,0,1547,,,
