County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,29103514,16494953,13766050,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,38475,22351,18515,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,13664,7612,6337,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,63965,36467,30204,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,24976,14156,11719,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6769,3788,3337,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1239,700,577,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,42088,23994,19620,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,24672,14497,12043,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4691,2710,2224,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,17402,9973,8565,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,85556,49540,38757,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2410,1337,1199,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,27237,15360,12483,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,239624,138032,111503,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
