County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,10801295,7196586,4695684,2541063,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1238950,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,9800,6163,3869,2323,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3300,6663,4532,2168,13503,1833,309,106,5450,41,,
Angelina,4/5N,28300,19615,12711,6935,67056,14422,6534,1752,28054,3266,,
Aransas,11,2300,6254,3914,2354,19803,6791,370,252,6701,39,,
Archer,2/3,1600,2739,1561,1181,6921,1677,80,13,2381,330,,
Armstrong,1,1100,693,417,276,1499,470,32,86,466,0,,
Atascosa,8,8100,8410,5532,2903,38768,7605,1124,651,15239,1557,,
Austin,6/5S,3900,8072,5991,2096,23704,5933,667,396,7873,1079,,
Bailey,1,14545,2909,1695,1214,5089,1036,114,74,1982,0,,
Bandera,8,1300,5100,3423,1716,19763,6439,352,180,6555,20,,
Bastrop,7,21400,12644,8854,3813,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3850,1612,911,701,2793,844,137,97,908,0,,
Bee,11,42780,11688,6535,5160,26496,4091,981,684,11359,989,,
Bell,7,102420,55029,34753,20433,272969,40534,15894,2466,95066,12910,,
Bexar,8,672940,486413,306754,180625,1552823,247843,100704,17248,614646,61232,,
Blanco,7,2600,3210,2190,1033,10092,3004,90,102,3388,303,,
Borden,9/10,0,157,110,48,543,174,9,0,163,0,,
Bosque,7,5400,4913,3254,1674,15224,4741,624,407,5126,579,,
Bowie,4/5N,27890,12626,8340,4302,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,90690,93940,59512,34665,287683,45752,9762,2648,105966,12034,,
Brazos,7,63170,47445,33613,13886,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,2800,4329,2706,1668,7706,2231,303,0,2579,255,,
Briscoe,1,800,755,431,324,1272,404,19,0,452,0,,
Brooks,11,2000,2452,1519,934,5317,1308,323,246,2253,22,,
Brown,2/3,9100,5901,3998,1904,30883,7720,1663,911,11188,1112,,
Burleson,7,1900,4077,2989,1120,14869,3867,143,218,5600,518,,
Burnet,7,16495,10002,6851,3207,39239,10999,1823,595,13132,94,,
Caldwell,7,6900,6850,4765,2112,34853,6512,1286,524,14114,1294,,
Calhoun,8,2200,4051,2754,1349,16817,3981,470,384,6161,53,,
Callahan,2/3,1900,2925,1946,981,11263,2958,146,122,4094,442,,
Cameron,11,143015,123868,78867,45568,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1000,2210,1431,783,10031,2494,207,152,3927,0,,
Carson,1,700,1682,1015,667,4718,1250,60,0,1547,240,,
Cass,4/5N,1900,2996,2152,890,24182,6856,1216,550,9010,1125,,
Castro,1,1700,2203,1362,841,5607,1236,121,174,2168,341,,
Chambers,6/5S,19900,7727,4909,2822,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,9800,8786,5360,3480,40876,9444,1500,738,16376,1511,,
Childress,1,2800,2060,1369,691,6094,1165,251,136,2395,0,,
Clay,2/3,8045,4723,2579,2144,8666,2484,136,60,3011,384,,
Cochran,1,1000,896,628,272,2188,468,57,0,956,0,,
Coke,9/10,0,911,604,307,2756,947,47,130,899,0,,
Coleman,2/3,1400,1625,1091,536,6721,2119,342,162,2379,289,,
Collin,2/3,309090,279854,175306,105813,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1300,945,575,371,2263,555,80,92,847,0,,
Colorado,6/5S,5800,5855,3692,2168,17107,4850,853,477,5957,613,,
Comal,8,37700,40112,25829,14393,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,4620,4119,2747,1374,10944,3330,330,292,3738,455,,
Concho,9/10,1100,934,641,297,2288,689,76,66,815,0,,
Cooke,2/3,9800,7938,5641,2311,32675,7804,948,552,11640,1051,,
Coryell,7,16545,10130,6249,3883,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,325,221,104,1123,339,5,0,446,0,,
Crane,9/10,2650,1564,949,615,3554,594,71,110,1353,0,,
Crockett,9/10,0,1132,650,482,2694,612,31,56,1031,0,,
Crosby,1,3050,2498,1470,1028,4421,1085,98,115,1771,284,,
Culberson,9/10,1100,857,577,280,1746,480,67,0,722,0,,
Dallam,1,13970,3086,1821,1266,5217,857,40,0,2067,0,,
Dallas,2/3,860935,598957,389642,218133,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,1800,2014,1307,709,9789,1898,304,112,4206,475,,
Deaf Smith,1,3000,3901,2635,1285,13439,2423,238,147,5332,0,,
Delta,4/5N,800,1032,668,367,4222,1118,379,100,1580,0,,
Denton,2/3,270790,208739,122878,86552,697330,93499,23806,5913,257836,22330,,
DeWitt,8,0,3591,2528,1065,16110,4035,319,438,6110,1055,,
Dickens,1,0,588,387,201,1858,525,21,0,689,0,,
