County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,16653045,11458607,7595073,4154353,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2667690,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,13970,9492,6650,3507,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5100,9034,5216,3916,13503,1833,309,106,5450,41,,
Angelina,4/5N,40500,28401,18731,10343,67056,14422,6534,1752,28054,3266,,
Aransas,11,4670,11733,7852,4145,19803,6791,370,252,6701,39,,
Archer,2/3,2400,3755,2340,1522,6921,1677,80,13,2381,330,,
Armstrong,1,1700,825,510,324,1499,470,32,86,466,0,,
Atascosa,8,13100,14400,9686,5146,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6000,14198,9934,4904,23704,5933,667,396,7873,1079,,
Bailey,1,20395,3359,1924,1532,5089,1036,114,74,1982,0,,
Bandera,8,3000,8041,5528,2740,19763,6439,352,180,6555,20,,
Bastrop,7,34300,25040,17537,8093,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4750,1947,1088,873,2793,844,137,97,908,0,,
Bee,11,63120,14394,8136,6380,26496,4091,981,684,11359,989,,
Bell,7,152980,81310,51790,33123,272969,40534,15894,2466,95066,12910,,
Bexar,8,945450,780857,496642,294158,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4100,5781,4009,1917,10092,3004,90,102,3388,303,,
Borden,9/10,0,238,145,100,543,174,9,0,163,0,,
Bosque,7,8000,6970,4840,2413,15224,4741,624,407,5126,579,,
Bowie,4/5N,43950,22034,14104,9264,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,144220,145276,92909,56368,287683,45752,9762,2648,105966,12034,,
Brazos,7,101260,83732,58164,28295,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3800,5898,3714,2365,7706,2231,303,0,2579,255,,
Briscoe,1,1200,837,480,390,1272,404,19,0,452,0,,
Brooks,11,2900,3787,2518,1281,5317,1308,323,246,2253,22,,
Brown,2/3,12100,10972,7600,5533,30883,7720,1663,911,11188,1112,,
Burleson,7,3300,6943,4474,2795,14869,3867,143,218,5600,518,,
Burnet,7,24715,16638,11226,6252,39239,10999,1823,595,13132,94,,
Caldwell,7,11100,12399,8448,4613,34853,6512,1286,524,14114,1294,,
Calhoun,8,5100,7316,5229,2637,16817,3981,470,384,6161,53,,
Callahan,2/3,2900,4540,2792,1875,11263,2958,146,122,4094,442,,
Cameron,11,200045,194811,128477,71448,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1400,3704,2477,1322,10031,2494,207,152,3927,0,,
Carson,1,1300,2122,1266,881,4718,1250,60,0,1547,240,,
Cass,4/5N,4100,6347,4287,2468,24182,6856,1216,550,9010,1125,,
Castro,1,2500,2884,1823,1116,5607,1236,121,174,2168,341,,
Chambers,6/5S,27400,12384,8307,4243,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,13970,12763,8183,5173,40876,9444,1500,738,16376,1511,,
Childress,1,3900,2823,1679,1220,6094,1165,251,136,2395,0,,
Clay,2/3,10545,5120,2844,2342,8666,2484,136,60,3011,384,,
Cochran,1,1400,2315,1856,578,2188,468,57,0,956,0,,
Coke,9/10,0,1368,857,524,2756,947,47,130,899,0,,
Coleman,2/3,2600,2804,1835,1068,6721,2119,342,162,2379,289,,
Collin,2/3,487360,461876,301692,168247,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1800,1166,714,512,2263,555,80,92,847,0,,
Colorado,6/5S,8700,8522,5544,3525,17107,4850,853,477,5957,613,,
