County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,24963540,13939731,12002952,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,32739,18710,16203,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,11763,6377,5622,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,53194,29471,25898,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,21656,12070,10401,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5975,3277,3020,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1121,625,526,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,34621,19341,16651,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,21559,12477,10849,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4122,2327,2009,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,15476,8717,7767,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,70499,40430,32333,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2230,1209,1129,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,23665,12869,11339,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,192879,108604,92808,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
