County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,8288894,5554924,2902050,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7177,4802,2696,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,6831,4700,2219,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,21307,14102,7362,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,7739,5091,2767,19803,6791,370,252,6701,39,,
Archer,2/3,1800,3043,1803,1283,6921,1677,80,13,2381,330,,
Armstrong,1,1200,733,451,286,1499,470,32,86,466,0,,
Atascosa,8,8600,9687,6552,3329,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,8870,6247,2902,23704,5933,667,396,7873,1079,,
Bailey,1,16885,3001,1738,1266,5089,1036,114,74,1982,0,,
Bandera,8,1600,5741,3828,2071,19763,6439,352,180,6555,20,,
Bastrop,7,25200,17065,12468,4955,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1745,961,788,2793,844,137,97,908,0,,
Bee,11,48460,12588,7352,5277,26496,4091,981,684,11359,989,,
Bell,7,116990,65974,43589,25067,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,571242,369379,206778,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,3698,2524,1244,10092,3004,90,102,3388,303,,
Borden,9/10,0,163,115,52,543,174,9,0,163,0,,
Bosque,7,5600,5704,3976,1919,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,17136,11438,6428,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,107768,71137,39052,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,55467,39497,17555,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,4944,3310,1714,7706,2231,303,0,2579,255,,
Briscoe,1,800,767,441,330,1272,404,19,0,452,0,,
Brooks,11,2000,3335,2306,1038,5317,1308,323,246,2253,22,,
Brown,2/3,9700,6851,4876,2095,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,4772,3324,1636,14869,3867,143,218,5600,518,,
Burnet,7,19435,12555,8841,4251,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,8211,5885,2731,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,4844,3572,1463,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3306,2231,1096,11263,2958,146,122,4094,442,,
Cameron,11,158455,145994,95034,54121,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2724,1828,932,10031,2494,207,152,3927,0,,
