County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,3898700,2359323,1883862,475461,23418623,4073596,1241763,271813,8591155
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,2407,2143,264,48781,9138,2051,833,20337
Andrews,9/10,1600,2264,1664,600,16893,2253,309,106,6837
Angelina,4/5N,12200,6941,5836,1105,70305,15150,6534,1752,29398
Aransas,11,600,1357,1203,154,23448,7843,370,252,8037
Archer,2/3,400,761,636,125,6824,1770,80,13,2295
Armstrong,1,200,341,290,51,1648,587,32,86,481
Atascosa,8,2900,3057,2415,642,40483,8111,1124,651,15830
Austin,6/5S,1400,2054,1749,305,24384,6516,667,396,7916
Bailey,1,2450,1365,1257,108,5684,1126,114,74,2229
Bandera,8,200,1653,1398,255,18258,6338,352,180,5865
Bastrop,7,4500,3521,2740,781,68916,15121,1462,696,28727
Baylor,2/3,1575,789,724,65,2887,898,137,97,927
Bee,11,7550,4451,4091,360,27790,4468,981,684,11824
Bell,7,33650,20953,17554,3399,264909,38752,15894,2466,92498
Bexar,8,276025,170069,125827,44242,1649172,273788,100704,17248,647806
Blanco,7,300,1767,1383,384,9721,3295,90,102,3072
Borden,9/10,0,35,33,2,594,220,9,0,165
Bosque,7,2000,1042,876,166,14388,4658,624,407,4758
Bowie,4/5N,10050,4311,3154,1157,75454,16868,6332,1467,29469
Brazoria,6/5S,16900,27402,21239,6163,299211,51114,9762,2648,108666
Brazos,7,18025,10566,8859,1707,188279,22891,7514,1414,59705
Brewster,9/10,1000,1109,1023,86,7247,1989,303,0,2477
Briscoe,1,100,429,307,122,1289,451,19,0,437
Brooks,11,600,683,601,82,5481,1484,323,246,2246
Brown,2/3,1700,1726,1189,537,31624,8722,1663,911,11062
Burleson,7,800,997,766,231,14273,3996,143,218,5231
Burnet,7,3975,2085,1618,467,39401,11506,1823,595,12971
Caldwell,7,1400,1958,1548,410,35286,7157,1286,524,14008
Calhoun,8,1000,1540,1196,344,17873,4223,470,384,6552
Callahan,2/3,700,882,695,187,11212,3157,146,122,3971
Cameron,11,50250,46904,37732,9172,319351,62948,29737,6315,129484
Camp,4/5N,100,671,532,139,10475,2553,207,152,4127
Carson,1,200,682,584,98,4650,1082,60,0,1591
Cass,4/5N,300,674,476,198,24308,7443,1216,550,8770
Castro,1,700,817,703,114,5315,1256,121,174,2013
Chambers,6/5S,5400,2478,2009,469,33361,5780,958,244,12384
Cherokee,4/5N,5200,3192,2641,551,40660,9365,1500,738,16305
Childress,1,1100,611,431,180,5784,1221,251,136,2218
Clay,2/3,2250,1726,1542,184,8023,2403,136,60,2737
Cochran,1,100,506,392,114,2524,612,57,0,1063
Coke,9/10,0,258,229,29,2653,899,47,130,872
Coleman,2/3,600,577,467,110,6728,2157,342,162,2363
Collin,2/3,61275,66098,52144,13954,841758,131278,38139,7817,245116
