County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,3334900,1358676,1181483,177193,22448443,3769216,1591521,270194,9499038
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,1452,1402,50,49346,8955,2590,833,24078
Andrews,9/10,1100,705,678,27,13954,1905,401,106,5867
Angelina,4/5N,11200,4698,4680,18,70388,14706,7603,1752,34525
Aransas,11,600,615,580,35,19727,6538,542,252,10102
Archer,2/3,400,488,422,66,7533,1887,107,59,3131
Armstrong,1,200,217,211,6,1693,588,37,86,659
Atascosa,8,2900,1506,1361,145,39065,7743,1181,655,17891
Austin,6/5S,1400,1223,1184,39,25584,6512,1069,396,10132
Bailey,1,1475,159,157,2,5190,1024,156,74,2359
Bandera,8,200,958,916,42,19833,6530,426,186,9348
Bastrop,7,3200,2084,1882,202,70499,14746,2137,696,34606
Baylor,2/3,1575,434,429,5,3002,916,156,97,1287
Bee,11,4625,1005,932,73,26904,4202,1219,684,13037
Bell,7,27300,13646,11479,2167,265191,37371,20144,2466,105279
Bexar,8,235400,100934,82743,18191,1541803,248261,127752,17100,696450
Blanco,7,300,969,944,25,10177,3274,167,102,4572
Borden,9/10,0,19,19,0,580,206,10,0,228
Bosque,7,1900,632,614,18,15491,4847,677,407,7171
Bowie,4/5N,8850,3090,2665,425,78179,16917,7877,1532,36179
Brazoria,6/5S,14600,17357,14111,3246,295635,48145,13914,2648,119229
Brazos,7,16125,6410,5880,530,185835,21605,10756,1278,64988
Brewster,9/10,1000,542,531,11,7291,1942,548,0,3547
Briscoe,1,100,153,152,1,1295,443,18,0,642
Brooks,11,600,183,183,0,5438,1441,396,246,2867
Brown,2/3,1600,949,924,25,31586,8452,1886,911,14261
Burleson,7,600,503,477,26,14721,3981,203,218,7277
Burnet,7,2800,1317,1166,151,39423,11162,2391,595,17381
Caldwell,7,1200,1018,945,73,33813,6558,1744,524,16400
Calhoun,8,1000,833,782,51,17169,3944,608,254,7841
Callahan,2/3,700,542,418,124,11666,3185,310,122,5346
Cameron,11,39850,26220,22579,3641,315242,59778,33067,6480,149238
Camp,4/5N,100,324,293,31,10054,2412,353,154,4991
Carson,1,200,416,405,11,4769,1096,77,0,2031
Cass,4/5N,300,400,354,46,24447,7203,1609,550,12120
Castro,1,700,385,382,3,5574,1267,152,174,2718
Chambers,6/5S,4200,1440,1311,129,34171,5692,1101,120,13721
Cherokee,4/5N,4200,1774,1713,61,41571,9380,1837,809,20430
Childress,1,900,452,447,5,5769,1177,276,136,2845
Clay,2/3,1275,571,497,74,8544,2430,175,60,4071
Cochran,1,100,357,297,60,2167,497,66,0,1139
Coke,9/10,0,120,108,12,2839,957,47,130,1324
Coleman,2/3,600,258,244,14,6555,2051,418,162,3427
Collin,2/3,47375,35648,31344,4304,806242,118818,56174,7544,256993
Collingsworth,1,300,294,292,2,2177,574,94,92,1084
Colorado,6/5S,600,673,658,15,17682,5065,1057,477,7953
Comal,8,9200,5242,4621,621,125758,29676,7125,1845,45927
Comanche,2/3,1475,547,541,6,11046,3438,418,292,5170
Concho,9/10,0,76,63,13,2381,528,81,66,1923
Cooke,2/3,1500,1268,1221,47,32501,7977,1347,552,14449
Coryell,7,2575,1344,1248,96,58277,6832,1291,594,25149
Cottle,2/3,0,46,46,0,1120,400,5,0,608
Crane,9/10,1175,155,153,2,3483,625,95,110,1547
Crockett,9/10,0,257,251,6,2687,716,45,56,1307
Crosby,1,1175,302,286,16,4386,1236,127,115,2252
Culberson,9/10,400,81,81,0,1797,529,79,0,972
Dallam,1,300,296,295,1,5092,691,95,0,2336
Dallas,2/3,236700,102725,87704,15021,2015538,284171,183122,21354,820238
Dawson,9/10,500,243,229,14,9997,1927,385,112,5005
Deaf Smith,1,1100,788,777,11,14288,2472,316,228,6265
Delta,4/5N,0,115,105,10,4312,1312,437,100,2090
Denton,2/3,39875,21428,19017,2411,702429,94410,34569,5667,276089
DeWitt,8,700,513,452,61,16610,4251,421,438,7926
Dickens,1,0,40,39,1,1840,546,29,0,943
Dimmit,8,1475,336,334,2,7130,1517,226,175,4018
Donley,1,100,237,235,2,2655,798,47,74,1278
Duval,11,300,592,580,12,8359,2073,107,150,4543
Eastland,2/3,600,747,725,22,14718,4181,1021,405,7102
Ector,9/10,15200,5653,5273,380,123303,16788,6730,1016,54750
Edwards,8,0,72,66,6,1605,586,27,0,792
El Paso,9/10,91975,60638,52141,8497,640715,111036,46429,8546,281334
Ellis,2/3,4600,6029,5292,737,146536,26120,5259,1781,61039
Erath,2/3,700,1083,1010,73,34869,6466,1793,481,14817
Falls,7,1575,351,326,25,14306,3332,413,187,7192
Fannin,2/3,3275,1550,1491,59,29681,7609,1161,693,13661
Fayette,7,1200,850,826,24,21209,6683,1251,647,9754
Fisher,2/3,200,78,75,3,3139,996,184,28,1509
Floyd,1,200,340,336,4,4283,1207,156,68,2228
Foard,2/3,100,157,155,2,937,323,9,80,489
Fort Bend,6/5S,40950,36390,30671,5719,626861,97435,33263,4965,192056
Franklin,4/5N,400,378,367,11,8327,2189,181,163,3820
Freestone,7,1100,433,429,4,16551,4068,718,261,8172
Frio,8,2475,804,793,11,15133,2573,226,270,7605
Gaines,9/10,1100,593,586,7,14875,2237,348,95,6531
Galveston,6/5S,28050,21638,18102,3536,267032,50119,15388,2824,113161
Garza,1,0,90,80,10,5021,727,52,75,2607
Gillespie,8,3100,1104,1084,20,22728,8108,1453,706,10293
Glasscock,9/10,0,20,18,2,1108,296,28,0,491
Goliad,8,100,491,466,25,6615,2077,59,135,3059
Gonzales,8,1200,884,871,13,15931,3700,626,256,7818
Gray,1,1300,922,914,8,17050,3428,927,315,8475
Grayson,2/3,19900,5821,5461,360,107568,25224,10711,1989,49725
Gregg,4/5N,11925,5395,4365,1030,97771,19676,10046,2328,45063
Grimes,7,1100,759,735,24,23692,5592,422,311,11724
Guadalupe,8,6275,4497,3902,595,130156,24014,5123,1292,56504
Hale,1,2600,1548,1470,78,25066,4629,1308,399,12481
Hall,1,0,178,174,4,2399,745,42,72,1348
Hamilton,7,1200,1549,1546,3,6957,2150,503,296,3427
Hansford,1,600,255,253,2,3992,874,163,84,1970
Hardeman,2/3,500,322,316,6,3017,769,118,16,1552
Hardin,6/5S,4100,1718,1658,60,47640,10521,1237,527,19766
Harris,6/5S,462725,222801,188337,34464,3573784,490810,281834,27084,1572384
Harrison,4/5N,2700,1702,1465,237,53015,11647,3586,608,25401
Hartley,1,1475,185,182,3,4850,899,203,94,2001
Haskell,2/3,100,193,186,7,4635,1242,136,68,2483
Hays,7,15175,8605,7648,957,183387,29281,7680,1557,67042
Hemphill,1,800,376,375,1,2788,547,113,98,1271
Henderson,4/5N,3400,2074,1844,230,67614,18942,2628,932,35206
Hidalgo,11,90225,29243,25369,3874,649795,102347,62827,16918,319830
Hill,7,900,1212,1166,46,29221,8003,1219,523,14733
Hockley,1,900,814,707,107,17482,3513,795,263,8124
Hood,2/3,2200,1274,1220,54,50235,15761,2493,862,23089
Hopkins,4/5N,2300,1213,1096,117,29578,7446,1680,620,13891
Houston,4/5N,1500,1039,1029,10,19208,5038,1114,426,9989
Howard,9/10,2600,939,914,25,28821,4493,1826,454,14072
Hudspeth,9/10,0,72,68,4,2968,818,35,0,2097
Hunt,2/3,6850,3162,2687,475,77702,16832,4485,947,36713
Hutchinson,1,500,666,653,13,15984,3458,545,246,7583
Irion,9/10,0,44,41,3,1345,412,19,0,563
Jack,2/3,300,341,323,18,7488,1604,226,149,3304
Jackson,8,2775,658,612,46,11172,2670,422,237,5354
Jasper,4/5N,3500,908,884,24,28248,7271,1952,374,15256
Jeff Davis,9/10,0,66,66,0,2146,846,29,0,1042
Jefferson,6/5S,18875,4884,4551,333,198728,36802,16838,2497,109233
Jim Hogg,11,100,446,445,1,3764,898,35,60,1972
Jim Wells,11,2275,1133,1058,75,29988,6423,4090,1033,15173
Johnson,2/3,2900,4592,4026,566,135188,26669,5142,1260,61261
Jones,2/3,200,537,434,103,16827,3127,400,340,8290
Karnes,8,1200,458,449,9,12523,2489,396,244,6085
Kaufman,2/3,3350,4388,3827,561,104736,19164,4062,1176,43786
Kendall,8,2300,2509,2046,463,38074,9979,2094,801,15516
Kenedy,11,0,14,13,1,315,94,1,0,176
Kent,2/3,0,48,48,0,633,235,14,60,275
Kerr,8,3100,1556,1542,14,43611,14400,3557,1022,20395
Kimble,9/10,300,204,194,10,3844,1379,104,0,1891
King,1,0,9,8,1,233,60,5,0,93
Kinney,8,0,28,28,0,2931,889,19,0,1673
Kleberg,11,2975,957,895,62,25862,4574,1835,341,10851
Knox,2/3,300,202,199,3,2861,823,117,127,1265
La Salle,8,1075,133,129,4,6105,1224,37,60,2810
Lamar,4/5N,3100,1856,1823,33,40212,10314,3737,745,19135
Lamb,1,200,543,509,34,9647,2400,541,226,5028
Lampasas,7,200,412,364,48,17275,4497,436,284,8188
Lavaca,8,1600,1089,1053,36,16041,4537,881,620,7426
Lee,7,600,468,455,13,13837,3373,363,226,6632
Leon,7,600,395,389,6,14066,4292,256,74,6485
Liberty,6/5S,4275,1880,1787,93,70912,13765,2505,614,32693
Limestone,7,1100,691,680,11,19033,4691,2488,1060,9655
