County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,7109875,5133484,3405368,1728116,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6800,4729,2990,1739,48045,8658,2051,833,20206,,,
Andrews,9/10,2800,5525,3630,1895,13503,1833,309,106,5450,,,
Angelina,4/5N,20500,15706,10449,5257,67056,14422,6534,1752,28054,,,
Aransas,11,1500,4570,3066,1504,19803,6791,370,252,6701,,,
Archer,2/3,1100,2241,1396,845,6921,1677,80,13,2381,,,
Armstrong,1,600,595,354,241,1499,470,32,86,466,,,
Atascosa,8,4700,6151,3851,2300,38768,7605,1124,651,15239,,,
Austin,6/5S,2500,5468,4044,1424,23704,5933,667,396,7873,,,
Bailey,1,9765,2674,1489,1185,5089,1036,114,74,1982,,,
Bandera,8,600,3467,2486,981,19763,6439,352,180,6555,,,
Bastrop,7,14000,8669,6120,2549,68839,13865,1462,696,29356,,,
Baylor,2/3,3150,1578,884,694,2793,844,137,97,908,,,
Bee,11,30050,10792,6065,4727,26496,4091,981,684,11359,,,
Bell,7,69180,40650,25647,15003,272969,40534,15894,2466,95066,,,
Bexar,8,515470,358874,230508,128366,1552823,247843,100704,17248,614646,,,
Blanco,7,1600,2201,1583,618,10092,3004,90,102,3388,,,
Borden,9/10,0,123,85,38,543,174,9,0,163,,,
Bosque,7,3800,3382,2069,1313,15224,4741,624,407,5126,,,
Bowie,4/5N,18450,8938,5615,3323,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,52040,64642,41954,22688,287683,45752,9762,2648,105966,,,
Brazos,7,39200,32284,24035,8249,186843,21693,7514,1414,59619,,,
Brewster,9/10,1800,3116,2111,1005,7706,2231,303,0,2579,,,
Briscoe,1,500,542,366,176,1272,404,19,0,452,,,
Brooks,11,1400,1588,1124,464,5317,1308,323,246,2253,,,
Brown,2/3,3600,4115,2915,1200,30883,7720,1663,911,11188,,,
Burleson,7,1500,2676,2018,658,14869,3867,143,218,5600,,,
Burnet,7,10815,5927,4388,1539,39239,10999,1823,595,13132,,,
Caldwell,7,4700,5058,3592,1466,34853,6512,1286,524,14114,,,
Calhoun,8,1600,3284,2377,907,16817,3981,470,384,6161,,,
